#latency,cnt,cdf
0,1578,0.000166
10,3,0.000166
30,57,0.000172
50,12783,0.001518
60,2942172,0.311254
70,92307,0.320971
80,2801645,0.615913
90,27924,0.618853
100,294954,0.649904
110,1299207,0.786677
120,1360803,0.929935
130,262185,0.957536
140,29360,0.960627
150,872,0.960719
160,461,0.960768
170,31673,0.964102
180,47847,0.969139
190,256636,0.996156
200,1492,0.996313
210,673,0.996384
220,384,0.996425
230,30648,0.999651
240,1064,0.999763
250,63,0.999770
260,29,0.999773
270,28,0.999776
280,25,0.999778
290,38,0.999782
300,32,0.999786
310,28,0.999789
320,29,0.999792
330,38,0.999796
340,25,0.999798
350,22,0.999801
360,12,0.999802
370,11,0.999803
380,22,0.999805
390,20,0.999807
400,11,0.999809
410,18,0.999811
420,17,0.999812
430,13,0.999814
440,13,0.999815
450,25,0.999818
460,22,0.999820
470,10,0.999821
480,12,0.999822
490,12,0.999824
500,14,0.999825
510,10,0.999826
520,12,0.999827
530,12,0.999829
540,10,0.999830
550,19,0.999832
560,17,0.999833
570,7,0.999834
580,12,0.999835
590,21,0.999838
600,10,0.999839
610,7,0.999839
620,20,0.999842
630,10,0.999843
640,6,0.999843
650,8,0.999844
660,14,0.999846
670,7,0.999846
680,9,0.999847
690,9,0.999848
700,7,0.999849
710,7,0.999850
720,8,0.999851
730,3,0.999851
740,9,0.999852
750,6,0.999852
760,9,0.999853
770,8,0.999854
780,14,0.999856
790,13,0.999857
800,7,0.999858
810,9,0.999859
820,6,0.999859
830,3,0.999860
840,4,0.999860
850,6,0.999861
860,13,0.999862
870,8,0.999863
880,10,0.999864
890,5,0.999865
900,9,0.999865
910,7,0.999866
920,14,0.999868
930,9,0.999869
940,18,0.999871
950,17,0.999872
960,26,0.999875
970,14,0.999876
980,11,0.999878
990,12,0.999879
1000,14,0.999880
1010,8,0.999881
1020,10,0.999882
1030,11,0.999883
1040,13,0.999885
1050,1,0.999885
1060,2,0.999885
1070,11,0.999886
1080,3,0.999887
1090,4,0.999887
1100,8,0.999888
1110,7,0.999889
1120,5,0.999889
1130,9,0.999890
1140,4,0.999891
1150,4,0.999891
1160,8,0.999892
1170,2,0.999892
1180,6,0.999893
1190,4,0.999893
1200,4,0.999893
1210,3,0.999894
1220,6,0.999894
1230,3,0.999895
1240,2,0.999895
1250,3,0.999895
1260,6,0.999896
1270,3,0.999896
1280,3,0.999897
1290,4,0.999897
1300,4,0.999897
1310,5,0.999898
1320,5,0.999898
1330,4,0.999899
1340,1,0.999899
1350,3,0.999899
1360,2,0.999899
1370,4,0.999900
1380,1,0.999900
1390,3,0.999900
1400,4,0.999901
1410,4,0.999901
1430,3,0.999901
1450,1,0.999902
1460,2,0.999902
1470,2,0.999902
1480,1,0.999902
1490,2,0.999902
1500,2,0.999902
1510,3,0.999903
1520,1,0.999903
1530,3,0.999903
1540,2,0.999903
1550,2,0.999904
1570,2,0.999904
1580,2,0.999904
1590,2,0.999904
1600,1,0.999904
1610,1,0.999905
1620,6,0.999905
1630,4,0.999906
1640,2,0.999906
1650,2,0.999906
1660,4,0.999906
1680,3,0.999907
1690,4,0.999907
1700,2,0.999907
1710,3,0.999908
1720,3,0.999908
1740,3,0.999908
1760,3,0.999909
1770,4,0.999909
1780,7,0.999910
1790,7,0.999911
1800,6,0.999911
1810,7,0.999912
1820,8,0.999913
1830,1,0.999913
1840,3,0.999913
1850,6,0.999914
1860,2,0.999914
1870,3,0.999914
1880,1,0.999914
1890,3,0.999915
1900,3,0.999915
1910,3,0.999915
1920,6,0.999916
1930,2,0.999916
1940,2,0.999916
1950,7,0.999917
1960,4,0.999918
1970,3,0.999918
1980,3,0.999918
1990,3,0.999919
2000,2,0.999919
2010,2,0.999919
2020,2,0.999919
2030,1,0.999919
2040,1,0.999919
2050,2,0.999920
2060,1,0.999920
2070,2,0.999920
2080,1,0.999920
2090,4,0.999920
2100,2,0.999921
2130,3,0.999921
2140,4,0.999921
2150,2,0.999922
2160,2,0.999922
2170,3,0.999922
2180,3,0.999922
2190,1,0.999923
2200,3,0.999923
2210,4,0.999923
2220,2,0.999923
2230,4,0.999924
2240,2,0.999924
2250,5,0.999925
2260,4,0.999925
2270,5,0.999926
2280,2,0.999926
2290,1,0.999926
2300,1,0.999926
2310,5,0.999927
2320,1,0.999927
2340,5,0.999927
2350,3,0.999927
2360,1,0.999928
2370,1,0.999928
2380,3,0.999928
2390,3,0.999928
2400,1,0.999928
2410,2,0.999929
2420,4,0.999929
2430,1,0.999929
2440,3,0.999929
2450,1,0.999930
2460,5,0.999930
2470,5,0.999931
2480,3,0.999931
2490,1,0.999931
2500,1,0.999931
2510,1,0.999931
2520,5,0.999932
2540,6,0.999932
2550,2,0.999933
2560,3,0.999933
2570,6,0.999934
2580,2,0.999934
2590,4,0.999934
2600,4,0.999935
2610,7,0.999935
2620,5,0.999936
2630,2,0.999936
2640,3,0.999936
2650,8,0.999937
2660,3,0.999938
2670,4,0.999938
2680,2,0.999938
2690,1,0.999938
2700,2,0.999939
2710,5,0.999939
2720,2,0.999939
2730,6,0.999940
2750,5,0.999940
2760,1,0.999941
2770,4,0.999941
2780,6,0.999942
2790,5,0.999942
2800,12,0.999943
2810,6,0.999944
2820,6,0.999945
2830,2,0.999945
2840,2,0.999945
2850,6,0.999946
2860,14,0.999947
