#latency,cnt,cdf
0,671363,0.134333
10,3228,0.134979
20,324,0.135044
30,12318,0.137509
40,152,0.137539
50,1127,0.137765
60,133426,0.164462
70,16199,0.167703
80,128127,0.193340
90,5255,0.194392
100,142730,0.222951
110,53048,0.233565
120,90759,0.251725
130,132620,0.278261
140,51114,0.288489
150,106463,0.309791
160,11919,0.312176
170,352092,0.382626
180,256479,0.433945
190,423872,0.518758
200,224901,0.563758
210,199292,0.603635
220,112490,0.626143
230,502560,0.726700
240,180593,0.762835
250,76072,0.778057
260,81823,0.794429
270,266908,0.847834
280,116723,0.871190
290,113921,0.893984
300,76480,0.909287
310,75739,0.924442
320,130070,0.950467
330,51818,0.960836
340,84663,0.977776
350,6413,0.979059
360,7065,0.980473
370,6541,0.981782
380,15404,0.984864
390,36762,0.992220
400,5661,0.993352
410,2663,0.993885
420,2379,0.994361
430,3461,0.995054
440,2445,0.995543
450,368,0.995616
460,293,0.995675
470,775,0.995830
480,2637,0.996358
490,355,0.996429
500,375,0.996504
510,302,0.996564
520,207,0.996606
530,241,0.996654
540,122,0.996678
550,105,0.996699
560,91,0.996718
570,113,0.996740
580,325,0.996805
590,140,0.996833
600,163,0.996866
610,174,0.996901
620,130,0.996927
630,164,0.996959
640,201,0.997000
650,140,0.997028
660,121,0.997052
670,126,0.997077
680,117,0.997100
690,149,0.997130
700,134,0.997157
710,112,0.997180
720,99,0.997199
730,113,0.997222
740,87,0.997239
750,86,0.997257
760,89,0.997274
770,83,0.997291
780,68,0.997305
790,54,0.997315
800,61,0.997328
810,62,0.997340
820,81,0.997356
830,70,0.997370
840,60,0.997382
850,56,0.997393
860,83,0.997410
870,59,0.997422
880,73,0.997436
890,83,0.997453
900,91,0.997471
910,82,0.997488
920,84,0.997504
930,81,0.997521
940,78,0.997536
950,79,0.997552
960,69,0.997566
970,69,0.997580
980,79,0.997595
990,65,0.997609
1000,60,0.997621
1010,60,0.997633
1020,68,0.997646
1030,58,0.997658
1040,68,0.997671
1050,52,0.997682
1060,61,0.997694
1070,61,0.997706
1080,65,0.997719
1090,44,0.997728
1100,42,0.997736
1110,90,0.997754
1120,67,0.997768
1130,62,0.997780
1140,59,0.997792
1150,55,0.997803
1160,41,0.997811
1170,58,0.997823
1180,44,0.997832
1190,37,0.997839
1200,45,0.997848
1210,35,0.997855
1220,54,0.997866
1230,51,0.997876
1240,53,0.997887
1250,68,0.997900
1260,81,0.997916
1270,98,0.997936
1280,90,0.997954
1290,98,0.997974
1300,102,0.997994
1310,97,0.998013
1320,93,0.998032
1330,90,0.998050
1340,101,0.998070
1350,105,0.998091
1360,88,0.998109
1370,76,0.998124
1380,78,0.998140
1390,75,0.998155
1400,75,0.998170
1410,62,0.998182
1420,47,0.998192
1430,35,0.998199
