#latency,cnt,cdf
0,1225827,0.129036
10,12642,0.130366
20,400,0.130408
30,32228,0.133801
40,596,0.133864
50,3564,0.134239
60,297125,0.165515
70,37658,0.169479
80,296472,0.200687
90,12952,0.202051
100,253907,0.228778
110,131216,0.242590
120,183519,0.261908
130,259150,0.289187
140,80979,0.297712
150,209596,0.319775
160,21537,0.322042
170,617291,0.387020
180,493448,0.438963
190,845455,0.527959
200,436584,0.573915
210,392637,0.615246
220,201742,0.636482
230,934018,0.734801
240,333932,0.769952
250,148956,0.785632
260,159570,0.802428
270,502068,0.855278
280,226592,0.879130
290,206322,0.900849
300,132995,0.914848
310,133004,0.928849
320,236657,0.953760
330,92998,0.963550
340,156710,0.980045
350,9512,0.981047
360,12218,0.982333
370,10002,0.983386
380,28248,0.986359
390,70355,0.993765
400,11038,0.994927
410,5635,0.995520
420,9156,0.996484
430,8352,0.997363
440,5637,0.997957
450,466,0.998006
460,348,0.998042
470,2069,0.998260
480,8211,0.999124
490,718,0.999200
500,280,0.999229
510,323,0.999263
520,142,0.999278
530,222,0.999302
540,49,0.999307
550,54,0.999313
560,128,0.999326
570,104,0.999337
580,307,0.999369
590,47,0.999374
600,22,0.999377
610,33,0.999380
620,87,0.999389
630,71,0.999397
640,25,0.999399
650,22,0.999402
660,22,0.999404
670,20,0.999406
680,30,0.999409
690,30,0.999412
700,19,0.999414
710,24,0.999417
720,18,0.999419
730,19,0.999421
740,21,0.999423
750,20,0.999425
760,29,0.999428
770,17,0.999430
780,22,0.999432
790,23,0.999435
800,33,0.999438
810,23,0.999441
820,17,0.999442
830,16,0.999444
840,11,0.999445
850,19,0.999447
860,23,0.999450
870,19,0.999452
880,18,0.999453
890,33,0.999457
900,27,0.999460
910,35,0.999463
920,24,0.999466
930,30,0.999469
940,18,0.999471
950,24,0.999474
960,38,0.999478
970,35,0.999481
980,29,0.999484
990,28,0.999487
1000,20,0.999489
1010,32,0.999493
1020,31,0.999496
1030,26,0.999499
1040,27,0.999502
1050,29,0.999505
1060,36,0.999508
1070,29,0.999511
1080,18,0.999513
1090,19,0.999515
1100,25,0.999518
1110,16,0.999520
1120,22,0.999522
1130,19,0.999524
1140,15,0.999526
1150,23,0.999528
1160,21,0.999530
1170,18,0.999532
1180,16,0.999534
1190,19,0.999536
1200,11,0.999537
1210,17,0.999539
1220,11,0.999540
1230,19,0.999542
1240,11,0.999543
1250,13,0.999544
1260,15,0.999546
1270,20,0.999548
1280,19,0.999550
1290,13,0.999551
1300,26,0.999554
1310,23,0.999557
1320,23,0.999559
1330,24,0.999562
1340,21,0.999564
1350,31,0.999567
1360,24,0.999570
1370,33,0.999573
1380,27,0.999576
1390,23,0.999578
1400,24,0.999581
1410,9,0.999582
1420,19,0.999584
1430,21,0.999586
1440,21,0.999588
1450,15,0.999590
1460,25,0.999592
1470,24,0.999595
1480,12,0.999596
1490,20,0.999598
1500,23,0.999601
1510,12,0.999602
1520,13,0.999603
1530,8,0.999604
1540,11,0.999605
1550,8,0.999606
1560,15,0.999608
1570,9,0.999609
1580,7,0.999609
1590,14,0.999611
1600,12,0.999612
1610,5,0.999613
1620,9,0.999614
1630,10,0.999615
1640,7,0.999615
1650,11,0.999617
1660,5,0.999617
1670,8,0.999618
1680,6,0.999619
1690,9,0.999620
1700,9,0.999620
1710,7,0.999621
1720,4,0.999622
1730,7,0.999622
1740,5,0.999623
1750,2,0.999623
