#latency,cnt,cdf
20,4249,0.000425
30,2691,0.000694
40,777,0.000772
50,57554,0.006527
60,112405,0.017768
70,115846,0.029352
80,109278,0.040280
90,65384,0.046818
100,69963,0.053815
110,157120,0.069527
120,94100,0.078937
130,74815,0.086418
140,64229,0.092841
150,61564,0.098998
160,119652,0.110963
170,136894,0.124652
180,195092,0.144161
190,133472,0.157509
200,110235,0.168532
210,108761,0.179408
220,116318,0.191040
230,111205,0.202160
240,107902,0.212951
250,117512,0.224702
260,119696,0.236671
270,117247,0.248396
280,110986,0.259495
290,108898,0.270384
300,110288,0.281413
310,111131,0.292526
320,108322,0.303359
330,106117,0.313970
340,103181,0.324288
350,99991,0.334287
360,96946,0.343982
370,95576,0.353540
380,94121,0.362952
390,92231,0.372175
400,90056,0.381180
410,87729,0.389953
420,85830,0.398536
430,84165,0.406953
440,82296,0.415183
450,79898,0.423172
460,78263,0.430999
470,76243,0.438623
480,74431,0.446066
490,72746,0.453341
500,70595,0.460400
510,68961,0.467296
520,67216,0.474018
530,66041,0.480622
540,63980,0.487020
550,62699,0.493290
560,61031,0.499393
570,59698,0.505363
580,57915,0.511154
590,56807,0.516835
600,55188,0.522354
610,54050,0.527759
620,52869,0.533046
630,51503,0.538196
640,49814,0.543177
650,48949,0.548072
660,47945,0.552867
670,46697,0.557536
680,45318,0.562068
690,43999,0.566468
700,43219,0.570790
710,42713,0.575061
720,41311,0.579192
730,40368,0.583229
740,39610,0.587190
750,38357,0.591026
760,36966,0.594723
770,36505,0.598373
780,35400,0.601913
790,34809,0.605394
800,34103,0.608804
810,33287,0.612133
820,32687,0.615402
830,32057,0.618607
840,30934,0.621701
850,30527,0.624753
860,29862,0.627740
870,29497,0.630689
880,28386,0.633528
890,27537,0.636282
900,27248,0.639006
910,26588,0.641665
920,25812,0.644246
930,25478,0.646794
940,24833,0.649278
950,24327,0.651710
960,24226,0.654133
970,23431,0.656476
980,22782,0.658754
990,22198,0.660974
1000,21956,0.663170
1010,21523,0.665322
1020,21050,0.667427
1030,20517,0.669478
1040,20080,0.671486
1050,19993,0.673486
1060,19557,0.675442
1070,19269,0.677368
1080,18669,0.679235
1090,18521,0.681087
1100,17974,0.682885
1110,17587,0.684644
1120,17352,0.686379
1130,16944,0.688073
1140,16975,0.689771
1150,16330,0.691404
1160,16442,0.693048
1170,15703,0.694618
1180,15701,0.696188
