#latency,cnt,cdf
0,2383260,0.250949
10,315495,0.284170
20,58131,0.290291
30,12187,0.291574
40,3322,0.291924
50,4478,0.292395
60,8984,0.293341
70,8297,0.294215
80,8599,0.295120
90,10803,0.296258
100,12985,0.297625
110,13505,0.299047
120,12440,0.300357
130,15926,0.302034
140,10908,0.303182
150,9297,0.304161
160,32463,0.307580
170,40172,0.311810
180,61685,0.318305
190,36881,0.322188
200,25444,0.324867
210,24152,0.327411
220,44406,0.332086
230,53945,0.337767
240,35413,0.341495
250,31737,0.344837
260,32248,0.348233
270,32587,0.351664
280,32756,0.355113
290,32529,0.358538
300,33369,0.362052
310,34073,0.365640
320,33974,0.369217
330,34531,0.372853
340,34442,0.376480
350,33784,0.380037
360,33277,0.383541
370,33541,0.387073
380,33671,0.390618
390,33379,0.394133
400,32903,0.397597
410,32320,0.401001
420,32836,0.404458
430,32516,0.407882
440,32182,0.411271
450,32011,0.414641
460,32113,0.418023
470,32017,0.421394
480,31841,0.424747
490,31668,0.428081
500,31633,0.431412
510,31018,0.434678
520,31092,0.437952
530,31040,0.441220
540,31054,0.444490
550,30875,0.447741
560,30613,0.450965
570,30260,0.454151
580,30314,0.457343
590,30208,0.460524
600,29970,0.463680
610,29783,0.466816
620,29881,0.469962
630,29619,0.473081
640,29339,0.476170
650,29269,0.479252
660,29042,0.482310
670,29122,0.485376
680,28921,0.488422
690,28596,0.491433
700,28778,0.494463
710,28316,0.497445
720,28415,0.500437
730,28299,0.503416
740,28033,0.506368
750,27892,0.509305
760,27773,0.512230
770,27492,0.515124
780,27646,0.518035
790,27311,0.520911
800,27128,0.523768
810,27133,0.526625
820,26556,0.529421
830,27326,0.532298
840,26356,0.535073
850,26088,0.537820
860,25997,0.540558
870,26109,0.543307
880,25785,0.546022
890,25906,0.548750
900,25693,0.551455
910,25637,0.554155
920,25302,0.556819
930,25295,0.559482
940,25087,0.562124
950,24909,0.564747
960,24831,0.567361
970,24869,0.569980
980,24560,0.572566
990,24546,0.575151
1000,24291,0.577708
1010,24222,0.580259
1020,24245,0.582812
1030,23906,0.585329
1040,23908,0.587847
1050,23450,0.590316
1060,23584,0.592799
1070,23461,0.595269
1080,23061,0.597698
1090,23172,0.600138
1100,22999,0.602559
1110,22817,0.604962
1120,22814,0.607364
1130,22428,0.609726
1140,22310,0.612075
1150,22212,0.614414
1160,22082,0.616739
1170,21937,0.619049
1180,22086,0.621374
1190,21924,0.623683
1200,21621,0.625959
1210,21712,0.628246
1220,21306,0.630489
1230,21412,0.632744
1240,21066,0.634962
1250,21124,0.637186
1260,20878,0.639385
1270,20507,0.641544
1280,20435,0.643696
1290,20378,0.645841
1300,20248,0.647973
1310,20715,0.650155
1320,20243,0.652286
1330,20175,0.654410
1340,19749,0.656490
1350,19637,0.658558
1360,19572,0.660619
1370,19414,0.662663
1380,19318,0.664697
1390,19255,0.666724
1400,19325,0.668759
1410,19126,0.670773
1420,19075,0.672782
1430,18740,0.674755
1440,18804,0.676735
1450,18464,0.678679
1460,18484,0.680625
1470,18504,0.682574
1480,18307,0.684501
1490,18006,0.686397
1500,18090,0.688302
1510,18058,0.690204
1520,17899,0.692088
1530,17847,0.693968
1540,17558,0.695816
1550,17428,0.697652
1560,17167,0.699459
1570,17346,0.701286
1580,17253,0.703102
1590,17134,0.704906
1600,16886,0.706685
1610,16748,0.708448
1620,16778,0.710215
1630,16712,0.711974
1640,16633,0.713726
1650,16472,0.715460
1660,16542,0.717202
1670,16078,0.718895
1680,16182,0.720599
1690,16066,0.722291
1700,16034,0.723979
1710,15876,0.725651
1720,15765,0.727311
1730,15727,0.728967
1740,15738,0.730624
1750,15291,0.732234
1760,15455,0.733861
1770,15319,0.735474
1780,15212,0.737076
1790,15046,0.738660
1800,15072,0.740247
1810,14913,0.741818
1820,14815,0.743378
1830,14615,0.744916
1840,14595,0.746453
1850,14580,0.747989
1860,14404,0.749505
1870,14161,0.750996
1880,14307,0.752503
1890,14273,0.754006
1900,14194,0.755500
1910,13995,0.756974
1920,13961,0.758444
1930,13844,0.759902
1940,13754,0.761350
1950,13428,0.762764
1960,13604,0.764196
1970,13479,0.765616
1980,13485,0.767036
1990,13301,0.768436
2000,13322,0.769839
2010,13224,0.771231
2020,13010,0.772601
2030,13262,0.773998
2040,12944,0.775361
2050,13079,0.776738
2060,12813,0.778087
2070,12721,0.779426
2080,12452,0.780738
2090,12636,0.782068
2100,12478,0.783382
2110,12428,0.784691
2120,12365,0.785993
2130,12244,0.787282
2140,11990,0.788544
2150,12219,0.789831
2160,11924,0.791086
2170,12073,0.792358
