#latency,cnt,cdf
0,1340893,0.134089
10,7409,0.134830
20,447,0.134875
30,24062,0.137281
40,358,0.137317
50,1972,0.137514
60,271271,0.164641
70,38501,0.168491
80,267478,0.195239
90,11633,0.196402
100,274973,0.223900
110,86835,0.232583
120,212356,0.253819
130,255323,0.279351
140,117601,0.291111
150,216810,0.312792
160,27773,0.315569
170,670892,0.382659
180,453136,0.427972
190,927439,0.520716
200,443738,0.565090
210,415764,0.606666
220,242747,0.630941
230,1003011,0.731242
240,388804,0.770123
250,145728,0.784695
260,142381,0.798934
270,568925,0.855826
280,198661,0.875692
290,262331,0.901925
300,133398,0.915265
310,142425,0.929507
320,259536,0.955461
330,90593,0.964520
340,162648,0.980785
350,12685,0.982054
360,13622,0.983416
370,11699,0.984586
380,25876,0.987173
390,61962,0.993370
400,12393,0.994609
410,4821,0.995091
420,3806,0.995472
430,6655,0.996137
440,4618,0.996599
450,667,0.996666
460,575,0.996723
470,996,0.996823
480,5543,0.997377
490,645,0.997441
500,634,0.997505
510,607,0.997566
520,304,0.997596
530,426,0.997639
540,156,0.997654
550,178,0.997672
560,160,0.997688
570,206,0.997709
580,507,0.997759
590,224,0.997782
600,258,0.997808
610,225,0.997830
620,232,0.997853
630,310,0.997884
640,315,0.997916
650,229,0.997939
660,239,0.997962
670,226,0.997985
680,167,0.998002
690,203,0.998022
700,205,0.998043
710,201,0.998063
720,227,0.998085
730,187,0.998104
740,153,0.998119
750,139,0.998133
760,135,0.998147
770,112,0.998158
780,138,0.998172
790,104,0.998182
800,101,0.998192
810,104,0.998203
820,97,0.998212
830,95,0.998222
840,87,0.998231
850,110,0.998242
860,95,0.998251
870,100,0.998261
880,105,0.998272
890,110,0.998283
900,132,0.998296
910,170,0.998313
920,117,0.998325
930,131,0.998338
940,135,0.998351
950,128,0.998364
960,123,0.998376
970,132,0.998389
980,130,0.998402
990,128,0.998415
1000,112,0.998426
1010,129,0.998439
1020,110,0.998450
1030,112,0.998461
1040,91,0.998471
1050,92,0.998480
1060,111,0.998491
1070,98,0.998501
1080,105,0.998511
1090,84,0.998520
1100,64,0.998526
1110,115,0.998537
1120,91,0.998547
1130,89,0.998555
1140,79,0.998563
1150,65,0.998570
1160,83,0.998578
1170,63,0.998585
1180,83,0.998593
1190,67,0.998600
1200,72,0.998607
1210,70,0.998614
1220,69,0.998621
1230,100,0.998631
1240,81,0.998639
1250,113,0.998650
1260,121,0.998662
1270,144,0.998676
1280,179,0.998694
1290,157,0.998710
1300,174,0.998728
1310,171,0.998745
1320,178,0.998762
1330,168,0.998779
1340,161,0.998795
1350,136,0.998809
1360,134,0.998822
