#latency,cnt,cdf
50,8037,0.000804
60,32659,0.004070
70,27958,0.006865
80,36721,0.010537
90,20321,0.012570
100,19581,0.014528
110,40272,0.018555
120,35611,0.022116
130,28236,0.024940
140,24484,0.027388
150,24113,0.029799
160,24397,0.032239
170,26245,0.034864
180,30515,0.037915
190,30400,0.040955
200,29815,0.043936
210,29794,0.046916
220,31331,0.050049
230,32134,0.053262
240,32020,0.056464
250,33150,0.059779
260,34533,0.063233
270,35038,0.066736
280,35047,0.070241
290,35300,0.073771
300,35836,0.077355
310,36224,0.080977
320,36463,0.084624
330,37249,0.088348
340,37243,0.092073
350,37325,0.095805
360,37982,0.099603
370,38187,0.103422
380,38685,0.107291
390,39083,0.111199
400,39217,0.115121
410,39468,0.119067
420,39626,0.123030
430,39824,0.127012
440,40190,0.131031
450,40224,0.135054
460,40135,0.139067
470,40943,0.143162
480,41078,0.147269
490,40977,0.151367
500,41140,0.155481
510,41545,0.159636
520,41935,0.163829
530,41912,0.168020
540,41664,0.172187
550,42011,0.176388
560,42076,0.180595
570,42299,0.184825
580,42453,0.189071
590,42741,0.193345
600,42715,0.197616
610,42998,0.201916
620,42772,0.206193
630,42658,0.210459
640,42971,0.214756
650,43103,0.219066
660,43163,0.223383
670,43079,0.227691
680,43217,0.232012
690,43179,0.236330
700,43129,0.240643
710,43447,0.244988
720,43314,0.249319
730,43617,0.253681
740,43542,0.258035
750,43303,0.262365
760,43354,0.266701
770,43232,0.271024
780,43347,0.275359
790,43569,0.279716
800,43030,0.284019
810,43106,0.288329
820,43052,0.292634
830,43477,0.296982
840,43512,0.301333
850,43735,0.305707
860,42829,0.309990
870,43044,0.314294
880,42986,0.318593
890,43015,0.322894
900,42887,0.327183
910,42876,0.331470
920,42612,0.335732
930,43038,0.340035
940,43001,0.344336
950,42563,0.348592
960,42488,0.352841
970,42487,0.357089
980,42601,0.361349
990,42573,0.365607
1000,42362,0.369843
1010,42035,0.374047
1020,42158,0.378262
1030,41672,0.382430
1040,42215,0.386651
1050,41938,0.390845
1060,41759,0.395021
1070,41549,0.399176
1080,41814,0.403357
1090,41496,0.407507
1100,41378,0.411644
1110,41163,0.415761
1120,41477,0.419908
1130,41020,0.424010
1140,40888,0.428099
1150,40891,0.432188
1160,40589,0.436247
1170,40774,0.440325
1180,40766,0.444401
1190,40425,0.448444
1200,40277,0.452471
1210,39927,0.456464
1220,39765,0.460441
1230,39968,0.464437
1240,39258,0.468363
1250,39398,0.472303
1260,39234,0.476226
1270,38932,0.480120
1280,39026,0.484022
1290,38748,0.487897
1300,38730,0.491770
1310,38553,0.495625
1320,38380,0.499463
1330,38257,0.503289
1340,38194,0.507108
1350,37859,0.510894
1360,37423,0.514637
1370,37606,0.518397
1380,37650,0.522162
1390,37071,0.525869
1400,36672,0.529536
1410,36853,0.533222
1420,36904,0.536912
1430,36385,0.540551
1440,36282,0.544179
1450,36513,0.547830
1460,35878,0.551418
1470,36284,0.555046
1480,35592,0.558606
1490,35423,0.562148
1500,35234,0.565671
1510,35318,0.569203
1520,34898,0.572693
1530,34939,0.576187
1540,34459,0.579633
1550,34310,0.583064
1560,34200,0.586484
1570,34023,0.589886
1580,33800,0.593266
1590,33784,0.596644
1600,33532,0.599998
1610,33158,0.603313
1620,33002,0.606614
1630,33255,0.609939
1640,32764,0.613216
1650,32562,0.616472
1660,32526,0.619724
1670,32285,0.622953
1680,32045,0.626157
1690,31850,0.629342
1700,31517,0.632494
1710,31257,0.635620
1720,31435,0.638763
1730,31147,0.641878
1740,30937,0.644972
1750,31159,0.648088
1760,30538,0.651141
1770,30470,0.654188
1780,30332,0.657221
1790,30313,0.660253
1800,29870,0.663240
1810,30003,0.666240
1820,29270,0.669167
1830,29479,0.672115
1840,29004,0.675015
1850,28787,0.677894
1860,28544,0.680749
