#latency,cnt,cdf
0,4549,0.000455
10,25,0.000457
20,4,0.000458
30,392,0.000497
40,8,0.000498
50,1990,0.000697
60,418508,0.042548
70,55954,0.048143
80,427116,0.090855
90,15157,0.092370
100,278504,0.120221
110,140923,0.134313
120,314540,0.165767
130,291010,0.194868
140,131578,0.208026
150,259331,0.233959
160,26847,0.236644
170,266587,0.263302
180,475117,0.310814
190,675990,0.378413
200,551382,0.433551
210,520448,0.485596
220,352173,0.520813
230,715679,0.592381
240,455516,0.637933
250,282192,0.666152
260,231813,0.689333
270,692844,0.758618
280,296573,0.788275
290,362194,0.824494
300,228711,0.847365
310,284088,0.875774
320,349476,0.910722
330,170200,0.927742
340,312682,0.959010
350,30031,0.962013
360,25775,0.964591
370,24627,0.967053
380,69302,0.973984
390,146313,0.988615
400,26607,0.991276
410,8983,0.992174
420,6560,0.992830
430,14332,0.994263
440,13352,0.995598
450,1185,0.995717
460,848,0.995802
470,1660,0.995968
480,7976,0.996765
490,1346,0.996900
500,1164,0.997016
510,936,0.997110
520,760,0.997186
530,1106,0.997296
540,243,0.997321
550,269,0.997348
560,257,0.997373
570,363,0.997410
580,1244,0.997534
590,357,0.997570
600,394,0.997609
610,330,0.997642
620,371,0.997679
630,509,0.997730
640,509,0.997781
650,451,0.997826
660,405,0.997867
670,433,0.997910
680,419,0.997952
690,373,0.997989
700,319,0.998021
710,337,0.998055
720,387,0.998093
730,378,0.998131
740,258,0.998157
750,218,0.998179
760,243,0.998203
770,216,0.998225
780,189,0.998244
790,169,0.998260
800,165,0.998277
810,169,0.998294
820,165,0.998310
830,170,0.998327
840,164,0.998344
850,163,0.998360
860,148,0.998375
870,163,0.998391
880,209,0.998412
890,196,0.998432
900,209,0.998453
910,220,0.998475
920,240,0.998499
930,278,0.998526
940,264,0.998553
950,231,0.998576
960,222,0.998598
970,211,0.998619
980,254,0.998645
990,215,0.998666
1000,191,0.998685
1010,231,0.998708
1020,192,0.998728
1030,198,0.998747
1040,186,0.998766
1050,144,0.998780
1060,143,0.998795
1070,147,0.998809
1080,126,0.998822
1090,130,0.998835
1100,127,0.998848
1110,120,0.998860
1120,106,0.998870
1130,120,0.998882
1140,105,0.998893
1150,93,0.998902
1160,76,0.998910
1170,79,0.998918
1180,80,0.998926
1190,103,0.998936
1200,71,0.998943
1210,84,0.998951
1220,94,0.998961
1230,89,0.998970
1240,97,0.998979
1250,97,0.998989
1260,93,0.998998
1270,79,0.999006
1280,128,0.999019
1290,112,0.999030
1300,121,0.999042
1310,148,0.999057
1320,154,0.999072
1330,131,0.999086
1340,159,0.999102
1350,139,0.999115
1360,125,0.999128
1370,142,0.999142
1380,111,0.999153
1390,125,0.999166
1400,133,0.999179
1410,108,0.999190
1420,106,0.999200
1430,111,0.999211
1440,84,0.999220
1450,91,0.999229
1460,61,0.999235
1470,49,0.999240
1480,57,0.999246
1490,71,0.999253
1500,49,0.999258
1510,49,0.999263
1520,50,0.999268
1530,55,0.999273
1540,51,0.999278
1550,36,0.999282
1560,41,0.999286
1570,38,0.999290
1580,54,0.999295
1590,46,0.999300
1600,31,0.999303
1610,53,0.999308
1620,28,0.999311
1630,45,0.999315
1640,28,0.999318
1650,40,0.999322
1660,36,0.999326
1670,35,0.999329
1680,37,0.999333
1690,28,0.999336
1700,39,0.999340
1710,33,0.999343
1720,38,0.999347
1730,42,0.999351
1740,31,0.999354
1750,35,0.999358
1760,33,0.999361
1770,37,0.999365
1780,33,0.999368
1790,42,0.999372
1800,40,0.999376
1810,38,0.999380
1820,43,0.999384
1830,30,0.999387
1840,36,0.999391
1850,20,0.999393
1860,34,0.999396
1870,26,0.999399
1880,34,0.999402
1890,32,0.999405
1900,29,0.999408
1910,34,0.999412
1920,32,0.999415
1930,37,0.999419
1940,28,0.999421
1950,38,0.999425
1960,30,0.999428
1970,33,0.999431
1980,33,0.999435
1990,30,0.999438
2000,29,0.999441
2010,31,0.999444
2020,34,0.999447
2030,27,0.999450
2040,20,0.999452
2050,33,0.999455
2060,15,0.999457
2070,33,0.999460
2080,25,0.999462
2090,33,0.999466
2100,30,0.999469
2110,14,0.999470
2120,28,0.999473
2130,34,0.999476
2140,14,0.999478
2150,26,0.999480
2160,20,0.999482
2170,19,0.999484
2180,29,0.999487
2190,24,0.999490
2200,21,0.999492
2210,20,0.999494
2220,28,0.999497
2230,22,0.999499
2240,13,0.999500
2250,27,0.999503
2260,30,0.999506
2270,25,0.999508
2280,15,0.999510
2290,23,0.999512
2300,22,0.999514
2310,17,0.999516
2320,25,0.999518
2330,28,0.999521
2340,17,0.999523
2350,22,0.999525
2360,26,0.999528
2370,21,0.999530
2380,25,0.999532
2390,22,0.999534
2400,25,0.999537
2410,20,0.999539
2420,16,0.999541
2430,25,0.999543
2440,19,0.999545
2450,21,0.999547
2460,26,0.999550
2470,16,0.999551
2480,22,0.999554
2490,25,0.999556
2500,18,0.999558
2510,21,0.999560
2520,17,0.999562
2530,20,0.999564
2540,26,0.999566
2550,25,0.999569
2560,18,0.999570
2570,18,0.999572
2580,15,0.999574
2590,19,0.999576
2600,25,0.999578
2610,21,0.999580
2620,22,0.999583
2630,14,0.999584
2640,23,0.999586
2650,17,0.999588
2660,13,0.999589
2670,24,0.999592
2680,17,0.999593
2690,29,0.999596
2700,21,0.999598
2710,23,0.999601
2720,23,0.999603
2730,22,0.999605
2740,18,0.999607
2750,14,0.999608
2760,22,0.999610
2770,24,0.999613
2780,22,0.999615
2790,18,0.999617
2800,16,0.999618
2810,26,0.999621
2820,19,0.999623
2830,19,0.999625
2840,25,0.999627
2850,16,0.999629
2860,22,0.999631
2870,25,0.999634
2880,23,0.999636
2890,14,0.999637
2900,30,0.999640
2910,21,0.999642
2920,15,0.999644
2930,17,0.999646
2940,22,0.999648
2950,21,0.999650
2960,30,0.999653
2970,28,0.999656
2980,31,0.999659
2990,33,0.999662
3000,27,0.999665
3010,32,0.999668
3020,24,0.999671
3030,31,0.999674
3040,35,0.999677
3050,25,0.999680
3060,19,0.999681
3070,27,0.999684
3080,32,0.999687
3090,32,0.999691
3100,32,0.999694
3110,35,0.999697
3120,32,0.999700
3130,37,0.999704
3140,34,0.999708
3150,31,0.999711
3160,41,0.999715
3170,27,0.999717
3180,37,0.999721
3190,39,0.999725
3200,41,0.999729
3210,30,0.999732
3220,27,0.999735
3230,50,0.999740
3240,34,0.999743
3250,33,0.999747
3260,49,0.999752
3270,38,0.999755
3280,24,0.999758
3290,29,0.999761
3300,29,0.999763
3310,28,0.999766
3320,25,0.999769
3330,28,0.999772
3340,36,0.999775
3350,28,0.999778
3360,26,0.999781
3370,21,0.999783
3380,39,0.999787
3390,31,0.999790
3400,25,0.999792
3410,19,0.999794
3420,35,0.999798
3430,22,0.999800
3440,23,0.999802
3450,25,0.999805
3460,26,0.999807
3470,41,0.999811
3480,27,0.999814
3490,33,0.999817
3500,33,0.999821
3510,18,0.999822
3520,31,0.999825
3530,29,0.999828
3540,18,0.999830
3550,33,0.999834
3560,33,0.999837
3570,21,0.999839
3580,32,0.999842
3590,25,0.999845
3600,22,0.999847
3610,26,0.999849
3620,25,0.999852
3630,22,0.999854
3640,34,0.999857
3650,24,0.999860
3660,31,0.999863
3670,28,0.999866
3680,26,0.999868
3690,27,0.999871
3700,21,0.999873
3710,19,0.999875
3720,25,0.999878
3730,26,0.999880
3740,15,0.999882
3750,13,0.999883
3760,26,0.999886
3770,20,0.999888
3780,20,0.999890
3790,18,0.999891
3800,22,0.999894
3810,15,0.999895
3820,17,0.999897
