#latency,cnt,cdf
0,418,0.000084
10,3,0.000084
30,12,0.000087
50,1236,0.000334
60,175959,0.035514
70,22110,0.039935
80,178606,0.075645
90,5986,0.076841
100,50604,0.086959
110,66641,0.100283
120,112966,0.122869
130,101491,0.143161
140,40475,0.151253
150,167517,0.184746
160,15491,0.187843
170,123274,0.212490
180,287589,0.269989
190,283329,0.326637
200,351724,0.396960
210,321248,0.461189
220,176230,0.496423
230,410322,0.578462
240,249218,0.628289
250,129639,0.654209
260,138117,0.681823
270,417627,0.765322
280,187492,0.802809
290,175564,0.837910
300,113971,0.860697
310,118948,0.884479
320,201316,0.924730
330,80540,0.940832
340,135564,0.967937
350,8120,0.969560
360,10271,0.971614
370,7152,0.973044
380,21096,0.977261
390,58187,0.988895
400,9260,0.990747
410,3733,0.991493
420,4205,0.992334
430,4719,0.993277
440,2190,0.993715
450,545,0.993824
460,437,0.993911
470,1519,0.994215
480,5130,0.995241
490,459,0.995332
500,451,0.995423
510,477,0.995518
520,274,0.995573
530,303,0.995633
540,176,0.995669
550,177,0.995704
560,179,0.995740
570,171,0.995774
580,348,0.995844
590,212,0.995886
600,210,0.995928
610,218,0.995972
620,247,0.996021
630,287,0.996078
640,334,0.996145
650,258,0.996197
660,228,0.996242
670,280,0.996298
680,228,0.996344
690,203,0.996384
700,213,0.996427
710,221,0.996471
720,265,0.996524
730,240,0.996572
740,177,0.996607
750,180,0.996643
760,188,0.996681
770,158,0.996713
780,156,0.996744
790,120,0.996768
800,120,0.996792
810,131,0.996818
820,120,0.996842
830,124,0.996867
840,115,0.996890
850,109,0.996912
860,138,0.996939
870,144,0.996968
880,155,0.996999
890,161,0.997031
900,171,0.997065
910,167,0.997099
920,156,0.997130
930,155,0.997161
940,156,0.997192
950,126,0.997217
960,176,0.997252
970,154,0.997283
980,139,0.997311
990,149,0.997341
1000,142,0.997369
1010,114,0.997392
1020,128,0.997418
1030,126,0.997443
1040,124,0.997468
1050,111,0.997490
1060,102,0.997510
1070,97,0.997530
1080,125,0.997555
1090,84,0.997571
1100,82,0.997588
1110,127,0.997613
1120,86,0.997630
1130,93,0.997649
1140,79,0.997665
1150,83,0.997681
1160,77,0.997697
1170,82,0.997713
1180,79,0.997729
1190,83,0.997746
1200,87,0.997763
1210,65,0.997776
1220,88,0.997793
1230,80,0.997809
1240,67,0.997823
1250,73,0.997837
1260,59,0.997849
1270,84,0.997866
1280,94,0.997885
1290,119,0.997909
1300,107,0.997930
1310,87,0.997947
1320,117,0.997971
1330,127,0.997996
1340,100,0.998016
1350,118,0.998040
1360,116,0.998063
1370,86,0.998080
1380,92,0.998099
1390,88,0.998116
1400,92,0.998135
1410,90,0.998153
1420,78,0.998168
1430,102,0.998189
1440,60,0.998201
1450,80,0.998217
1460,61,0.998229
1470,52,0.998239
1480,54,0.998250
1490,53,0.998261
1500,49,0.998270
1510,47,0.998280
1520,52,0.998290
1530,45,0.998299
1540,41,0.998307
1550,37,0.998315
1560,45,0.998324
1570,37,0.998331
1580,42,0.998340
1590,45,0.998349
1600,42,0.998357
