#latency,cnt,cdf
0,278,0.000029
10,28,0.000032
20,8,0.000033
30,2,0.000033
50,4310,0.000487
60,16805,0.002256
70,15311,0.003867
80,18394,0.005804
90,11050,0.006967
100,11264,0.008152
110,21460,0.010411
120,18745,0.012384
130,15983,0.014067
140,14093,0.015550
150,13507,0.016972
160,14246,0.018471
170,16177,0.020174
180,19742,0.022252
190,19897,0.024347
200,19954,0.026447
210,20414,0.028596
220,21908,0.030902
230,22885,0.033311
240,22801,0.035711
250,24020,0.038239
260,25681,0.040942
270,26159,0.043696
280,26371,0.046472
290,26865,0.049299
300,27718,0.052217
310,28498,0.055217
320,29313,0.058302
330,29809,0.061440
340,30069,0.064605
350,29900,0.067752
360,30849,0.070999
370,31262,0.074290
380,31777,0.077635
390,32221,0.081027
400,32518,0.084449
410,32761,0.087898
420,33134,0.091386
430,33325,0.094893
440,33960,0.098468
450,34283,0.102077
460,34421,0.105700
470,34380,0.109319
480,34899,0.112992
490,35129,0.116690
500,35702,0.120448
510,35422,0.124176
520,36099,0.127976
530,36190,0.131785
540,36527,0.135630
550,36019,0.139422
560,36863,0.143302
570,37044,0.147201
580,37265,0.151124
590,37032,0.155022
600,37266,0.158944
610,37683,0.162911
620,37708,0.166880
630,37585,0.170836
640,37765,0.174811
650,38120,0.178824
660,38215,0.182846
670,38369,0.186885
680,38571,0.190945
690,38313,0.194978
700,38365,0.199016
710,38561,0.203075
720,38577,0.207136
730,38561,0.211195
740,38708,0.215269
750,38888,0.219362
760,38841,0.223451
770,39145,0.227571
780,39038,0.231680
790,38878,0.235773
800,39405,0.239921
810,39105,0.244037
820,39398,0.248184
830,39263,0.252317
840,39312,0.256455
850,39326,0.260594
860,38885,0.264687
870,38974,0.268790
880,39113,0.272907
890,39230,0.277036
900,39425,0.281186
910,39237,0.285316
920,39082,0.289430
930,38922,0.293527
940,38826,0.297613
950,38844,0.301702
960,38863,0.305793
970,38752,0.309872
980,38386,0.313912
990,39142,0.318033
1000,39049,0.322143
1010,38681,0.326214
1020,38330,0.330249
1030,38538,0.334306
1040,38373,0.338345
1050,38392,0.342386
1060,37856,0.346371
1070,37942,0.350364
1080,38275,0.354393
1090,38079,0.358401
1100,38163,0.362418
1110,38037,0.366422
1120,38026,0.370425
1130,37659,0.374389
1140,37793,0.378367
1150,37806,0.382346
1160,37435,0.386287
1170,37343,0.390218
1180,37002,0.394112
1190,36916,0.397998
1200,37206,0.401915
1210,37149,0.405825
1220,36760,0.409694
1230,36705,0.413558
1240,36727,0.417424
1250,36421,0.421257
1260,36414,0.425090
1270,36162,0.428897
1280,36046,0.432691
1290,35928,0.436473
1300,35976,0.440260
1310,36088,0.444058
1320,35777,0.447824
1330,35530,0.451564
1340,35289,0.455279
1350,35495,0.459015
1360,34730,0.462670
1370,35150,0.466370
1380,34939,0.470048
1390,34790,0.473710
1400,34691,0.477362
1410,34102,0.480951
1420,34483,0.484581
1430,34171,0.488178
1440,34025,0.491759
1450,33669,0.495303
1460,33614,0.498841
1470,33536,0.502371
1480,33631,0.505911
1490,33522,0.509440
1500,33053,0.512919
1510,33077,0.516401
1520,33435,0.519920
1530,32470,0.523338
1540,32618,0.526771
1550,32703,0.530214
1560,32637,0.533649
1570,32014,0.537019
1580,32038,0.540391
1590,31798,0.543738
1600,31768,0.547082
1610,31490,0.550397
1620,31410,0.553703
1630,31344,0.557002
1640,31431,0.560311
1650,31070,0.563581
1660,31148,0.566860
1670,30597,0.570080
1680,30742,0.573316
