#latency,cnt,cdf
50,3781,0.000398
60,15860,0.002067
70,14361,0.003579
80,18146,0.005489
90,10862,0.006632
100,10518,0.007739
110,20218,0.009867
120,18257,0.011789
130,15354,0.013405
140,13544,0.014830
150,13080,0.016207
160,13513,0.017629
170,15181,0.019227
180,18538,0.021179
190,18990,0.023177
200,19099,0.025188
210,19128,0.027201
220,20655,0.029375
230,22093,0.031700
240,21476,0.033961
250,22734,0.036354
260,24373,0.038919
270,24892,0.041539
280,25085,0.044179
290,25299,0.046842
300,26534,0.049635
310,27215,0.052499
320,27609,0.055405
330,28439,0.058399
340,28664,0.061416
350,28850,0.064452
360,28920,0.067496
370,29485,0.070600
380,30360,0.073795
390,30286,0.076983
400,30880,0.080233
410,31402,0.083538
420,31663,0.086871
430,31842,0.090222
440,32187,0.093610
450,32678,0.097050
460,33140,0.100538
470,33464,0.104060
480,33532,0.107590
490,34115,0.111180
500,33860,0.114744
510,34501,0.118376
520,34763,0.122035
530,34827,0.125700
540,35472,0.129434
550,35626,0.133184
560,35459,0.136916
570,35927,0.140697
580,35820,0.144467
590,36023,0.148259
600,36400,0.152090
610,37148,0.156000
620,37154,0.159911
630,37178,0.163824
640,37071,0.167726
650,37111,0.171632
660,37628,0.175592
670,37533,0.179543
680,37779,0.183519
690,37831,0.187501
700,38138,0.191515
710,37849,0.195499
720,37930,0.199492
730,37619,0.203451
740,38304,0.207483
750,38281,0.211512
760,38452,0.215559
770,38426,0.219604
780,38473,0.223653
790,38567,0.227712
800,38946,0.231812
810,38504,0.235864
820,38635,0.239931
830,39100,0.244046
840,39226,0.248175
850,39023,0.252282
860,38945,0.256382
870,39212,0.260509
880,38980,0.264612
890,38566,0.268671
900,39347,0.272812
910,39340,0.276953
920,39008,0.281059
930,39171,0.285182
940,39091,0.289296
950,39144,0.293416
960,38867,0.297507
970,39442,0.301659
980,38928,0.305756
990,39026,0.309864
1000,39259,0.313996
1010,38772,0.318077
1020,38958,0.322177
1030,38779,0.326259
1040,38704,0.330333
1050,38799,0.334416
1060,38421,0.338460
1070,38479,0.342510
1080,38575,0.346571
1090,38515,0.350624
1100,38347,0.354661
1110,38553,0.358718
1120,38461,0.362767
1130,38356,0.366804
1140,38522,0.370858
1150,38305,0.374890
1160,38124,0.378903
1170,37911,0.382893
1180,37806,0.386872
1190,38007,0.390873
1200,37908,0.394863
1210,37615,0.398822
1220,37556,0.402775
1230,37807,0.406754
1240,37333,0.410684
1250,37834,0.414666
1260,37056,0.418566
1270,37242,0.422486
1280,36701,0.426349
1290,36813,0.430224
1300,37209,0.434140
1310,36454,0.437977
1320,36564,0.441826
1330,36450,0.445662
1340,36601,0.449514
1350,36224,0.453327
1360,35900,0.457106
1370,36054,0.460901
1380,35528,0.464640
1390,35690,0.468397
1400,35768,0.472161
1410,35403,0.475888
1420,35166,0.479589
1430,35356,0.483310
1440,35204,0.487016
1450,34934,0.490693
1460,34791,0.494355
1470,34837,0.498021
1480,34266,0.501628
1490,34445,0.505253
1500,34038,0.508836
1510,34236,0.512440
1520,33926,0.516010
1530,33610,0.519548
1540,33857,0.523112
1550,34043,0.526695
1560,33279,0.530198
1570,33028,0.533674
1580,32872,0.537134
1590,32734,0.540579
1600,32658,0.544017
1610,32828,0.547472
1620,32747,0.550919
1630,32564,0.554346
1640,32305,0.557746
1650,31885,0.561102
1660,31641,0.564433
1670,31973,0.567798
1680,31902,0.571156
1690,31685,0.574491
1700,31161,0.577771
1710,31251,0.581060
1720,30754,0.584297
1730,30775,0.587536
1740,30814,0.590780
1750,30674,0.594008
1760,30290,0.597196
1770,29949,0.600348
1780,30092,0.603516
1790,29671,0.606639
1800,29708,0.609766
1810,29483,0.612869
1820,29504,0.615974
1830,29067,0.619034
1840,28999,0.622086
1850,28605,0.625097
1860,28547,0.628102
1870,28534,0.631105
1880,28430,0.634097
1890,28082,0.637053
1900,27831,0.639982
1910,27734,0.642901
1920,27632,0.645810
1930,27723,0.648728
1940,27240,0.651595
1950,27055,0.654443
1960,27181,0.657303
1970,26940,0.660139
1980,26751,0.662955
1990,26586,0.665753
2000,26224,0.668513
2010,26381,0.671290
2020,26254,0.674053
2030,25898,0.676779
2040,25724,0.679487
2050,25657,0.682187
2060,25421,0.684863
2070,24889,0.687482
2080,25155,0.690130
2090,25016,0.692763
2100,24918,0.695386
2110,24465,0.697961
2120,24976,0.700590
2130,24164,0.703133
2140,24146,0.705675
2150,23698,0.708169
2160,23883,0.710683
2170,23727,0.713180
2180,23448,0.715648
2190,23314,0.718102
2200,22898,0.720512
2210,22789,0.722911
2220,22948,0.725326
2230,22568,0.727701
2240,22760,0.730097
2250,22366,0.732451
2260,22371,0.734806
2270,21977,0.737119
2280,21764,0.739410
2290,21789,0.741703
2300,21477,0.743964
2310,21454,0.746222
2320,21183,0.748451
2330,21126,0.750675
2340,21116,0.752898
2350,20758,0.755082
2360,20789,0.757271
2370,20442,0.759422
2380,20758,0.761607
2390,20211,0.763734
2400,20082,0.765848
2410,20082,0.767962
2420,19686,0.770034
2430,19343,0.772070
2440,19584,0.774131
2450,19183,0.776150
2460,18971,0.778147
2470,18994,0.780146
2480,19197,0.782167
2490,18885,0.784154
2500,18496,0.786101
2510,18274,0.788025
2520,18236,0.789944
2530,18256,0.791866
2540,17856,0.793745
2550,17875,0.795626
2560,17822,0.797502
2570,17717,0.799367
2580,17501,0.801209
2590,17088,0.803008
2600,17179,0.804816
2610,17251,0.806632
2620,16755,0.808395
2630,16790,0.810162
2640,16729,0.811923
2650,16363,0.813645
2660,16425,0.815374
2670,16361,0.817096
2680,16165,0.818798
2690,15844,0.820465
2700,15936,0.822143
2710,15716,0.823797
2720,15722,0.825452
2730,15459,0.827079
2740,15459,0.828706
2750,15369,0.830324
2760,15092,0.831912
2770,15029,0.833494
2780,14818,0.835054
2790,14699,0.836601
2800,14680,0.838146
2810,14425,0.839664
2820,14285,0.841168
2830,14109,0.842653
2840,14073,0.844134
2850,13957,0.845603
2860,13727,0.847048
2870,13737,0.848494
2880,13292,0.849893
2890,13470,0.851310
2900,13424,0.852723
2910,13425,0.854136
2920,12982,0.855503
2930,13096,0.856881
2940,13042,0.858254
2950,12915,0.859613
2960,12638,0.860944
2970,12710,0.862281
2980,12482,0.863595
2990,12377,0.864898
3000,12272,0.866190
3010,12128,0.867466
3020,11973,0.868726
3030,12005,0.869990
3040,11946,0.871247
3050,11615,0.872470
3060,11637,0.873695
3070,11529,0.874908
3080,11185,0.876085
3090,11269,0.877271
3100,11135,0.878443
3110,10956,0.879597
3120,10917,0.880746
3130,10792,0.881882
3140,10801,0.883018
3150,10566,0.884131
3160,10591,0.885245
3170,10471,0.886347
3180,10435,0.887446
3190,10485,0.888549
3200,10205,0.889623
3210,10144,0.890691
3220,10009,0.891745
3230,9759,0.892772
3240,9961,0.893820
3250,9738,0.894845
3260,9678,0.895864
3270,9536,0.896868
3280,9358,0.897853
3290,9344,0.898836
3300,9350,0.899820
3310,9248,0.900794
3320,9126,0.901754
3330,9100,0.902712
3340,9041,0.903664
3350,8868,0.904597
3360,8612,0.905503
3370,8589,0.906407
3380,8580,0.907310
3390,8542,0.908210
3400,8353,0.909089
3410,8451,0.909978
3420,8278,0.910850
3430,8250,0.911718
3440,8134,0.912574
3450,8148,0.913432
3460,8183,0.914293
3470,7847,0.915119
3480,7835,0.915944
3490,7554,0.916739
3500,7778,0.917557
3510,7590,0.918356
3520,7469,0.919142
3530,7522,0.919934
3540,7485,0.920722
3550,7551,0.921517
3560,7310,0.922286
3570,7028,0.923026
3580,7068,0.923770
3590,6986,0.924505
3600,7053,0.925247
3610,6860,0.925969
3620,6754,0.926680
3630,6614,0.927376
3640,6585,0.928070
3650,6745,0.928779
3660,6518,0.929466
3670,6413,0.930141
3680,6335,0.930807
3690,6287,0.931469
3700,6238,0.932126
3710,6106,0.932768
3720,6037,0.933404
3730,6116,0.934047
3740,5932,0.934672
3750,5911,0.935294
3760,5908,0.935916
3770,5824,0.936529
3780,5802,0.937140
3790,5860,0.937756
3800,5698,0.938356
3810,5708,0.938957
3820,5630,0.939549
3830,5499,0.940128
3840,5540,0.940711
3850,5374,0.941277
3860,5343,0.941839
3870,5163,0.942383
3880,5230,0.942933
3890,5173,0.943478
3900,5101,0.944015
3910,5131,0.944555
3920,5060,0.945087
3930,4860,0.945599
3940,4805,0.946105
3950,4837,0.946614
3960,4791,0.947118
3970,4787,0.947622
3980,4718,0.948118
3990,4740,0.948617
4000,4553,0.949097
4010,4535,0.949574
4020,4469,0.950044
4030,4414,0.950509
4040,4416,0.950974
4050,4370,0.951434
4060,4240,0.951880
4070,4328,0.952335
4080,4303,0.952788
4090,4224,0.953233
4100,4150,0.953670
4110,4086,0.954100
4120,3937,0.954514
4130,4037,0.954939
4140,3955,0.955355
4150,3960,0.955772
4160,3978,0.956191
4170,3876,0.956599
4180,3809,0.957000
4190,3790,0.957399
4200,3717,0.957790
4210,3595,0.958168
4220,3605,0.958548
4230,3616,0.958928
4240,3581,0.959305
4250,3482,0.959672
4260,3548,0.960045
4270,3526,0.960416
4280,3491,0.960784
4290,3358,0.961137
4300,3409,0.961496
4310,3321,0.961846
4320,3328,0.962196
4330,3302,0.962543
4340,3334,0.962894
4350,3224,0.963234
4360,3124,0.963562
4370,2982,0.963876
4380,3109,0.964204
4390,3022,0.964522
4400,2955,0.964833
4410,3056,0.965154
4420,2972,0.965467
4430,2888,0.965771
4440,2839,0.966070
4450,2841,0.966369
4460,2796,0.966663
4470,2804,0.966958
4480,2793,0.967252
4490,2737,0.967540
4500,2664,0.967821
4510,2662,0.968101
4520,2606,0.968375
4530,2711,0.968661
4540,2566,0.968931
4550,2613,0.969206
4560,2575,0.969477
4570,2483,0.969738
4580,2490,0.970000
4590,2452,0.970258
4600,2476,0.970519
4610,2361,0.970767
4620,2416,0.971022
4630,2338,0.971268
4640,2334,0.971513
4650,2228,0.971748
4660,2398,0.972000
4670,2344,0.972247
4680,2219,0.972481
4690,2241,0.972717
4700,2084,0.972936
4710,2247,0.973172
4720,2104,0.973394
4730,2061,0.973611
4740,2119,0.973834
4750,2170,0.974062
4760,2126,0.974286
4770,2037,0.974500
4780,1976,0.974708
4790,1970,0.974916
4800,1964,0.975122
4810,2008,0.975334
4820,1940,0.975538
4830,1850,0.975733
4840,1937,0.975937
4850,1792,0.976125
4860,1874,0.976322
4870,1864,0.976519
4880,1810,0.976709
4890,1816,0.976900
4900,1756,0.977085
4910,1741,0.977268
4920,1658,0.977443
4930,1760,0.977628
4940,1658,0.977803
4950,1746,0.977986
4960,1644,0.978159
4970,1665,0.978335
4980,1730,0.978517
4990,1665,0.978692
5000,1590,0.978859
5010,1562,0.979024
5020,1590,0.979191
5030,1492,0.979348
5040,1545,0.979511
5050,1519,0.979671
5060,1531,0.979832
5070,1469,0.979986
5080,1466,0.980141
5090,1342,0.980282
5100,1445,0.980434
5110,1356,0.980577
5120,1395,0.980724
5130,1344,0.980865
5140,1321,0.981004
5150,1367,0.981148
5160,1352,0.981290
5170,1358,0.981433
5180,1328,0.981573
5190,1343,0.981714
5200,1251,0.981846
5210,1310,0.981984
5220,1253,0.982116
5230,1242,0.982247
5240,1258,0.982379
5250,1300,0.982516
5260,1229,0.982645
5270,1242,0.982776
5280,1188,0.982901
5290,1260,0.983034
5300,1195,0.983159
5310,1198,0.983285
5320,1233,0.983415
5330,1158,0.983537
5340,1147,0.983658
5350,1145,0.983778
5360,1117,0.983896
5370,1122,0.984014
5380,1047,0.984124
5390,1090,0.984239
5400,1009,0.984345
5410,1070,0.984458
5420,1060,0.984569
5430,1005,0.984675
5440,1034,0.984784
5450,1012,0.984890
5460,978,0.984993
5470,1003,0.985099
5480,959,0.985200
5490,971,0.985302
5500,969,0.985404
5510,971,0.985506
5520,904,0.985601
5530,948,0.985701
5540,973,0.985804
5550,950,0.985904
5560,941,0.986003
5570,883,0.986096
5580,907,0.986191
5590,872,0.986283
5600,890,0.986377
5610,928,0.986474
5620,859,0.986565
5630,897,0.986659
5640,876,0.986751
5650,878,0.986844
5660,836,0.986932
5670,860,0.987022
5680,809,0.987107
5690,843,0.987196
5700,850,0.987285
5710,800,0.987370
5720,773,0.987451
5730,814,0.987537
5740,813,0.987622
5750,778,0.987704
5760,764,0.987785
5770,814,0.987870
5780,790,0.987953
5790,766,0.988034
5800,758,0.988114
5810,813,0.988199
5820,735,0.988277
5830,798,0.988361
5840,739,0.988439
5850,784,0.988521
5860,745,0.988599
5870,720,0.988675
5880,727,0.988752
5890,697,0.988825
5900,710,0.988900
5910,658,0.988969
5920,691,0.989042
5930,695,0.989115
5940,696,0.989188
5950,670,0.989259
5960,680,0.989330
5970,716,0.989406
5980,719,0.989481
5990,678,0.989553
6000,645,0.989621
6010,613,0.989685
6020,635,0.989752
6030,653,0.989821
6040,574,0.989881
6050,642,0.989949
6060,597,0.990012
6070,663,0.990081
6080,610,0.990146
6090,600,0.990209
6100,605,0.990272
6110,596,0.990335
6120,607,0.990399
6130,607,0.990463
6140,583,0.990524
6150,607,0.990588
6160,588,0.990650
6170,594,0.990713
6180,570,0.990773
6190,558,0.990831
6200,578,0.990892
6210,604,0.990956
6220,579,0.991017
6230,584,0.991078
6240,511,0.991132
6250,531,0.991188
6260,527,0.991243
6270,535,0.991300
6280,551,0.991358
6290,545,0.991415
6300,542,0.991472
6310,542,0.991529
6320,545,0.991586
6330,521,0.991641
6340,486,0.991692
6350,522,0.991747
6360,545,0.991805
6370,524,0.991860
6380,501,0.991913
6390,525,0.991968
6400,497,0.992020
6410,480,0.992071
6420,512,0.992125
6430,477,0.992175
6440,530,0.992231
6450,496,0.992283
6460,466,0.992332
6470,480,0.992382
6480,466,0.992431
6490,453,0.992479
6500,447,0.992526
6510,466,0.992575
6520,446,0.992622
6530,444,0.992669
6540,473,0.992719
6550,483,0.992769
6560,508,0.992823
6570,474,0.992873
6580,456,0.992921
6590,459,0.992969
6600,487,0.993020
6610,403,0.993063
6620,414,0.993106
6630,449,0.993154
6640,463,0.993202
6650,455,0.993250
6660,433,0.993296
6670,448,0.993343
6680,484,0.993394
6690,417,0.993438
6700,434,0.993483
6710,415,0.993527
6720,411,0.993570
6730,427,0.993615
6740,461,0.993664
6750,407,0.993707
6760,410,0.993750
6770,419,0.993794
6780,421,0.993838
6790,431,0.993884
6800,371,0.993923
6810,391,0.993964
6820,438,0.994010
6830,395,0.994052
6840,403,0.994094
6850,415,0.994138
6860,370,0.994177
6870,417,0.994220
6880,348,0.994257
6890,404,0.994300
6900,380,0.994340
6910,398,0.994382
6920,455,0.994429
6930,378,0.994469
6940,368,0.994508
6950,385,0.994548
6960,377,0.994588
6970,378,0.994628
6980,390,0.994669
6990,397,0.994711
7000,335,0.994746
7010,379,0.994786
7020,393,0.994827
7030,356,0.994865
7040,325,0.994899
7050,370,0.994938
7060,387,0.994979
7070,378,0.995018
7080,362,0.995057
7090,370,0.995095
7100,364,0.995134
7110,366,0.995172
7120,324,0.995206
7130,366,0.995245
7140,372,0.995284
7150,360,0.995322
7160,370,0.995361
7170,362,0.995399
7180,346,0.995435
7190,377,0.995475
7200,364,0.995513
7210,357,0.995551
7220,341,0.995587
7230,374,0.995626
7240,371,0.995665
7250,334,0.995700
7260,362,0.995739
7270,322,0.995772
7280,320,0.995806
7290,333,0.995841
7300,354,0.995878
7310,316,0.995912
7320,331,0.995947
7330,293,0.995977
7340,314,0.996010
7350,322,0.996044
7360,318,0.996078
7370,326,0.996112
7380,327,0.996147
7390,326,0.996181
7400,334,0.996216
7410,310,0.996249
7420,323,0.996283
7430,332,0.996318
7440,285,0.996348
7450,313,0.996381
7460,325,0.996415
7470,292,0.996445
7480,297,0.996477
7490,281,0.996506
7500,280,0.996536
7510,338,0.996571
7520,315,0.996605
7530,313,0.996637
7540,275,0.996666
7550,297,0.996698
7560,298,0.996729
7570,276,0.996758
7580,263,0.996786
7590,311,0.996818
7600,293,0.996849
7610,292,0.996880
7620,277,0.996909
7630,247,0.996935
7640,283,0.996965
7650,273,0.996994
7660,271,0.997022
7670,282,0.997052
7680,264,0.997080
7690,270,0.997108
7700,265,0.997136
7710,247,0.997162
7720,257,0.997189
7730,257,0.997216
7740,261,0.997244
7750,261,0.997271
7760,239,0.997296
7770,244,0.997322
7780,241,0.997347
7790,232,0.997372
7800,268,0.997400
7810,250,0.997426
7820,239,0.997451
7830,252,0.997478
7840,225,0.997502
7850,216,0.997524
7860,223,0.997548
7870,245,0.997574
7880,221,0.997597
7890,242,0.997622
7900,241,0.997648
7910,241,0.997673
7920,231,0.997697
7930,218,0.997720
7940,233,0.997745
7950,208,0.997767
7960,244,0.997792
7970,212,0.997815
7980,229,0.997839
7990,218,0.997862
8000,194,0.997882
8010,186,0.997902
8020,234,0.997926
8030,186,0.997946
8040,198,0.997967
8050,226,0.997991
8060,228,0.998015
8070,212,0.998037
8080,187,0.998057
8090,190,0.998077
8100,200,0.998098
8110,189,0.998118
8120,209,0.998140
8130,213,0.998162
8140,184,0.998181
8150,180,0.998200
8160,199,0.998221
8170,173,0.998239
8180,173,0.998258
8190,151,0.998273
8200,157,0.998290
8210,167,0.998308
8220,189,0.998327
8230,181,0.998347
8240,187,0.998366
8250,154,0.998382
8260,172,0.998401
8270,166,0.998418
8280,186,0.998438
8290,143,0.998453
8300,170,0.998471
8310,182,0.998490
8320,151,0.998506
8330,158,0.998522
8340,179,0.998541
8350,166,0.998559
8360,149,0.998574
8370,155,0.998591
8380,141,0.998605
8390,122,0.998618
8400,149,0.998634
8410,137,0.998648
8420,153,0.998664
8430,146,0.998680
8440,149,0.998695
8450,127,0.998709
8460,156,0.998725
8470,152,0.998741
8480,141,0.998756
8490,129,0.998770
8500,148,0.998785
8510,140,0.998800
8520,128,0.998813
8530,120,0.998826
8540,128,0.998840
8550,149,0.998855
8560,121,0.998868
8570,113,0.998880
8580,101,0.998891
8590,116,0.998903
8600,128,0.998916
8610,113,0.998928
8620,88,0.998937
8630,103,0.998948
8640,130,0.998962
8650,120,0.998975
8660,116,0.998987
8670,104,0.998998
8680,105,0.999009
8690,108,0.999020
8700,92,0.999030
8710,108,0.999041
8720,84,0.999050
8730,95,0.999060
8740,105,0.999071
8750,86,0.999080
8760,104,0.999091
8770,103,0.999102
8780,91,0.999111
8790,98,0.999122
8800,85,0.999131
8810,83,0.999139
8820,106,0.999151
8830,94,0.999160
8840,103,0.999171
8850,86,0.999180
8860,66,0.999187
8870,87,0.999196
8880,91,0.999206
8890,78,0.999214
8900,83,0.999223
8910,78,0.999231
8920,79,0.999240
8930,86,0.999249
8940,76,0.999257
8950,82,0.999265
8960,75,0.999273
8970,81,0.999282
8980,85,0.999291
8990,82,0.999299
9000,71,0.999307
9010,71,0.999314
9020,63,0.999321
9030,60,0.999327
9040,74,0.999335
9050,71,0.999342
9060,60,0.999349
9070,75,0.999357
9080,60,0.999363
9090,91,0.999372
9100,55,0.999378
9110,51,0.999384
9120,54,0.999389
9130,56,0.999395
9140,57,0.999401
9150,55,0.999407
9160,64,0.999414
9170,68,0.999421
9180,57,0.999427
9190,74,0.999435
9200,49,0.999440
9210,44,0.999444
9220,56,0.999450
9230,63,0.999457
9240,58,0.999463
9250,56,0.999469
9260,50,0.999474
9270,65,0.999481
9280,53,0.999487
9290,42,0.999491
9300,65,0.999498
9310,49,0.999503
9320,65,0.999510
9330,53,0.999516
9340,65,0.999522
9350,54,0.999528
9360,60,0.999534
9370,50,0.999540
9380,41,0.999544
9390,60,0.999550
9400,61,0.999557
9410,32,0.999560
9420,48,0.999565
9430,41,0.999569
9440,36,0.999573
9450,38,0.999577
9460,44,0.999582
9470,45,0.999587
9480,44,0.999591
9490,34,0.999595
9500,37,0.999599
9510,30,0.999602
9520,38,0.999606
9530,46,0.999611
9540,42,0.999615
9550,46,0.999620
9560,48,0.999625
9570,37,0.999629
9580,34,0.999632
9590,42,0.999637
9600,22,0.999639
9610,41,0.999644
9620,39,0.999648
9630,33,0.999651
9640,37,0.999655
9650,31,0.999658
9660,34,0.999662
9670,41,0.999666
9680,34,0.999670
9690,45,0.999674
9700,36,0.999678
9710,24,0.999681
9720,37,0.999685
9730,35,0.999688
9740,38,0.999692
9750,41,0.999697
9760,27,0.999699
9770,24,0.999702
9780,30,0.999705
9790,34,0.999709
9800,35,0.999712
9810,25,0.999715
9820,30,0.999718
9830,33,0.999722
9840,26,0.999724
9850,24,0.999727
9860,26,0.999730
9870,43,0.999734
9880,26,0.999737
9890,21,0.999739
9900,35,0.999743
9910,28,0.999746
9920,26,0.999749
9930,28,0.999752
9940,18,0.999753
9950,29,0.999756
9960,18,0.999758
9970,19,0.999760
9980,32,0.999764
9990,21,0.999766
10000,19,0.999768
10010,17,0.999770
10020,21,0.999772
10030,22,0.999774
10040,17,0.999776
10050,21,0.999778
10060,19,0.999780
10070,30,0.999783
10080,27,0.999786
10090,21,0.999788
10100,22,0.999791
10110,18,0.999793
10120,22,0.999795
10130,20,0.999797
10140,23,0.999799
10150,25,0.999802
10160,13,0.999803
10170,22,0.999806
10180,24,0.999808
10190,16,0.999810
10200,17,0.999812
10210,16,0.999813
10220,18,0.999815
10230,24,0.999818
10240,11,0.999819
10250,22,0.999821
10260,18,0.999823
10270,17,0.999825
10280,15,0.999827
10290,14,0.999828
10300,16,0.999830
10310,15,0.999831
10320,13,0.999833
