#latency,cnt,cdf
0,1737123,0.182823
10,1358,0.182965
20,769,0.183046
30,32215,0.186437
40,290,0.186467
50,14937,0.188039
60,646210,0.256049
70,47705,0.261070
80,616721,0.325977
90,15219,0.327578
100,211407,0.349828
110,212095,0.372150
120,426619,0.417049
130,412903,0.460505
140,78156,0.468730
150,514491,0.522877
160,116006,0.535086
170,698151,0.608563
180,638565,0.675768
190,565302,0.735263
200,575520,0.795834
210,80385,0.804294
220,181947,0.823443
230,512605,0.877391
240,249675,0.903668
250,133071,0.917673
260,83260,0.926436
270,135758,0.940724
280,56172,0.946635
290,66439,0.953628
300,48801,0.958764
310,93870,0.968643
320,47815,0.973675
330,39823,0.977867
340,30370,0.981063
350,19728,0.983139
360,22772,0.985536
370,18994,0.987535
380,28179,0.990500
390,10922,0.991650
400,8823,0.992578
410,11973,0.993839
420,16869,0.995614
430,7367,0.996389
440,4621,0.996876
450,3100,0.997202
460,2846,0.997501
470,4736,0.998000
480,2046,0.998215
490,1570,0.998380
500,1158,0.998502
510,1123,0.998620
520,647,0.998689
530,604,0.998752
540,493,0.998804
550,419,0.998848
560,346,0.998884
570,341,0.998920
580,399,0.998962
590,340,0.998998
600,329,0.999033
610,197,0.999054
620,173,0.999072
630,180,0.999091
640,180,0.999110
650,176,0.999128
660,105,0.999139
670,120,0.999152
680,110,0.999163
690,101,0.999174
700,80,0.999182
710,74,0.999190
720,88,0.999200
730,74,0.999207
740,88,0.999217
750,70,0.999224
760,83,0.999233
770,79,0.999241
780,72,0.999249
790,69,0.999256
800,54,0.999261
810,99,0.999272
820,74,0.999280
830,63,0.999286
840,69,0.999294
850,58,0.999300
860,59,0.999306
870,61,0.999312
880,54,0.999318
890,61,0.999324
900,58,0.999331
910,58,0.999337
920,49,0.999342
930,41,0.999346
940,44,0.999351
950,36,0.999355
960,29,0.999358
970,36,0.999361
980,27,0.999364
990,27,0.999367
1000,41,0.999371
1010,29,0.999374
1020,32,0.999378
1030,47,0.999383
1040,35,0.999386
1050,42,0.999391
1060,33,0.999394
1070,24,0.999397
1080,22,0.999399
1090,24,0.999402
1100,31,0.999405
1110,15,0.999407
1120,26,0.999409
1130,32,0.999413
1140,38,0.999417
1150,28,0.999420
1160,22,0.999422
1170,32,0.999425
1180,24,0.999428
1190,32,0.999431
1200,20,0.999433
1210,31,0.999436
1220,27,0.999439
1230,25,0.999442
1240,25,0.999445
1250,25,0.999447
1260,24,0.999450
1270,19,0.999452
1280,15,0.999453
1290,29,0.999456
1300,24,0.999459
1310,19,0.999461
1320,22,0.999463
1330,24,0.999466
1340,16,0.999467
1350,24,0.999470
1360,26,0.999473
1370,20,0.999475
1380,23,0.999477
1390,30,0.999480
1400,23,0.999483
1410,20,0.999485
1420,30,0.999488
1430,10,0.999489
1440,22,0.999491
1450,21,0.999494
1460,16,0.999495
1470,20,0.999497
1480,27,0.999500
1490,18,0.999502
1500,16,0.999504
1510,22,0.999506
1520,11,0.999507
1530,21,0.999510
1540,22,0.999512
1550,19,0.999514
1560,19,0.999516
1570,18,0.999518
1580,14,0.999519
1590,27,0.999522
1600,23,0.999525
1610,18,0.999526
1620,19,0.999528
1630,18,0.999530
1640,20,0.999532
1650,22,0.999535
1660,18,0.999537
1670,19,0.999539
1680,11,0.999540
1690,24,0.999542
1700,16,0.999544
1710,19,0.999546
1720,20,0.999548
1730,21,0.999550
1740,17,0.999552
1750,24,0.999555
1760,20,0.999557
1770,19,0.999559
1780,20,0.999561
1790,22,0.999563
1800,13,0.999564
1810,29,0.999568
1820,23,0.999570
1830,23,0.999572
1840,26,0.999575
1850,29,0.999578
1860,45,0.999583
1870,49,0.999588
1880,70,0.999595
1890,45,0.999600
1900,37,0.999604
1910,26,0.999607
1920,31,0.999610
1930,23,0.999613
1940,43,0.999617
1950,32,0.999620
1960,50,0.999626
1970,46,0.999631
1980,63,0.999637
1990,53,0.999643
2000,57,0.999649
2010,41,0.999653
2020,28,0.999656
2030,32,0.999659
2040,14,0.999661
2050,18,0.999663
2060,25,0.999665
2070,23,0.999668
2080,21,0.999670
2090,20,0.999672
2100,27,0.999675
2110,18,0.999677
2120,14,0.999678
2130,25,0.999681
2140,19,0.999683
2150,13,0.999684
2160,14,0.999686
2170,18,0.999688
2180,13,0.999689
2190,27,0.999692
2200,11,0.999693
2210,25,0.999696
2220,13,0.999697
2230,18,0.999699
2240,16,0.999701
2250,24,0.999703
2260,33,0.999707
2270,30,0.999710
2280,22,0.999712
2290,19,0.999714
2300,18,0.999716
2310,17,0.999718
2320,15,0.999719
2330,15,0.999721
2340,24,0.999723
2350,21,0.999726
2360,21,0.999728
2370,25,0.999730
