#latency,cnt,cdf
0,3,0.000000
20,1603,0.000161
30,214963,0.021657
40,1651,0.021822
50,3766,0.022199
60,1222706,0.144469
70,51501,0.149619
80,1184276,0.268047
90,14817,0.269529
100,269425,0.296471
110,329135,0.329385
120,781634,0.407548
130,306790,0.438227
140,48975,0.443125
150,441627,0.487287
160,63331,0.493620
170,1030989,0.596719
180,537896,0.650509
190,1094891,0.759998
200,586968,0.818695
210,85107,0.827205
220,294044,0.856610
230,114129,0.868023
240,241150,0.892138
250,194858,0.911623
260,142991,0.925923
270,207184,0.946641
280,68911,0.953532
290,67019,0.960234
300,49080,0.965142
310,144331,0.979575
320,50522,0.984627
330,39255,0.988553
340,24680,0.991021
350,17425,0.992763
360,10494,0.993813
370,8445,0.994657
380,16228,0.996280
390,7511,0.997031
400,5143,0.997545
410,4515,0.997997
420,4900,0.998487
430,2976,0.998784
440,1909,0.998975
450,1211,0.999097
460,1115,0.999208
470,1136,0.999322
480,957,0.999417
490,707,0.999488
500,438,0.999532
510,302,0.999562
520,276,0.999590
530,228,0.999612
540,158,0.999628
550,115,0.999640
560,87,0.999648
570,67,0.999655
580,88,0.999664
590,54,0.999669
600,35,0.999673
610,26,0.999675
620,25,0.999678
630,17,0.999680
640,12,0.999681
650,16,0.999682
660,17,0.999684
670,7,0.999685
680,12,0.999686
690,9,0.999687
700,7,0.999688
710,6,0.999688
720,7,0.999689
730,9,0.999690
740,8,0.999691
750,8,0.999691
760,3,0.999692
770,6,0.999692
780,2,0.999692
790,4,0.999693
800,6,0.999694
810,7,0.999694
820,8,0.999695
830,15,0.999696
840,11,0.999698
850,3,0.999698
860,5,0.999698
870,7,0.999699
880,4,0.999699
890,3,0.999700
900,8,0.999701
910,27,0.999703
920,42,0.999708
930,13,0.999709
940,5,0.999709
950,6,0.999710
960,1,0.999710
970,3,0.999710
980,3,0.999711
990,2,0.999711
1010,2,0.999711
1020,2,0.999711
1030,2,0.999711
1040,3,0.999712
1050,3,0.999712
1080,2,0.999712
1090,1,0.999712
1100,2,0.999713
1130,2,0.999713
1160,3,0.999713
1170,1,0.999713
1180,1,0.999713
1190,2,0.999713
1210,2,0.999714
1220,2,0.999714
1230,1,0.999714
1240,2,0.999714
1250,2,0.999714
1260,1,0.999714
1270,1,0.999714
1280,1,0.999715
1310,1,0.999715
1320,1,0.999715
1330,2,0.999715
1340,1,0.999715
1390,1,0.999715
1400,3,0.999716
1420,1,0.999716
1430,2,0.999716
1440,1,0.999716
1450,6,0.999717
1460,1,0.999717
1490,2,0.999717
1540,2,0.999717
1560,2,0.999717
1590,1,0.999717
1600,1,0.999717
1610,1,0.999717
1630,1,0.999718
1640,1,0.999718
1660,1,0.999718
1670,2,0.999718
1710,1,0.999718
1720,2,0.999718
1730,2,0.999718
1740,4,0.999719
1750,1,0.999719
1760,1,0.999719
1790,1,0.999719
1800,1,0.999719
1840,4,0.999720
1850,37,0.999723
1860,61,0.999730
1870,58,0.999735
1880,39,0.999739
1890,144,0.999754
1900,62,0.999760
1910,46,0.999764
1920,77,0.999772
1930,9,0.999773
1940,2,0.999773
1950,3,0.999774
1960,1,0.999774
1970,9,0.999775
1980,36,0.999778
1990,10,0.999779
2000,17,0.999781
2010,20,0.999783
2020,11,0.999784
2030,86,0.999793
2040,34,0.999796
2050,1,0.999796
2060,4,0.999796
2070,1,0.999797
2080,1,0.999797
2090,1,0.999797
2140,5,0.999797
2150,12,0.999798
2170,2,0.999799
2180,16,0.999800
2190,3,0.999801
2210,12,0.999802
2220,4,0.999802
2250,20,0.999804
2260,22,0.999806
2270,33,0.999810
2280,35,0.999813
2290,39,0.999817
2300,10,0.999818
2310,21,0.999820
2320,16,0.999822
2330,21,0.999824
2340,3,0.999824
2350,2,0.999824
