#latency,cnt,cdf
0,3603360,0.379259
10,3001,0.379575
20,629,0.379641
30,57048,0.385645
40,533,0.385701
50,691,0.385774
60,353049,0.422933
70,42278,0.427383
80,358186,0.465082
90,7031,0.465822
100,170153,0.483731
110,60997,0.490151
120,315832,0.523393
130,196260,0.544050
140,97033,0.554263
150,182028,0.573421
160,40209,0.577653
170,694036,0.650702
180,266020,0.678701
190,740131,0.756600
200,236103,0.781451
210,68222,0.788631
220,120704,0.801335
230,607567,0.865283
240,169344,0.883106
250,90074,0.892587
260,77746,0.900770
270,96903,0.910969
280,59329,0.917213
290,76885,0.925306
300,54989,0.931093
310,88584,0.940417
320,53014,0.945997
330,56175,0.951909
340,50940,0.957271
350,35267,0.960983
360,45979,0.965822
370,39481,0.969977
380,57426,0.976022
390,25897,0.978747
400,21300,0.980989
410,31811,0.984337
420,38255,0.988364
430,20890,0.990562
440,16083,0.992255
450,10968,0.993409
460,8788,0.994334
470,13163,0.995720
480,6013,0.996353
490,4063,0.996780
500,3160,0.997113
510,3793,0.997512
520,1265,0.997645
530,1206,0.997772
540,1147,0.997893
550,1148,0.998014
560,1050,0.998124
570,912,0.998220
580,1201,0.998347
590,1132,0.998466
600,956,0.998566
610,577,0.998627
620,587,0.998689
630,621,0.998754
640,647,0.998822
650,746,0.998901
660,228,0.998925
670,219,0.998948
680,203,0.998969
690,273,0.998998
700,171,0.999016
710,148,0.999032
720,128,0.999045
730,117,0.999057
740,129,0.999071
750,120,0.999084
760,113,0.999096
770,105,0.999107
780,91,0.999116
790,103,0.999127
800,98,0.999137
810,107,0.999149
820,90,0.999158
830,86,0.999167
840,106,0.999178
850,88,0.999188
860,97,0.999198
870,91,0.999207
880,74,0.999215
890,95,0.999225
900,86,0.999234
910,70,0.999242
920,66,0.999249
930,56,0.999254
940,68,0.999262
950,66,0.999269
960,65,0.999275
970,63,0.999282
980,55,0.999288
990,61,0.999294
1000,40,0.999298
1010,44,0.999303
1020,40,0.999307
1030,44,0.999312
1040,54,0.999318
1050,44,0.999322
1060,43,0.999327
1070,46,0.999332
1080,43,0.999336
1090,44,0.999341
1100,38,0.999345
1110,49,0.999350
1120,33,0.999353
1130,31,0.999357
1140,37,0.999361
1150,37,0.999364
1160,37,0.999368
1170,27,0.999371
1180,39,0.999375
1190,28,0.999378
1200,38,0.999382
1210,36,0.999386
1220,35,0.999390
1230,28,0.999393
1240,39,0.999397
1250,32,0.999400
1260,22,0.999402
1270,37,0.999406
1280,28,0.999409
1290,34,0.999413
1300,33,0.999416
1310,27,0.999419
1320,39,0.999423
1330,30,0.999426
1340,19,0.999428
1350,25,0.999431
1360,29,0.999434
1370,31,0.999437
1380,29,0.999440
1390,21,0.999443
1400,29,0.999446
1410,30,0.999449
1420,22,0.999451
1430,20,0.999453
1440,28,0.999456
1450,19,0.999458
1460,35,0.999462
1470,32,0.999465
1480,28,0.999468
1490,22,0.999470
1500,31,0.999474
1510,21,0.999476
1520,25,0.999479
1530,22,0.999481
1540,21,0.999483
1550,25,0.999486
1560,17,0.999488
1570,27,0.999490
1580,26,0.999493
1590,16,0.999495
1600,28,0.999498
1610,30,0.999501
1620,29,0.999504
1630,23,0.999506
1640,32,0.999510
1650,20,0.999512
1660,22,0.999514
1670,18,0.999516
1680,24,0.999519
1690,12,0.999520
1700,20,0.999522
1710,19,0.999524
1720,25,0.999527
1730,20,0.999529
1740,18,0.999531
1750,23,0.999533
1760,35,0.999537
1770,14,0.999538
1780,26,0.999541
1790,22,0.999543
1800,28,0.999546
1810,32,0.999550
1820,24,0.999552
1830,27,0.999555
1840,48,0.999560
1850,49,0.999565
1860,53,0.999571
1870,80,0.999579
1880,85,0.999588
1890,60,0.999594
1900,53,0.999600
1910,36,0.999604
1920,24,0.999606
1930,12,0.999608
1940,24,0.999610
1950,27,0.999613
1960,39,0.999617
1970,33,0.999620
1980,57,0.999626
1990,46,0.999631
2000,46,0.999636
2010,67,0.999643
2020,50,0.999648
2030,51,0.999654
2040,47,0.999659
2050,42,0.999663
2060,34,0.999667
2070,35,0.999670
2080,33,0.999674
2090,24,0.999676
2100,34,0.999680
2110,18,0.999682
2120,36,0.999686
2130,21,0.999688
2140,24,0.999690
2150,17,0.999692
2160,19,0.999694
2170,19,0.999696
2180,15,0.999698
2190,20,0.999700
2200,14,0.999701
2210,20,0.999704
2220,23,0.999706
2230,19,0.999708
2240,18,0.999710
2250,19,0.999712
2260,23,0.999714
2270,11,0.999715
2280,15,0.999717
2290,13,0.999718
2300,17,0.999720
2310,29,0.999723
2320,26,0.999726
2330,13,0.999727
2340,16,0.999729
2350,13,0.999730
2360,21,0.999733
