#latency,cnt,cdf
0,1823747,0.182375
10,1376,0.182512
20,514,0.182564
30,32556,0.185819
40,255,0.185845
50,5473,0.186392
60,915984,0.277990
70,65262,0.284517
80,890489,0.373566
90,15878,0.375153
100,270468,0.402200
110,197175,0.421918
120,689789,0.490897
130,338038,0.524700
140,85965,0.533297
150,282271,0.561524
160,46706,0.566195
170,697801,0.635975
180,455884,0.681563
190,659296,0.747493
200,342759,0.781769
210,92199,0.790989
220,136072,0.804596
230,609116,0.865507
240,202264,0.885734
250,104581,0.896192
260,100761,0.906268
270,127491,0.919017
280,73835,0.926400
290,94297,0.935830
300,63485,0.942179
310,100376,0.952216
320,63920,0.958608
330,62466,0.964855
340,49671,0.969822
350,38637,0.973686
360,32154,0.976901
370,24024,0.979303
380,33573,0.982661
390,22999,0.984961
400,18124,0.986773
410,16685,0.988442
420,21551,0.990597
430,11395,0.991736
440,11174,0.992854
450,9250,0.993779
460,8602,0.994639
470,6454,0.995284
480,5021,0.995786
490,4072,0.996194
500,3769,0.996570
510,4448,0.997015
520,2376,0.997253
530,2387,0.997491
540,1810,0.997672
550,1845,0.997857
560,1373,0.997994
570,1151,0.998109
580,1306,0.998240
590,1126,0.998353
600,1336,0.998486
610,630,0.998549
620,541,0.998603
630,676,0.998671
640,736,0.998744
650,861,0.998831
660,316,0.998862
670,303,0.998892
680,291,0.998922
690,434,0.998965
700,235,0.998989
710,188,0.999007
720,203,0.999028
730,145,0.999042
740,176,0.999060
750,119,0.999072
760,116,0.999083
770,126,0.999096
780,111,0.999107
790,121,0.999119
800,100,0.999129
810,100,0.999139
820,99,0.999149
830,116,0.999161
840,101,0.999171
850,106,0.999181
860,85,0.999190
870,102,0.999200
880,97,0.999210
890,98,0.999219
900,113,0.999231
910,118,0.999242
920,93,0.999252
930,68,0.999259
940,60,0.999265
950,95,0.999274
960,69,0.999281
970,75,0.999288
980,55,0.999294
990,56,0.999300
1000,70,0.999307
1010,55,0.999312
1020,44,0.999317
1030,41,0.999321
1040,44,0.999325
1050,43,0.999329
1060,42,0.999334
1070,25,0.999336
1080,47,0.999341
1090,30,0.999344
1100,30,0.999347
1110,44,0.999351
1120,19,0.999353
1130,22,0.999355
1140,25,0.999358
1150,23,0.999360
1160,24,0.999362
1170,22,0.999365
1180,22,0.999367
1190,31,0.999370
1200,28,0.999373
1210,23,0.999375
1220,31,0.999378
1230,24,0.999381
1240,24,0.999383
1250,24,0.999385
1260,14,0.999387
1270,13,0.999388
1280,16,0.999390
1290,24,0.999392
1300,17,0.999394
1310,23,0.999396
1320,22,0.999398
1330,14,0.999400
1340,22,0.999402
1350,20,0.999404
1360,20,0.999406
1370,17,0.999407
1380,21,0.999410
1390,24,0.999412
1400,30,0.999415
1410,19,0.999417
1420,19,0.999419
1430,24,0.999421
1440,15,0.999423
1450,19,0.999425
1460,18,0.999426
1470,27,0.999429
1480,18,0.999431
1490,24,0.999433
1500,19,0.999435
1510,23,0.999438
1520,16,0.999439
1530,27,0.999442
1540,26,0.999444
1550,17,0.999446
1560,20,0.999448
1570,19,0.999450
1580,9,0.999451
1590,21,0.999453
1600,33,0.999456
1610,14,0.999458
1620,17,0.999459
1630,27,0.999462
1640,20,0.999464
1650,18,0.999466
1660,25,0.999468
1670,17,0.999470
1680,19,0.999472
1690,22,0.999474
1700,17,0.999476
1710,16,0.999478
1720,23,0.999480
1730,15,0.999481
1740,23,0.999484
1750,16,0.999485
1760,16,0.999487
1770,30,0.999490
1780,47,0.999494
1790,64,0.999501
1800,78,0.999509
1810,81,0.999517
1820,94,0.999526
1830,73,0.999533
1840,41,0.999538
1850,33,0.999541
1860,39,0.999545
1870,38,0.999549
1880,29,0.999551
1890,27,0.999554
1900,36,0.999558
1910,62,0.999564
1920,51,0.999569
1930,69,0.999576
1940,76,0.999584
1950,38,0.999587
1960,40,0.999591
1970,45,0.999596
1980,39,0.999600
1990,37,0.999604
2000,33,0.999607
2010,36,0.999610
2020,38,0.999614
2030,20,0.999616
2040,23,0.999618
2050,20,0.999620
2060,20,0.999623
2070,13,0.999624
2080,20,0.999626
2090,17,0.999627
2100,17,0.999629
2110,15,0.999631
2120,14,0.999632
2130,22,0.999634
2140,14,0.999636
2150,30,0.999639
2160,11,0.999640
2170,18,0.999642
2180,15,0.999643
2190,28,0.999646
2200,17,0.999648
2210,26,0.999650
2220,12,0.999651
2230,19,0.999653
2240,23,0.999656
2250,19,0.999658
2260,12,0.999659
2270,23,0.999661
2280,16,0.999663
2290,25,0.999665
2300,21,0.999667
2310,21,0.999669
2320,29,0.999672
2330,21,0.999674
2340,16,0.999676
2350,19,0.999678
2360,20,0.999680
2370,15,0.999681
2380,16,0.999683
2390,20,0.999685
2400,22,0.999687
2410,13,0.999688
2420,21,0.999690
2430,23,0.999693
2440,15,0.999694
2450,15,0.999696
2460,17,0.999698
2470,27,0.999700
2480,14,0.999702
2490,26,0.999704
2500,16,0.999706
2510,25,0.999708
2520,19,0.999710
2530,16,0.999712
2540,17,0.999713
2550,18,0.999715
2560,9,0.999716
2570,19,0.999718
2580,15,0.999720
2590,14,0.999721
2600,9,0.999722
2610,20,0.999724
2620,23,0.999726
2630,18,0.999728
2640,18,0.999730
2650,16,0.999731
2660,12,0.999733
2670,11,0.999734
2680,20,0.999736
2690,11,0.999737
2700,19,0.999739
2710,5,0.999739
2720,12,0.999740
2730,13,0.999742
2740,11,0.999743
2750,13,0.999744
2760,10,0.999745
2770,9,0.999746
2780,10,0.999747
2790,12,0.999748
2800,7,0.999749
2810,17,0.999751
2820,16,0.999752
2830,12,0.999753
2840,15,0.999755
2850,13,0.999756
2860,17,0.999758
2870,11,0.999759
2880,13,0.999760
2890,11,0.999761
2900,14,0.999763
2910,12,0.999764
2920,15,0.999766
2930,13,0.999767
2940,12,0.999768
2950,8,0.999769
2960,9,0.999770
2970,9,0.999771
2980,9,0.999771
2990,15,0.999773
3000,10,0.999774
3010,7,0.999775
3020,13,0.999776
3030,10,0.999777
3040,9,0.999778
3050,3,0.999778
3060,12,0.999779
3070,12,0.999781
3080,6,0.999781
3090,14,0.999783
3100,14,0.999784
3110,9,0.999785
3120,8,0.999786
3130,15,0.999787
3140,14,0.999789
3150,8,0.999789
3160,7,0.999790
3170,6,0.999791
3180,13,0.999792
3190,11,0.999793
3200,9,0.999794
3210,5,0.999794
3220,11,0.999796
3230,16,0.999797
3240,4,0.999798
3250,7,0.999798
3260,9,0.999799
3270,10,0.999800
3280,11,0.999801
3290,16,0.999803
3300,6,0.999803
3310,11,0.999805
3320,9,0.999806
3330,8,0.999806
3340,12,0.999807
3350,16,0.999809
3360,7,0.999810
3370,7,0.999811
3380,10,0.999811
3390,6,0.999812
3400,14,0.999813
3410,8,0.999814
3420,11,0.999815
3430,2,0.999816
3440,12,0.999817
3450,8,0.999818
3460,9,0.999819
3470,10,0.999820
3480,15,0.999821
3490,5,0.999821
3500,14,0.999823
3510,9,0.999824
3520,6,0.999824
3530,3,0.999825
3540,10,0.999826
3550,7,0.999826
3560,5,0.999827
3570,5,0.999827
3580,9,0.999828
3590,8,0.999829
3600,9,0.999830
3610,4,0.999830
3620,3,0.999831
3630,5,0.999831
3640,4,0.999832
3650,3,0.999832
3660,5,0.999832
3670,6,0.999833
3680,6,0.999834
3690,3,0.999834
3700,3,0.999834
3710,7,0.999835
3720,6,0.999835
3730,4,0.999836
3740,5,0.999836
3750,1,0.999837
3760,6,0.999837
3770,2,0.999837
3780,2,0.999838
3790,7,0.999838
3800,5,0.999839
3810,3,0.999839
3820,1,0.999839
3830,2,0.999839
3840,1,0.999839
3850,3,0.999840
3860,3,0.999840
3870,2,0.999840
3880,3,0.999840
3890,2,0.999841
3900,3,0.999841
3910,2,0.999841
3920,6,0.999842
3930,5,0.999842
3940,5,0.999843
3950,3,0.999843
3960,6,0.999844
3970,3,0.999844
3980,5,0.999844
3990,1,0.999845
4000,2,0.999845
4020,4,0.999845
4030,3,0.999846
4040,3,0.999846
4050,2,0.999846
4060,8,0.999847
4070,6,0.999847
4080,6,0.999848
4090,4,0.999848
4100,1,0.999848
4110,4,0.999849
4120,2,0.999849
4130,3,0.999849
4140,1,0.999849
4150,3,0.999850
4160,2,0.999850
4170,5,0.999851
4180,4,0.999851
4190,3,0.999851
4200,3,0.999852
4210,3,0.999852
4220,7,0.999852
4230,5,0.999853
4240,5,0.999853
4260,2,0.999854
4270,5,0.999854
4280,1,0.999854
4290,3,0.999855
4300,3,0.999855
4310,3,0.999855
4320,5,0.999856
4330,5,0.999856
4340,1,0.999856
4360,2,0.999856
4370,2,0.999857
4380,1,0.999857
4390,6,0.999857
4400,1,0.999857
4410,2,0.999858
4420,5,0.999858
4430,1,0.999858
4440,4,0.999859
4450,3,0.999859
4460,2,0.999859
4470,6,0.999860
4480,5,0.999860
