#latency,cnt,cdf
20,3,0.000000
30,132,0.000014
40,1,0.000014
50,15974,0.001611
60,989844,0.100595
70,59786,0.106574
80,896116,0.196186
90,13567,0.197542
100,68182,0.204360
110,179499,0.222310
120,643460,0.286656
130,747255,0.361382
140,104297,0.371812
150,1269937,0.498805
160,176806,0.516486
170,600744,0.576560
180,1120620,0.688622
190,347830,0.723405
200,1185784,0.841984
210,78043,0.849788
220,194462,0.869234
230,129750,0.882209
240,481286,0.930338
250,111183,0.941456
260,113360,0.952792
270,119081,0.964700
280,46017,0.969302
290,46439,0.973946
300,30618,0.977008
310,92438,0.986251
320,25483,0.988800
330,21987,0.990998
340,18686,0.992867
350,11782,0.994045
360,9553,0.995000
370,7440,0.995745
380,9349,0.996679
390,6306,0.997310
400,5081,0.997818
410,3501,0.998168
420,3698,0.998538
430,2164,0.998754
440,1356,0.998890
450,926,0.998983
460,874,0.999070
470,739,0.999144
480,553,0.999199
490,537,0.999253
500,301,0.999283
510,261,0.999309
520,212,0.999330
530,213,0.999352
540,202,0.999372
550,155,0.999387
560,110,0.999398
570,119,0.999410
580,104,0.999421
590,92,0.999430
600,91,0.999439
610,68,0.999446
620,70,0.999453
630,45,0.999457
640,51,0.999462
650,64,0.999469
660,73,0.999476
670,92,0.999485
680,96,0.999495
690,77,0.999502
700,50,0.999507
710,62,0.999514
720,77,0.999521
730,48,0.999526
740,55,0.999532
750,45,0.999536
760,56,0.999542
770,45,0.999546
780,39,0.999550
790,51,0.999555
800,42,0.999560
810,40,0.999564
820,37,0.999567
830,36,0.999571
840,37,0.999574
850,42,0.999579
860,34,0.999582
870,52,0.999587
880,32,0.999591
890,30,0.999593
900,31,0.999597
910,39,0.999601
920,42,0.999605
930,41,0.999609
940,42,0.999613
950,31,0.999616
960,26,0.999619
970,30,0.999622
980,20,0.999624
990,28,0.999627
1000,29,0.999629
1010,22,0.999632
1020,24,0.999634
1030,32,0.999637
1040,23,0.999640
1050,19,0.999641
1060,22,0.999644
1070,15,0.999645
1080,19,0.999647
1090,12,0.999648
1100,24,0.999651
1110,13,0.999652
1120,14,0.999653
1130,15,0.999655
1140,27,0.999658
1150,19,0.999659
1160,20,0.999661
1170,21,0.999663
1180,21,0.999666
1190,17,0.999667
1200,19,0.999669
1210,23,0.999672
1220,26,0.999674
1230,18,0.999676
1240,27,0.999679
1250,28,0.999681
1260,15,0.999683
1270,18,0.999685
1280,22,0.999687
1290,14,0.999688
1300,12,0.999690
1310,20,0.999691
1320,12,0.999693
1330,17,0.999694
1340,9,0.999695
1350,17,0.999697
1360,18,0.999699
1370,16,0.999700
1380,16,0.999702
1390,20,0.999704
1400,17,0.999706
1410,10,0.999707
1420,15,0.999708
1430,21,0.999710
1440,13,0.999712
1450,15,0.999713
1460,14,0.999714
1470,11,0.999716
1480,10,0.999717
1490,14,0.999718
1500,12,0.999719
1510,16,0.999721
1520,13,0.999722
1530,13,0.999723
1540,15,0.999725
1550,11,0.999726
1560,12,0.999727
1570,18,0.999729
1580,14,0.999730
1590,9,0.999731
1600,14,0.999733
1610,15,0.999734
1620,14,0.999736
1630,23,0.999738
1640,11,0.999739
1650,13,0.999740
1660,7,0.999741
1670,17,0.999743
1680,12,0.999744
1690,11,0.999745
1700,12,0.999746
1710,14,0.999748
1720,10,0.999749
1730,12,0.999750
1740,19,0.999752
1750,17,0.999753
1760,11,0.999754
1770,12,0.999756
1780,13,0.999757
1790,16,0.999759
1800,24,0.999761
1810,18,0.999763
1820,14,0.999764
1830,14,0.999766
1840,17,0.999767
1850,16,0.999769
1860,29,0.999772
1870,31,0.999775
1880,25,0.999777
1890,25,0.999780
1900,13,0.999781
1910,14,0.999783
1920,15,0.999784
1930,12,0.999785
1940,23,0.999788
1950,23,0.999790
1960,26,0.999793
1970,24,0.999795
1980,23,0.999797
1990,22,0.999799
2000,25,0.999802
2010,17,0.999804
2020,14,0.999805
2030,17,0.999807
2040,13,0.999808
2050,14,0.999809
2060,6,0.999810
2070,7,0.999811
2080,16,0.999812
2090,8,0.999813
2100,6,0.999814
2110,11,0.999815
2120,8,0.999816
2130,15,0.999817
2140,7,0.999818
2150,13,0.999819
2160,7,0.999820
2170,12,0.999821
2180,13,0.999822
2190,17,0.999824
2200,13,0.999825
2210,8,0.999826
2220,14,0.999828
2230,10,0.999829
2240,17,0.999830
2250,18,0.999832
2260,16,0.999834
2270,17,0.999835
2280,16,0.999837
2290,12,0.999838
2300,18,0.999840
2310,7,0.999841
2320,14,0.999842
2330,20,0.999844
2340,14,0.999845
2350,12,0.999847
2360,11,0.999848
2370,6,0.999848
2380,13,0.999850
2390,15,0.999851
2400,16,0.999853
2410,16,0.999854
2420,11,0.999855
2430,15,0.999857
2440,13,0.999858
2450,19,0.999860
2460,7,0.999861
2470,9,0.999862
2480,10,0.999863
2490,12,0.999864
2500,11,0.999865
2510,14,0.999866
2520,12,0.999868
2530,6,0.999868
2540,14,0.999870
2550,11,0.999871
2560,12,0.999872
2570,14,0.999873
2580,6,0.999874
2590,15,0.999875
2600,13,0.999877
2610,15,0.999878
2620,10,0.999879
2630,21,0.999881
2640,10,0.999882
2650,14,0.999884
2660,16,0.999885
2670,15,0.999887
2680,13,0.999888
2690,18,0.999890
2700,9,0.999891
2710,9,0.999892
2720,14,0.999893
2730,11,0.999894
2740,11,0.999895
2750,8,0.999896
2760,11,0.999897
2770,11,0.999898
2780,13,0.999900
2790,11,0.999901
2800,12,0.999902
2810,8,0.999903
2820,7,0.999903
2830,9,0.999904
2840,8,0.999905
2850,12,0.999906
2860,8,0.999907
2870,15,0.999909
2880,11,0.999910
2890,9,0.999911
2900,10,0.999912
2910,13,0.999913
2920,11,0.999914
2930,6,0.999915
2940,7,0.999915
2950,15,0.999917
2960,15,0.999918
2970,9,0.999919
2980,10,0.999920
2990,6,0.999921
3000,11,0.999922
3010,9,0.999923
3020,11,0.999924
3030,11,0.999925
3040,15,0.999927
3050,9,0.999927
3060,13,0.999929
3070,10,0.999930
3080,11,0.999931
3090,3,0.999931
3100,13,0.999932
3110,11,0.999933
3120,9,0.999934
3130,7,0.999935
3140,10,0.999936
3150,7,0.999937
3160,8,0.999938
3170,10,0.999939
3180,7,0.999939
3190,11,0.999940
3200,9,0.999941
3210,7,0.999942
3220,11,0.999943
3230,9,0.999944
3240,11,0.999945
3250,11,0.999946
3260,8,0.999947
3270,7,0.999948
3280,9,0.999949
3290,12,0.999950
3300,11,0.999951
3310,13,0.999952
3320,13,0.999954
3330,17,0.999955
3340,9,0.999956
3350,14,0.999958
3360,4,0.999958
3370,10,0.999959
3380,6,0.999960
3390,10,0.999960
3400,8,0.999961
3410,6,0.999962
3420,14,0.999963
3430,5,0.999964
3440,8,0.999965
3450,6,0.999965
3460,3,0.999965
3470,3,0.999966
3480,5,0.999966
3490,8,0.999967
3500,6,0.999968
3510,6,0.999968
3520,8,0.999969
3530,7,0.999970
3540,5,0.999970
3550,3,0.999971
3560,8,0.999971
3570,6,0.999972
3580,4,0.999972
3590,7,0.999973
3600,5,0.999974
3610,8,0.999974
3620,6,0.999975
3630,8,0.999976
3640,1,0.999976
3650,3,0.999976
3660,2,0.999976
3670,9,0.999977
3680,3,0.999978
3690,2,0.999978
3700,7,0.999978
3710,2,0.999979
3720,4,0.999979
3730,1,0.999979
3740,2,0.999979
3760,1,0.999979
3770,1,0.999980
3780,1,0.999980
3790,3,0.999980
3810,1,0.999980
3840,1,0.999980
3860,2,0.999980
3870,1,0.999981
3880,2,0.999981
3890,1,0.999981
3900,1,0.999981
3910,2,0.999981
3920,1,0.999981
3930,1,0.999981
3940,2,0.999982
3950,1,0.999982
3960,1,0.999982
4020,1,0.999982
4040,1,0.999982
4050,1,0.999982
4460,1,0.999982
4470,1,0.999982
4480,4,0.999983
4520,2,0.999983
4530,1,0.999983
4540,5,0.999983
4550,5,0.999984
4560,5,0.999984
4570,4,0.999985
4580,1,0.999985
4590,3,0.999985
4600,6,0.999986
4610,1,0.999986
4620,2,0.999986
4630,4,0.999987
4640,4,0.999987
4650,5,0.999987
4660,6,0.999988
4670,6,0.999989
4680,9,0.999990
4690,2,0.999990
4700,9,0.999991
4710,6,0.999991
4720,2,0.999991
4730,4,0.999992
4740,3,0.999992
4750,3,0.999992
4760,6,0.999993
4780,7,0.999994
4790,5,0.999994
4800,5,0.999995
4810,2,0.999995
4820,5,0.999995
4830,3,0.999996
4840,4,0.999996
4870,7,0.999997
4880,2,0.999997
4890,5,0.999997
4900,2,0.999998
4910,1,0.999998
4920,1,0.999998
4950,1,0.999998
4960,1,0.999998
4970,2,0.999998
4980,2,0.999999
4990,3,0.999999
5000,1,0.999999
5010,2,0.999999
5020,3,0.999999
5040,1,1.000000
5050,3,1.000000
5090,1,1.000000
5100,1,1.000000
