#latency,cnt,cdf
100,1,0.000000
120,2,0.000001
140,2,0.000001
180,1,0.000001
230,1,0.000001
390,1,0.000002
460,1,0.000002
470,2,0.000002
540,2,0.000003
600,3,0.000003
610,2,0.000004
640,1,0.000004
700,1,0.000004
710,1,0.000004
730,1,0.000004
790,1,0.000005
810,1,0.000005
860,1,0.000005
920,2,0.000005
930,1,0.000006
980,2,0.000006
990,1,0.000006
1000,2,0.000007
1020,3,0.000007
1030,2,0.000008
1040,1,0.000008
1050,4,0.000009
1060,1,0.000009
1070,1,0.000009
1080,2,0.000009
1090,1,0.000010
1210,1,0.000010
1250,1,0.000010
1260,3,0.000011
1270,2,0.000011
1290,1,0.000011
1300,1,0.000011
1350,1,0.000012
1370,1,0.000012
1410,1,0.000012
1420,1,0.000012
1440,1,0.000012
1450,1,0.000013
1480,2,0.000013
1490,2,0.000013
1500,1,0.000014
1530,1,0.000014
1550,2,0.000014
1560,1,0.000014
1600,1,0.000015
1610,1,0.000015
1620,1,0.000015
1640,2,0.000015
1650,1,0.000016
1680,2,0.000016
1700,5,0.000017
1710,1,0.000017
1730,2,0.000018
1810,1,0.000018
1840,1,0.000018
1850,1,0.000018
1870,2,0.000019
1890,1,0.000019
1910,1,0.000019
1920,4,0.000020
1930,1,0.000020
1950,2,0.000020
1970,1,0.000021
1990,1,0.000021
2000,1,0.000021
2010,1,0.000021
2030,1,0.000021
2040,3,0.000022
2050,1,0.000022
2060,1,0.000022
2070,2,0.000023
2080,2,0.000023
2090,2,0.000024
2100,3,0.000024
2110,2,0.000025
2120,1,0.000025
2140,4,0.000026
2150,2,0.000026
2160,1,0.000026
2170,6,0.000027
2180,3,0.000028
2200,5,0.000029
2210,5,0.000030
2220,8,0.000032
2230,3,0.000032
2240,7,0.000034
2250,2,0.000034
2260,4,0.000035
2270,3,0.000035
2280,2,0.000036
2290,3,0.000036
2300,4,0.000037
2310,7,0.000039
2320,2,0.000039
2330,2,0.000039
2340,4,0.000040
2350,3,0.000041
2360,2,0.000041
2370,7,0.000043
2380,8,0.000044
2390,9,0.000046
2400,5,0.000047
2410,7,0.000048
2420,4,0.000049
2430,8,0.000051
2440,4,0.000052
2450,7,0.000053
2460,4,0.000054
2470,5,0.000055
2480,2,0.000055
2490,10,0.000057
2500,4,0.000058
2510,6,0.000059
2520,3,0.000060
2530,4,0.000061
2540,5,0.000062
2550,4,0.000062
2560,8,0.000064
2570,8,0.000066
2580,7,0.000067
2590,8,0.000069
2600,3,0.000069
2610,9,0.000071
2620,12,0.000073
2630,10,0.000075
2640,5,0.000076
2650,11,0.000079
2660,6,0.000080
2670,4,0.000081
2680,7,0.000082
2690,7,0.000083
2700,12,0.000086
2710,8,0.000087
2720,9,0.000089
2730,10,0.000091
2740,11,0.000093
2750,6,0.000095
2760,9,0.000096
2770,6,0.000098
2780,10,0.000100
2790,13,0.000102
2800,10,0.000104
2810,12,0.000107
2820,12,0.000109
2830,10,0.000111
2840,8,0.000113
2850,11,0.000115
2860,9,0.000117
2870,9,0.000118
2880,21,0.000123
2890,12,0.000125
2900,12,0.000127
2910,10,0.000129
2920,8,0.000131
2930,9,0.000133
2940,12,0.000135
2950,14,0.000138
2960,18,0.000142
2970,14,0.000144
2980,11,0.000147
2990,17,0.000150
3000,19,0.000154
3010,12,0.000156
3020,16,0.000159
3030,14,0.000162
3040,18,0.000166
3050,15,0.000169
3060,17,0.000172
3070,14,0.000175
3080,10,0.000177
3090,17,0.000180
3100,17,0.000184
3110,10,0.000186
3120,17,0.000189
3130,24,0.000194
3140,20,0.000198
3150,17,0.000201
3160,17,0.000205
3170,25,0.000210
3180,19,0.000214
3190,16,0.000217
3200,16,0.000220
3210,17,0.000223
3220,20,0.000227
3230,33,0.000234
3240,26,0.000239
3250,25,0.000244
3260,34,0.000251
3270,23,0.000256
3280,28,0.000261
3290,29,0.000267
3300,29,0.000273
3310,24,0.000278
3320,25,0.000283
3330,38,0.000290
3340,31,0.000296
3350,40,0.000304
3360,33,0.000311
3370,43,0.000320
3380,30,0.000326
3390,35,0.000333
3400,40,0.000341
3410,37,0.000348
3420,39,0.000356
3430,39,0.000364
3440,45,0.000373
3450,49,0.000382
3460,61,0.000395
3470,40,0.000403
3480,47,0.000412
3490,53,0.000423
3500,44,0.000431
3510,59,0.000443
3520,70,0.000457
3530,43,0.000466
3540,58,0.000477
3550,57,0.000489
3560,72,0.000503
3570,61,0.000515
3580,60,0.000527
3590,63,0.000540
3600,69,0.000554
3610,80,0.000570
3620,78,0.000585
3630,76,0.000601
3640,76,0.000616
3650,80,0.000632
3660,88,0.000649
3670,76,0.000665
3680,83,0.000681
3690,81,0.000697
3700,94,0.000716
3710,83,0.000733
3720,101,0.000753
3730,117,0.000777
3740,113,0.000799
3750,90,0.000817
3760,101,0.000837
3770,105,0.000858
3780,112,0.000881
3790,103,0.000901
3800,105,0.000922
3810,111,0.000945
3820,111,0.000967
3830,114,0.000990
3840,122,0.001014
3850,132,0.001040
3860,118,0.001064
3870,111,0.001086
3880,128,0.001112
3890,137,0.001139
3900,147,0.001169
3910,145,0.001198
3920,132,0.001224
3930,105,0.001245
3940,131,0.001271
3950,143,0.001300
3960,156,0.001331
3970,163,0.001364
3980,119,0.001387
3990,171,0.001422
4000,147,0.001451
4010,167,0.001484
4020,164,0.001517
4030,194,0.001556
4040,180,0.001592
4050,195,0.001631
4060,178,0.001667
4070,169,0.001700
4080,206,0.001742
4090,215,0.001785
4100,199,0.001824
4110,212,0.001867
4120,203,0.001907
4130,224,0.001952
4140,219,0.001996
4150,221,0.002040
4160,239,0.002088
4170,224,0.002133
4180,246,0.002182
4190,240,0.002230
4200,239,0.002278
4210,245,0.002327
4220,270,0.002381
4230,253,0.002432
4240,248,0.002481
4250,264,0.002534
4260,270,0.002588
4270,246,0.002637
4280,271,0.002691
4290,291,0.002750
4300,288,0.002807
4310,302,0.002868
4320,300,0.002928
4330,332,0.002994
4340,283,0.003051
4350,308,0.003112
4360,323,0.003177
4370,336,0.003244
4380,313,0.003307
4390,337,0.003374
4400,344,0.003443
4410,331,0.003509
4420,379,0.003585
4430,349,0.003655
4440,350,0.003725
4450,362,0.003797
4460,366,0.003870
4470,364,0.003943
4480,409,0.004025
4490,414,0.004108
4500,413,0.004190
4510,451,0.004281
4520,402,0.004361
4530,413,0.004444
4540,419,0.004527
4550,447,0.004617
4560,419,0.004701
4570,462,0.004793
4580,443,0.004882
4590,483,0.004978
4600,506,0.005080
4610,464,0.005172
4620,452,0.005263
4630,467,0.005356
4640,473,0.005451
4650,508,0.005552
4660,517,0.005656
4670,501,0.005756
4680,504,0.005857
4690,508,0.005958
4700,530,0.006064
4710,535,0.006171
4720,578,0.006287
4730,606,0.006408
4740,570,0.006522
4750,549,0.006632
4760,537,0.006740
4770,611,0.006862
4780,599,0.006982
4790,588,0.007099
4800,591,0.007217
4810,619,0.007341
4820,599,0.007461
4830,634,0.007588
4840,642,0.007716
4850,654,0.007847
4860,622,0.007972
4870,727,0.008117
4880,625,0.008242
4890,676,0.008377
4900,668,0.008511
4910,646,0.008640
4920,668,0.008774
4930,728,0.008919
4940,684,0.009056
4950,711,0.009198
4960,708,0.009340
4970,710,0.009482
4980,689,0.009620
4990,740,0.009768
5000,706,0.009909
5010,709,0.010051
5020,770,0.010205
5030,771,0.010359
5040,805,0.010520
5050,820,0.010684
5060,816,0.010847
5070,777,0.011003
5080,819,0.011167
5090,834,0.011333
5100,829,0.011499
5110,822,0.011664
5120,855,0.011835
5130,823,0.011999
5140,905,0.012180
5150,874,0.012355
5160,872,0.012530
5170,937,0.012717
5180,829,0.012883
5190,893,0.013061
5200,902,0.013242
5210,925,0.013427
5220,931,0.013613
5230,993,0.013812
5240,949,0.014002
5250,922,0.014186
5260,955,0.014377
5270,995,0.014576
5280,978,0.014772
5290,1064,0.014985
5300,980,0.015181
5310,989,0.015378
5320,1070,0.015592
5330,1067,0.015806
5340,1087,0.016023
5350,1085,0.016240
5360,1089,0.016458
5370,1130,0.016684
5380,1160,0.016916
5390,1117,0.017140
5400,1115,0.017363
5410,1151,0.017593
5420,1127,0.017818
5430,1116,0.018042
5440,1183,0.018278
5450,1255,0.018529
5460,1192,0.018768
5470,1203,0.019008
5480,1227,0.019254
5490,1272,0.019508
5500,1226,0.019753
5510,1199,0.019993
5520,1256,0.020244
5530,1286,0.020502
5540,1275,0.020757
5550,1249,0.021007
5560,1243,0.021255
5570,1331,0.021521
5580,1299,0.021781
5590,1326,0.022047
5600,1310,0.022309
5610,1381,0.022585
5620,1371,0.022859
5630,1416,0.023142
5640,1422,0.023427
5650,1476,0.023722
5660,1475,0.024017
5670,1489,0.024315
5680,1553,0.024625
5690,1555,0.024937
5700,1469,0.025230
5710,1568,0.025544
5720,1538,0.025852
5730,1589,0.026170
5740,1533,0.026476
5750,1639,0.026804
5760,1633,0.027131
5770,1552,0.027441
5780,1666,0.027774
5790,1650,0.028104
5800,1671,0.028439
5810,1655,0.028770
5820,1660,0.029102
5830,1746,0.029451
5840,1754,0.029802
5850,1737,0.030149
5860,1751,0.030500
5870,1772,0.030854
5880,1804,0.031215
5890,1756,0.031566
5900,1830,0.031932
5910,1869,0.032306
5920,1942,0.032694
5930,1986,0.033092
5940,1972,0.033486
5950,2010,0.033888
5960,1977,0.034284
5970,1991,0.034682
5980,2066,0.035095
5990,2132,0.035522
6000,2120,0.035946
6010,2115,0.036369
6020,2235,0.036816
6030,2200,0.037256
6040,2202,0.037696
6050,2253,0.038147
6060,2301,0.038607
6070,2278,0.039063
6080,2373,0.039538
6090,2374,0.040012
6100,2392,0.040491
6110,2366,0.040964
6120,2495,0.041463
6130,2463,0.041956
6140,2352,0.042426
6150,2555,0.042937
6160,2503,0.043438
6170,2649,0.043968
6180,2808,0.044530
6190,2738,0.045077
6200,2627,0.045603
6210,2730,0.046149
6220,2814,0.046712
6230,2795,0.047271
6240,2879,0.047847
6250,2902,0.048427
6260,2883,0.049004
6270,2981,0.049600
6280,3044,0.050209
6290,3175,0.050844
6300,3169,0.051478
6310,3220,0.052122
6320,3183,0.052759
6330,3302,0.053419
6340,3336,0.054087
6350,3169,0.054721
6360,3329,0.055386
6370,3495,0.056086
6380,3521,0.056790
6390,3626,0.057515
6400,3583,0.058232
6410,3604,0.058953
6420,3863,0.059725
6430,3853,0.060496
6440,3864,0.061269
6450,3829,0.062035
6460,3927,0.062820
6470,3973,0.063615
6480,3932,0.064402
6490,4106,0.065223
6500,4103,0.066044
6510,4212,0.066886
6520,4369,0.067760
6530,4333,0.068627
6540,4414,0.069510
6550,4400,0.070390
6560,4524,0.071295
6570,4524,0.072200
6580,4563,0.073113
6590,4674,0.074047
6600,4738,0.074995
6610,4814,0.075958
6620,4910,0.076940
6630,5000,0.077940
6640,5055,0.078952
6650,5133,0.079978
6660,5247,0.081028
6670,5245,0.082077
6680,5315,0.083140
6690,5571,0.084255
6700,5586,0.085372
6710,5433,0.086459
6720,5456,0.087550
6730,5672,0.088685
6740,5781,0.089841
6750,5872,0.091015
6760,5942,0.092204
6770,6068,0.093418
6780,6225,0.094663
6790,6154,0.095894
6800,6288,0.097152
6810,6538,0.098460
6820,6478,0.099755
6830,6619,0.101079
6840,6716,0.102423
6850,6745,0.103772
6860,6617,0.105095
6870,6937,0.106483
6880,7185,0.107920
6890,6924,0.109305
6900,7215,0.110748
6910,7203,0.112189
6920,7457,0.113681
6930,7350,0.115151
6940,7615,0.116674
6950,7627,0.118200
6960,7811,0.119762
6970,7757,0.121314
6980,7915,0.122897
6990,7853,0.124468
7000,8012,0.126071
7010,8099,0.127691
7020,8168,0.129324
7030,8348,0.130994
7040,8305,0.132656
7050,8383,0.134332
7060,8585,0.136050
