#latency,cnt,cdf
0,1567,0.000165
10,2,0.000165
30,20,0.000167
50,9346,0.001151
60,840800,0.089659
70,48947,0.094811
80,816287,0.180739
90,11632,0.181963
100,82884,0.190688
110,270023,0.219113
120,549947,0.277004
130,556441,0.335578
140,126400,0.348884
150,907866,0.444451
160,231190,0.468788
170,475269,0.518818
180,918972,0.615555
190,375914,0.655126
200,1009029,0.761342
210,114414,0.773386
220,291731,0.804096
230,258607,0.831318
240,361178,0.869338
250,229655,0.893513
260,120498,0.906198
270,211003,0.928409
280,77357,0.936552
290,77510,0.944711
300,72150,0.952306
310,139185,0.966958
320,64119,0.973707
330,44443,0.978386
340,33777,0.981941
350,24323,0.984502
360,19968,0.986604
370,18826,0.988585
380,25865,0.991308
390,12679,0.992643
400,9274,0.993619
410,8535,0.994518
420,12232,0.995805
430,6278,0.996466
440,3941,0.996881
450,2616,0.997156
460,2097,0.997377
470,2483,0.997638
480,1963,0.997845
490,1722,0.998026
500,1232,0.998156
510,967,0.998258
520,714,0.998333
530,758,0.998413
540,531,0.998469
550,426,0.998513
560,387,0.998554
570,356,0.998592
580,345,0.998628
590,267,0.998656
600,258,0.998683
610,202,0.998704
620,192,0.998725
630,176,0.998743
640,164,0.998760
650,170,0.998778
660,170,0.998796
670,188,0.998816
680,196,0.998837
690,144,0.998852
700,145,0.998867
710,154,0.998883
720,186,0.998903
730,133,0.998917
740,129,0.998931
750,137,0.998945
760,183,0.998964
770,123,0.998977
780,134,0.998991
790,145,0.999007
800,126,0.999020
810,145,0.999035
820,116,0.999047
830,109,0.999059
840,98,0.999069
850,93,0.999079
860,122,0.999092
870,93,0.999101
880,78,0.999110
890,76,0.999118
900,79,0.999126
910,83,0.999135
920,80,0.999143
930,75,0.999151
940,67,0.999158
950,57,0.999164
960,66,0.999171
970,40,0.999175
980,57,0.999181
990,61,0.999188
1000,60,0.999194
1010,58,0.999200
1020,51,0.999205
1030,60,0.999212
1040,50,0.999217
1050,43,0.999222
1060,43,0.999226
1070,37,0.999230
1080,37,0.999234
1090,38,0.999238
1100,46,0.999243
1110,41,0.999247
1120,44,0.999252
1130,47,0.999257
1140,48,0.999262
1150,40,0.999266
1160,37,0.999270
1170,47,0.999275
1180,41,0.999279
1190,43,0.999284
1200,39,0.999288
1210,54,0.999293
1220,43,0.999298
1230,43,0.999302
1240,53,0.999308
1250,42,0.999312
1260,43,0.999317
1270,46,0.999322
1280,45,0.999327
1290,37,0.999330
1300,45,0.999335
1310,41,0.999339
1320,36,0.999343
1330,43,0.999348
1340,41,0.999352
1350,42,0.999357
1360,42,0.999361
1370,49,0.999366
1380,39,0.999370
1390,37,0.999374
1400,29,0.999377
1410,34,0.999381
1420,30,0.999384
1430,29,0.999387
1440,30,0.999390
1450,38,0.999394
1460,44,0.999399
1470,29,0.999402
1480,35,0.999405
1490,27,0.999408
