#latency,cnt,cdf
30,12,0.000001
50,1950,0.000207
60,869410,0.091730
70,54414,0.097458
80,849764,0.186913
90,12241,0.188202
100,61404,0.194666
110,228956,0.218768
120,608645,0.282841
130,568857,0.342725
140,104175,0.353691
150,976000,0.456436
160,204063,0.477918
170,491158,0.529622
180,937375,0.628300
190,358238,0.666012
200,1054937,0.777066
210,109830,0.788628
220,277470,0.817837
230,225755,0.841603
240,393347,0.883011
250,203617,0.904446
260,122990,0.917393
270,201959,0.938653
280,74057,0.946449
290,67720,0.953578
300,62639,0.960172
310,129097,0.973762
320,57701,0.979837
330,38623,0.983903
340,27454,0.986793
350,21572,0.989064
360,14567,0.990597
370,13772,0.992047
380,17395,0.993878
390,10478,0.994981
400,7376,0.995757
410,6156,0.996406
420,7705,0.997217
430,4435,0.997684
440,2808,0.997979
450,1932,0.998182
460,1630,0.998354
470,1526,0.998515
480,1516,0.998674
490,1265,0.998807
500,959,0.998908
510,760,0.998988
520,622,0.999054
530,509,0.999108
540,351,0.999144
550,223,0.999168
560,219,0.999191
570,216,0.999214
580,193,0.999234
590,145,0.999249
600,118,0.999262
610,127,0.999275
620,99,0.999286
630,91,0.999295
640,96,0.999305
650,94,0.999315
660,85,0.999324
670,100,0.999335
680,88,0.999344
690,73,0.999352
700,86,0.999361
710,75,0.999368
720,94,0.999378
730,81,0.999387
740,101,0.999398
750,85,0.999406
760,97,0.999417
770,89,0.999426
780,96,0.999436
790,87,0.999445
800,86,0.999454
810,84,0.999463
820,54,0.999469
830,92,0.999479
840,72,0.999486
850,52,0.999492
860,56,0.999498
870,62,0.999504
880,48,0.999509
890,48,0.999514
900,38,0.999518
910,35,0.999522
920,34,0.999525
930,29,0.999528
940,27,0.999531
950,41,0.999536
960,27,0.999538
970,29,0.999542
980,28,0.999545
990,24,0.999547
1000,27,0.999550
1010,30,0.999553
1020,21,0.999555
1030,41,0.999560
1040,33,0.999563
1050,24,0.999566
1060,29,0.999569
1070,23,0.999571
1080,25,0.999574
1090,25,0.999576
1100,25,0.999579
1110,32,0.999582
1120,17,0.999584
1130,18,0.999586
1140,33,0.999589
1150,21,0.999592
1160,19,0.999594
1170,14,0.999595
1180,24,0.999598
1190,25,0.999600
1200,29,0.999603
1210,26,0.999606
1220,39,0.999610
1230,23,0.999613
1240,24,0.999615
1250,23,0.999618
1260,22,0.999620
1270,25,0.999623
1280,19,0.999624
1290,19,0.999627
1300,23,0.999629
1310,16,0.999631
1320,28,0.999634
1330,14,0.999635
1340,17,0.999637
1350,14,0.999638
1360,18,0.999640
1370,18,0.999642
1380,21,0.999644
1390,12,0.999646
1400,14,0.999647
1410,25,0.999650
1420,19,0.999652
1430,17,0.999653
1440,18,0.999655
1450,11,0.999656
1460,22,0.999659
1470,15,0.999660
1480,15,0.999662
1490,24,0.999664
1500,19,0.999667
1510,16,0.999668
1520,17,0.999670
1530,13,0.999671
1540,17,0.999673
1550,18,0.999675
1560,19,0.999677
1570,17,0.999679
1580,19,0.999681
1590,19,0.999683
1600,17,0.999685
1610,20,0.999687
1620,21,0.999689
1630,19,0.999691
1640,16,0.999693
1650,14,0.999694
1660,27,0.999697
1670,19,0.999699
1680,16,0.999701
1690,15,0.999702
1700,26,0.999705
1710,14,0.999706
1720,13,0.999708
1730,21,0.999710
1740,20,0.999712
1750,15,0.999714
1760,19,0.999716
1770,23,0.999718
1780,17,0.999720
1790,13,0.999721
1800,19,0.999723
1810,17,0.999725
1820,26,0.999728
1830,18,0.999730
1840,21,0.999732
1850,20,0.999734
1860,23,0.999736
1870,15,0.999738
1880,26,0.999741
1890,18,0.999743
1900,22,0.999745
1910,22,0.999747
1920,19,0.999749
