#latency,cnt,cdf
50,5,0.000001
60,36,0.000004
70,15,0.000006
80,37,0.000009
90,8,0.000010
100,4,0.000011
110,20,0.000013
120,21,0.000015
130,14,0.000016
140,16,0.000018
150,13,0.000019
160,8,0.000020
170,22,0.000022
180,13,0.000023
190,17,0.000025
200,17,0.000027
210,13,0.000028
220,16,0.000030
230,20,0.000032
240,25,0.000034
250,11,0.000035
260,13,0.000036
270,14,0.000038
280,14,0.000039
290,9,0.000040
300,22,0.000042
310,12,0.000044
320,19,0.000045
330,21,0.000048
340,15,0.000049
350,14,0.000050
360,19,0.000052
370,20,0.000054
380,17,0.000056
390,12,0.000057
400,12,0.000058
410,14,0.000060
420,16,0.000061
430,14,0.000063
440,14,0.000064
450,12,0.000065
460,21,0.000068
470,16,0.000069
480,17,0.000071
490,15,0.000072
500,23,0.000075
510,24,0.000077
520,14,0.000078
530,13,0.000080
540,15,0.000081
550,11,0.000082
560,16,0.000084
570,18,0.000086
580,17,0.000087
590,15,0.000089
600,14,0.000090
610,23,0.000093
620,15,0.000094
630,20,0.000096
640,18,0.000098
650,8,0.000099
660,14,0.000100
670,21,0.000102
680,11,0.000103
690,16,0.000105
700,18,0.000107
710,22,0.000109
720,17,0.000111
730,17,0.000112
740,18,0.000114
750,27,0.000117
760,14,0.000118
770,20,0.000120
780,14,0.000122
790,15,0.000123
800,18,0.000125
810,25,0.000127
820,17,0.000129
830,22,0.000131
840,18,0.000133
850,21,0.000135
860,5,0.000136
870,21,0.000138
880,16,0.000139
890,19,0.000141
900,20,0.000143
910,28,0.000146
920,19,0.000148
930,18,0.000150
940,16,0.000151
950,14,0.000153
960,21,0.000155
970,22,0.000157
980,22,0.000159
990,13,0.000161
1000,11,0.000162
1010,17,0.000163
1020,17,0.000165
1030,15,0.000167
1040,13,0.000168
1050,12,0.000169
1060,11,0.000170
1070,13,0.000172
1080,19,0.000173
1090,17,0.000175
1100,15,0.000177
1110,17,0.000178
1120,28,0.000181
1130,25,0.000184
1140,20,0.000186
1150,18,0.000187
1160,14,0.000189
1170,24,0.000191
1180,24,0.000194
1190,26,0.000196
1200,17,0.000198
1210,18,0.000200
1220,32,0.000203
1230,30,0.000206
1240,33,0.000209
1250,32,0.000212
1260,23,0.000215
1270,28,0.000218
1280,16,0.000219
1290,30,0.000222
1300,33,0.000225
1310,21,0.000228
1320,26,0.000230
1330,28,0.000233
1340,22,0.000235
1350,22,0.000237
1360,25,0.000240
1370,26,0.000242
1380,32,0.000246
1390,41,0.000250
1400,27,0.000252
1410,35,0.000256
1420,40,0.000260
1430,32,0.000263
1440,37,0.000267
1450,25,0.000269
1460,39,0.000273
1470,50,0.000278
1480,25,0.000281
1490,32,0.000284
1500,31,0.000287
1510,35,0.000291
1520,49,0.000295
1530,41,0.000300
1540,30,0.000303
1550,32,0.000306
1560,44,0.000310
1570,29,0.000313
1580,40,0.000317
1590,42,0.000321
1600,53,0.000327
1610,41,0.000331
1620,50,0.000336
1630,43,0.000340
1640,40,0.000344
1650,44,0.000348
1660,49,0.000353
1670,50,0.000358
1680,48,0.000363
1690,40,0.000367
1700,50,0.000372
1710,58,0.000378
1720,48,0.000383
1730,52,0.000388
1740,49,0.000393
1750,74,0.000400
1760,85,0.000409
1770,64,0.000415
1780,61,0.000421
1790,67,0.000428
1800,71,0.000435
1810,66,0.000442
1820,63,0.000448
1830,89,0.000457
1840,86,0.000465
1850,90,0.000474
1860,95,0.000484
1870,76,0.000491
1880,92,0.000501
1890,91,0.000510
1900,115,0.000521
1910,95,0.000531
1920,92,0.000540
1930,111,0.000551
1940,96,0.000561
1950,105,0.000571
1960,103,0.000581
1970,111,0.000593
1980,114,0.000604
1990,122,0.000616
2000,117,0.000628
2010,117,0.000640
2020,114,0.000651
2030,122,0.000663
2040,146,0.000678
2050,138,0.000692
2060,153,0.000707
2070,130,0.000720
2080,151,0.000735
2090,151,0.000750
2100,146,0.000765
2110,141,0.000779
2120,173,0.000796
2130,182,0.000814
2140,197,0.000834
2150,185,0.000852
2160,180,0.000870
2170,167,0.000887
2180,183,0.000905
2190,213,0.000927
2200,208,0.000948
2210,260,0.000974
2220,231,0.000997
2230,252,0.001022
2240,231,0.001045
2250,276,0.001073
2260,282,0.001101
2270,268,0.001128
2280,280,0.001156
2290,298,0.001185
2300,275,0.001213
2310,308,0.001244
2320,316,0.001275
2330,345,0.001310
2340,338,0.001344
2350,374,0.001381
2360,347,0.001416
2370,410,0.001457
2380,438,0.001500
2390,423,0.001543
2400,421,0.001585
2410,446,0.001629
2420,422,0.001672
2430,419,0.001714
2440,476,0.001761
2450,465,0.001808
2460,474,0.001855
2470,497,0.001905
2480,546,0.001959
2490,543,0.002014
2500,584,0.002072
2510,566,0.002129
2520,548,0.002183
2530,600,0.002243
2540,607,0.002304
2550,636,0.002368
2560,650,0.002433
2570,667,0.002499
2580,679,0.002567
2590,681,0.002635
2600,741,0.002710
2610,731,0.002783
2620,726,0.002855
2630,751,0.002930
2640,739,0.003004
2650,784,0.003083
2660,809,0.003164
2670,770,0.003241
2680,857,0.003326
2690,831,0.003409
2700,823,0.003492
2710,919,0.003584
2720,1001,0.003684
2730,927,0.003776
2740,969,0.003873
2750,963,0.003970
2760,979,0.004067
2770,1031,0.004171
2780,1007,0.004271
2790,1059,0.004377
2800,1023,0.004479
2810,1086,0.004588
2820,1127,0.004701
2830,1217,0.004822
2840,1154,0.004938
2850,1250,0.005063
2860,1211,0.005184
2870,1285,0.005312
2880,1218,0.005434
2890,1310,0.005565
2900,1362,0.005701
2910,1358,0.005837
2920,1373,0.005975
2930,1489,0.006123
2940,1521,0.006276
2950,1561,0.006432
2960,1554,0.006587
2970,1553,0.006742
2980,1599,0.006902
2990,1630,0.007065
3000,1671,0.007232
3010,1669,0.007399
3020,1758,0.007575
3030,1773,0.007752
3040,1807,0.007933
3050,1921,0.008125
3060,1797,0.008305
3070,1898,0.008495
3080,1936,0.008688
3090,1910,0.008879
3100,1959,0.009075
3110,2012,0.009276
3120,2072,0.009484
3130,2141,0.009698
3140,2149,0.009913
3150,2194,0.010132
3160,2199,0.010352
3170,2241,0.010576
3180,2247,0.010801
3190,2359,0.011037
3200,2391,0.011276
3210,2433,0.011519
3220,2531,0.011772
3230,2463,0.012018
3240,2543,0.012273
3250,2605,0.012533
3260,2701,0.012803
3270,2720,0.013075
3280,2644,0.013340
3290,2744,0.013614
3300,2774,0.013891
3310,2933,0.014185
3320,2944,0.014479
3330,2972,0.014776
3340,3045,0.015081
3350,3190,0.015400
3360,3085,0.015708
3370,3266,0.016035
3380,3257,0.016361
3390,3203,0.016681
3400,3325,0.017013
3410,3437,0.017357
3420,3572,0.017714
3430,3482,0.018063
3440,3566,0.018419
3450,3652,0.018784
3460,3732,0.019158
3470,3794,0.019537
3480,3921,0.019929
3490,3949,0.020324
3500,3997,0.020724
3510,4075,0.021131
3520,4248,0.021556
3530,4265,0.021982
3540,4302,0.022413
3550,4381,0.022851
3560,4415,0.023292
3570,4564,0.023749
3580,4584,0.024207
3590,4717,0.024679
3600,4823,0.025161
3610,4976,0.025659
3620,4970,0.026156
3630,5127,0.026668
3640,5130,0.027181
3650,5250,0.027706
3660,5415,0.028248
3670,5338,0.028782
3680,5610,0.029343
3690,5555,0.029898
3700,5698,0.030468
3710,5885,0.031056
3720,5909,0.031647
3730,6059,0.032253
3740,6192,0.032872
3750,6136,0.033486
3760,6348,0.034121
3770,6317,0.034753
3780,6705,0.035423
3790,6736,0.036097
3800,6882,0.036785
3810,7081,0.037493
3820,7248,0.038218
3830,7261,0.038944
3840,7212,0.039665
3850,7456,0.040411
3860,7635,0.041174
3870,7665,0.041941
3880,7696,0.042710
3890,8007,0.043511
3900,8130,0.044324
3910,8267,0.045151
3920,8445,0.045995
3930,8593,0.046854
3940,8933,0.047748
3950,8937,0.048641
3960,8996,0.049541
3970,9064,0.050447
3980,9279,0.051375
3990,9649,0.052340
4000,9995,0.053340
4010,9970,0.054337
4020,10041,0.055341
4030,10328,0.056374
4040,10465,0.057420
4050,10867,0.058507
4060,11022,0.059609
4070,11252,0.060734
4080,11417,0.061876
4090,11282,0.063004
4100,11781,0.064182
4110,11902,0.065372
4120,12239,0.066596
4130,12173,0.067814
4140,12793,0.069093
4150,12840,0.070377
4160,12916,0.071669
4170,13248,0.072993
4180,13739,0.074367
4190,13647,0.075732
4200,13976,0.077130
4210,14057,0.078535
4220,14862,0.080021
4230,14719,0.081493
4240,14729,0.082966
4250,14944,0.084461
4260,15557,0.086016
4270,15711,0.087587
4280,16005,0.089188
4290,16055,0.090793
4300,16245,0.092418
4310,16585,0.094076
4320,16987,0.095775
4330,16836,0.097459
4340,17232,0.099182
4350,17844,0.100966
4360,17981,0.102764
4370,18190,0.104583
4380,18647,0.106448
4390,18679,0.108316
4400,18820,0.110198
4410,19268,0.112125
4420,19514,0.114076
4430,19727,0.116049
4440,20090,0.118058
4450,20083,0.120066
4460,20384,0.122105
4470,20760,0.124181
4480,21163,0.126297
4490,21472,0.128444
4500,21596,0.130604
4510,21923,0.132796
4520,22003,0.134996
4530,22362,0.137233
4540,22789,0.139511
4550,23116,0.141823
4560,22961,0.144119
4570,23563,0.146475
4580,23380,0.148813
4590,24157,0.151229
4600,24166,0.153646
4610,24808,0.156127
4620,24716,0.158598
4630,25371,0.161135
4640,25579,0.163693
4650,25809,0.166274
4660,25970,0.168871
4670,25996,0.171471
4680,26675,0.174138
4690,27008,0.176839
4700,27055,0.179544
4710,26955,0.182240
4720,27795,0.185019
4730,27580,0.187777
4740,27794,0.190557
4750,28112,0.193368
4760,28113,0.196179
4770,28669,0.199046
4780,29012,0.201947
4790,29063,0.204854
4800,29177,0.207771
4810,29751,0.210747
4820,29417,0.213688
