#latency,cnt,cdf
0,860049,0.172072
10,2113,0.172495
20,291,0.172553
30,14383,0.175431
40,126,0.175456
50,2411,0.175939
60,390832,0.254133
70,19518,0.258038
80,366390,0.331343
90,6245,0.332592
100,221990,0.377007
110,230260,0.423075
120,152299,0.453546
130,210872,0.495736
140,26098,0.500957
150,81570,0.517277
160,6015,0.518481
170,346635,0.587833
180,278453,0.643544
190,341621,0.711893
200,162432,0.744391
210,128674,0.770135
220,31338,0.776405
230,466767,0.869792
240,69437,0.883685
250,36417,0.890971
260,114305,0.913840
270,79039,0.929654
280,99093,0.949480
290,22484,0.953978
300,42321,0.962445
310,17667,0.965980
320,69725,0.979930
330,33379,0.986608
340,25856,0.991781
350,818,0.991945
360,1130,0.992171
370,648,0.992301
380,5392,0.993380
390,16259,0.996633
400,633,0.996759
410,973,0.996954
420,2193,0.997393
430,622,0.997517
440,74,0.997532
450,84,0.997549
460,47,0.997558
470,1184,0.997795
480,1412,0.998078
490,60,0.998089
500,51,0.998100
510,53,0.998110
520,39,0.998118
530,42,0.998127
540,30,0.998133
550,52,0.998143
560,43,0.998152
570,39,0.998159
580,30,0.998165
590,37,0.998173
600,42,0.998181
610,27,0.998187
620,30,0.998193
630,37,0.998200
640,41,0.998208
650,53,0.998219
660,37,0.998226
670,31,0.998232
680,41,0.998241
690,33,0.998247
700,34,0.998254
710,40,0.998262
720,35,0.998269
730,28,0.998275
740,28,0.998280
750,34,0.998287
760,35,0.998294
770,30,0.998300
780,31,0.998306
790,28,0.998312
800,42,0.998320
810,44,0.998329
820,24,0.998334
830,35,0.998341
840,20,0.998345
850,34,0.998352
860,25,0.998357
870,34,0.998363
880,31,0.998370
890,27,0.998375
900,38,0.998383
910,42,0.998391
920,39,0.998399
930,36,0.998406
940,42,0.998414
950,42,0.998423
960,64,0.998436
970,59,0.998447
980,37,0.998455
990,41,0.998463
1000,31,0.998469
1010,36,0.998476
1020,52,0.998487
1030,63,0.998499
1040,43,0.998508
1050,89,0.998526
1060,105,0.998547
1070,75,0.998562
1080,62,0.998574
1090,55,0.998585
1100,51,0.998595
1110,39,0.998603
1120,61,0.998616
1130,39,0.998623
