#latency,cnt,cdf
0,1199656,0.126301
10,31919,0.129662
20,1962,0.129868
30,589,0.129930
40,166,0.129948
50,37507,0.133897
60,61831,0.140406
70,70187,0.147796
80,59839,0.154095
90,49773,0.159336
100,57958,0.165437
110,94117,0.175346
120,67726,0.182477
130,64766,0.189295
140,47335,0.194279
150,45090,0.199026
160,75803,0.207006
170,78737,0.215296
180,113605,0.227256
190,75290,0.235183
200,63178,0.241834
210,63449,0.248514
220,87933,0.257772
230,86211,0.266849
240,69631,0.274179
250,69109,0.281455
260,68398,0.288656
270,68164,0.295833
280,65969,0.302778
290,65146,0.309637
300,65576,0.316541
310,64671,0.323349
320,64163,0.330104
330,62902,0.336727
340,62222,0.343278
350,60872,0.349686
360,60266,0.356031
370,60064,0.362355
380,59160,0.368583
390,58365,0.374728
400,57464,0.380778
410,56634,0.386740
420,55740,0.392609
430,55005,0.398400
440,54448,0.404132
450,53402,0.409754
460,53321,0.415368
470,52277,0.420872
480,51558,0.426300
490,50619,0.431629
500,50471,0.436943
510,49309,0.442134
520,48632,0.447254
530,48268,0.452336
540,47918,0.457381
550,46986,0.462327
560,46505,0.467223
570,46046,0.472071
580,45381,0.476849
590,44736,0.481559
600,44241,0.486217
610,43575,0.490804
620,42752,0.495305
630,42137,0.499741
640,41835,0.504146
650,41800,0.508547
660,41020,0.512865
670,40300,0.517108
680,39387,0.521255
690,39253,0.525387
700,38960,0.529489
710,38223,0.533513
720,37811,0.537494
730,37499,0.541442
740,36641,0.545300
750,36684,0.549162
760,36031,0.552955
770,35817,0.556726
780,35188,0.560431
790,34912,0.564106
800,34581,0.567747
810,33958,0.571322
820,33746,0.574875
830,33031,0.578352
840,33001,0.581827
850,32498,0.585248
860,32047,0.588622
870,31626,0.591952
880,31759,0.595295
890,31118,0.598572
900,30209,0.601752
910,30012,0.604912
920,30069,0.608077
930,29572,0.611191
940,29225,0.614268
950,28784,0.617298
960,28363,0.620284
970,28153,0.623248
980,27936,0.626189
990,27594,0.629094
1000,27216,0.631960
1010,27077,0.634810
1020,26824,0.637634
1030,26150,0.640388
1040,25927,0.643117
1050,25876,0.645841
1060,25673,0.648544
1070,25292,0.651207
1080,25231,0.653863
1090,24737,0.656468
1100,24081,0.659003
1110,24343,0.661566
1120,23751,0.664066
1130,23419,0.666532
1140,23189,0.668973
1150,23224,0.671418
1160,22498,0.673787
1170,22811,0.676189
1180,22226,0.678529
1190,22050,0.680850
1200,21828,0.683148
1210,21887,0.685452
1220,21369,0.687702
1230,21269,0.689941
1240,20827,0.692134
1250,20679,0.694311
1260,20716,0.696492
1270,20380,0.698638
1280,20261,0.700771
1290,20198,0.702897
1300,19549,0.704956
1310,19594,0.707018
1320,19357,0.709056
1330,19155,0.711073
1340,18933,0.713066
1350,18636,0.715028
1360,18542,0.716980
1370,18414,0.718919
1380,18309,0.720847
1390,17837,0.722725
1400,17869,0.724606
1410,17856,0.726486
1420,17756,0.728355
1430,17285,0.730175
1440,17257,0.731992
1450,17244,0.733807
1460,16794,0.735575
1470,16613,0.737324
1480,16712,0.739084
1490,16389,0.740809
1500,16084,0.742503
1510,16096,0.744197
1520,15759,0.745856
1530,15693,0.747509
1540,15613,0.749152
1550,15577,0.750792
1560,15285,0.752401
1570,15177,0.753999
1580,15249,0.755605
1590,14973,0.757181
1600,14723,0.758731
1610,14669,0.760276
1620,14569,0.761809
1630,14449,0.763331
1640,14312,0.764837
1650,14264,0.766339
1660,14078,0.767821
1670,13904,0.769285
1680,13894,0.770748
1690,13601,0.772180
1700,13537,0.773605
1710,13443,0.775020
1720,13287,0.776419
1730,13389,0.777829
1740,13096,0.779208
1750,12887,0.780564
1760,12869,0.781919
1770,12766,0.783263
1780,12812,0.784612
1790,12506,0.785929
1800,12551,0.787250
1810,12479,0.788564
1820,12205,0.789849
1830,12277,0.791141
1840,12116,0.792417
1850,11910,0.793671
1860,11923,0.794926
1870,11840,0.796173
1880,11548,0.797388
1890,11580,0.798608
1900,11439,0.799812
1910,11306,0.801002
1920,11457,0.802208
1930,11301,0.803398
1940,11253,0.804583
1950,10869,0.805727
1960,10928,0.806878
1970,11100,0.808046
1980,10773,0.809181
1990,10727,0.810310
2000,10651,0.811431
2010,10594,0.812547
2020,10437,0.813645
2030,10523,0.814753
2040,10394,0.815848
2050,10160,0.816917
2060,10289,0.818000
2070,10156,0.819070
2080,9965,0.820119
2090,9940,0.821165
2100,9883,0.822206
2110,9850,0.823243
2120,9919,0.824287
2130,9678,0.825306
2140,9619,0.826319
2150,9524,0.827321
2160,9571,0.828329
2170,9339,0.829312
2180,9312,0.830293
2190,9351,0.831277
2200,9198,0.832246
2210,9153,0.833209
2220,9145,0.834172
2230,9040,0.835124
2240,8949,0.836066
2250,8949,0.837008
2260,8714,0.837925
2270,8913,0.838864
2280,8808,0.839791
2290,8717,0.840709
2300,8482,0.841602
2310,8569,0.842504
2320,8185,0.843366
2330,8445,0.844255
2340,8420,0.845141
2350,8345,0.846020
2360,8309,0.846895
2370,8138,0.847751
2380,8231,0.848618
2390,8135,0.849475
2400,8035,0.850320
2410,7959,0.851158
2420,7869,0.851987
2430,7789,0.852807
2440,7689,0.853616
2450,7714,0.854429
2460,7663,0.855235
2470,7594,0.856035
2480,7697,0.856845
2490,7437,0.857628
2500,7454,0.858413
2510,7396,0.859192
2520,7334,0.859964
2530,7290,0.860731
2540,7379,0.861508
2550,7225,0.862269
2560,7266,0.863034
2570,7109,0.863782
2580,7030,0.864522
2590,7056,0.865265
2600,7041,0.866006
2610,6974,0.866741
2620,6960,0.867473
2630,6898,0.868200
2640,6555,0.868890
2650,6786,0.869604
2660,6767,0.870317
2670,6622,0.871014
2680,6646,0.871714
2690,6541,0.872402
2700,6608,0.873098
2710,6661,0.873799
2720,6483,0.874482
2730,6403,0.875156
2740,6376,0.875827
2750,6232,0.876483
2760,6204,0.877136
2770,6244,0.877794
2780,6217,0.878448
2790,6213,0.879102
2800,6167,0.879752
2810,6046,0.880388
2820,6040,0.881024
2830,5947,0.881650
2840,5958,0.882277
2850,6024,0.882912
2860,5906,0.883533
2870,5840,0.884148
2880,5830,0.884762
2890,5797,0.885372
2900,5804,0.885983
2910,5792,0.886593
2920,5601,0.887183
2930,5651,0.887778
2940,5634,0.888371
2950,5429,0.888943
2960,5585,0.889531
2970,5496,0.890109
2980,5553,0.890694
2990,5552,0.891278
3000,5542,0.891862
3010,5403,0.892431
3020,5358,0.892995
3030,5318,0.893555
3040,5346,0.894117
3050,5351,0.894681
3060,5173,0.895225
3070,5306,0.895784
3080,5202,0.896332
3090,5121,0.896871
3100,5090,0.897407
3110,5062,0.897940
3120,5010,0.898467
3130,5107,0.899005
3140,5107,0.899542
3150,4937,0.900062
3160,4862,0.900574
3170,5019,0.901103
3180,4829,0.901611
3190,4916,0.902129
3200,4947,0.902649
3210,4815,0.903156
3220,4882,0.903670
3230,4726,0.904168
3240,4644,0.904657
3250,4787,0.905161
3260,4746,0.905660
3270,4650,0.906150
3280,4699,0.906645
3290,4701,0.907140
3300,4712,0.907636
3310,4731,0.908134
3320,4563,0.908614
3330,4504,0.909088
3340,4490,0.909561
3350,4562,0.910041
3360,4575,0.910523
3370,4496,0.910996
3380,4423,0.911462
3390,4558,0.911942
3400,4487,0.912414
3410,4482,0.912886
3420,4342,0.913343
3430,4345,0.913801
3440,4395,0.914263
3450,4181,0.914704
3460,4327,0.915159
3470,4183,0.915600
3480,4293,0.916052
3490,4214,0.916495
3500,4157,0.916933
3510,4078,0.917362
3520,4197,0.917804
3530,4204,0.918247
3540,4160,0.918685
3550,4109,0.919117
3560,4023,0.919541
3570,4150,0.919978
3580,4018,0.920401
3590,3954,0.920817
