#latency,cnt,cdf
20,6202,0.000620
30,3154,0.000936
40,1062,0.001042
50,198293,0.020871
60,222167,0.043088
70,295876,0.072675
80,193744,0.092050
90,137027,0.105752
100,189687,0.124721
110,363836,0.161105
120,186219,0.179727
130,150609,0.194788
140,130104,0.207798
150,127054,0.220503
160,192829,0.239786
170,184377,0.258224
180,262764,0.284500
190,172920,0.301792
200,149376,0.316730
210,150026,0.331733
220,145547,0.346287
230,137812,0.360069
240,136658,0.373734
250,138969,0.387631
260,133683,0.400999
270,127061,0.413706
280,119747,0.425680
290,117229,0.437403
300,115721,0.448975
310,110607,0.460036
320,107305,0.470767
330,102764,0.481043
340,99074,0.490950
350,94668,0.500417
360,90712,0.509488
370,88493,0.518338
380,85348,0.526872
390,81910,0.535063
400,78852,0.542949
410,75962,0.550545
420,73048,0.557850
430,70412,0.564891
440,68083,0.571699
450,65799,0.578279
460,63378,0.584617
470,60522,0.590669
480,58868,0.596556
490,56712,0.602227
500,54765,0.607704
510,53086,0.613012
520,51090,0.618121
530,49262,0.623047
540,47582,0.627805
550,46131,0.632419
560,44602,0.636879
570,43320,0.641211
580,41672,0.645378
590,40194,0.649397
600,38528,0.653250
610,37611,0.657011
620,36794,0.660691
630,35091,0.664200
640,34115,0.667611
650,32742,0.670886
660,32251,0.674111
670,31057,0.677216
680,29965,0.680213
690,29334,0.683146
700,28400,0.685986
710,27520,0.688738
720,26538,0.691392
730,26073,0.693999
740,25457,0.696545
750,24512,0.698996
760,23766,0.701373
770,23053,0.703678
780,22533,0.705931
790,21763,0.708108
800,21257,0.710233
810,20735,0.712307
820,20232,0.714330
830,19738,0.716304
840,19336,0.718238
850,18494,0.720087
860,17972,0.721884
870,17888,0.723673
880,17470,0.725420
890,16885,0.727108
900,16653,0.728774
910,15869,0.730361
920,15737,0.731934
930,15639,0.733498
940,14928,0.734991
950,14473,0.736438
960,14337,0.737872
970,13806,0.739253
980,13423,0.740595
990,13444,0.741939
1000,13057,0.743245
1010,12977,0.744543
1020,12527,0.745795
1030,12224,0.747018
1040,11769,0.748195
1050,11818,0.749376
1060,11601,0.750537
1070,11253,0.751662
1080,11196,0.752782
1090,11126,0.753894
1100,10907,0.754985
1110,10265,0.756011
1120,10355,0.757047
1130,10125,0.758059
1140,10018,0.759061
1150,9734,0.760035
1160,9631,0.760998
1170,9447,0.761942
1180,9365,0.762879
1190,9234,0.763802
1200,9105,0.764713
1210,8943,0.765607
1220,8785,0.766486
1230,8518,0.767337
1240,8267,0.768164
1250,8189,0.768983
1260,7965,0.769779
1270,7988,0.770578
1280,8084,0.771387
1290,7768,0.772163
1300,7639,0.772927
1310,7423,0.773670
1320,7254,0.774395
1330,7362,0.775131
1340,7131,0.775844
1350,7227,0.776567
1360,6969,0.777264
1370,6933,0.777957
1380,6778,0.778635
1390,6891,0.779324
1400,6731,0.779997
1410,6468,0.780644
1420,6586,0.781303
1430,6384,0.781941
1440,6275,0.782569
1450,6220,0.783190
1460,5977,0.783788
1470,6025,0.784391
1480,5838,0.784975
1490,5916,0.785566
1500,5715,0.786138
1510,5686,0.786706
1520,5694,0.787276
1530,5645,0.787840
1540,5559,0.788396
1550,5537,0.788950
1560,5422,0.789492
1570,5295,0.790021
