#latency,cnt,cdf
0,3047274,0.320930
10,150515,0.336782
20,16643,0.338535
30,4276,0.338985
40,1525,0.339146
50,25807,0.341864
60,42082,0.346296
70,47550,0.351304
80,41164,0.355639
90,44767,0.360354
100,48837,0.365497
110,66350,0.372485
120,55131,0.378291
130,55820,0.384170
140,36553,0.388020
150,33217,0.391518
160,70525,0.398945
170,72682,0.406600
180,114838,0.418694
190,66024,0.425648
200,51262,0.431047
210,50744,0.436391
220,83641,0.445200
230,80991,0.453730
240,59497,0.459996
250,57046,0.466004
260,57124,0.472020
270,56438,0.477964
280,55406,0.483799
290,55157,0.489608
300,54866,0.495386
310,54344,0.501109
320,54129,0.506810
330,53478,0.512442
340,52428,0.517964
350,51064,0.523342
360,50514,0.528662
370,50386,0.533968
380,50142,0.539249
390,48552,0.544362
400,47169,0.549330
410,46783,0.554257
420,45908,0.559092
430,45103,0.563842
440,45036,0.568585
450,44225,0.573243
460,43294,0.577803
470,42781,0.582308
480,42007,0.586732
490,41364,0.591089
500,41047,0.595411
510,40195,0.599645
520,39781,0.603834
530,39381,0.607982
540,39029,0.612092
550,38337,0.616130
560,37849,0.620116
570,37386,0.624053
580,36408,0.627888
590,36239,0.631704
600,35746,0.635469
610,35254,0.639182
620,34938,0.642861
630,34079,0.646451
640,33929,0.650024
650,33174,0.653518
660,33022,0.656995
670,32356,0.660403
680,32110,0.663785
690,31507,0.667103
700,31104,0.670379
710,30923,0.673636
720,30422,0.676840
730,30007,0.680000
740,29853,0.683144
750,29076,0.686206
760,28573,0.689215
770,28398,0.692206
780,28114,0.695167
790,27530,0.698066
800,27490,0.700961
810,27192,0.703825
820,26605,0.706627
830,26435,0.709411
840,26310,0.712182
850,25779,0.714897
860,25536,0.717587
870,25275,0.720248
880,24872,0.722868
890,24504,0.725449
900,24021,0.727978
910,23347,0.730437
920,23533,0.732916
930,23386,0.735379
940,23231,0.737825
950,22630,0.740209
960,22617,0.742590
970,22267,0.744936
980,22053,0.747258
990,21606,0.749534
1000,21516,0.751800
1010,21319,0.754045
1020,20604,0.756215
1030,20612,0.758386
1040,20400,0.760534
1050,20106,0.762652
1060,20085,0.764767
1070,19732,0.766845
1080,19424,0.768891
1090,19052,0.770897
1100,18982,0.772896
1110,18946,0.774892
1120,18528,0.776843
1130,18396,0.778780
1140,18071,0.780684
1150,17894,0.782568
1160,17788,0.784442
1170,17553,0.786290
1180,17314,0.788114
1190,17252,0.789931
1200,17039,0.791725
1210,16673,0.793481
1220,16397,0.795208
1230,16273,0.796922
1240,16293,0.798638
1250,15951,0.800318
1260,15983,0.802001
1270,15637,0.803648
1280,15655,0.805296
1290,15222,0.806900
1300,15174,0.808498
1310,14977,0.810075
1320,14673,0.811620
1330,14678,0.813166
1340,14697,0.814714
1350,14437,0.816235
1360,14162,0.817726
1370,14201,0.819222
1380,13937,0.820689
1390,13700,0.822132
1400,13661,0.823571
1410,13592,0.825002
1420,13328,0.826406
1430,13217,0.827798
1440,13109,0.829179
1450,13012,0.830549
1460,12937,0.831912
1470,12550,0.833233
1480,12556,0.834556
1490,12520,0.835874
1500,12012,0.837139
1510,12236,0.838428
1520,12176,0.839710
1530,12055,0.840980
1540,11833,0.842226
1550,11706,0.843459
1560,11575,0.844678
1570,11435,0.845882
1580,11269,0.847069
1590,11265,0.848256
1600,11104,0.849425
1610,11056,0.850589
1620,11062,0.851754
