#latency,cnt,cdf
0,1719589,0.171959
10,5116,0.172470
20,576,0.172528
30,25960,0.175124
40,300,0.175154
50,10888,0.176243
60,780289,0.254272
70,50243,0.259296
80,743933,0.333689
90,16689,0.335358
100,422719,0.377630
110,446317,0.422262
120,314185,0.453680
130,410670,0.494747
140,54440,0.500191
150,162501,0.516442
160,16322,0.518074
170,687987,0.586872
180,550880,0.641960
190,675382,0.709499
200,323156,0.741814
210,257838,0.767598
220,63831,0.773981
230,954961,0.869477
240,145493,0.884027
250,70125,0.891039
260,222224,0.913261
270,167491,0.930010
280,200343,0.950045
290,47485,0.954793
300,84146,0.963208
310,34926,0.966700
320,143010,0.981001
330,64586,0.987460
340,51083,0.992568
350,1442,0.992713
360,2265,0.992939
370,1288,0.993068
380,10138,0.994082
390,32032,0.997285
400,1438,0.997429
410,1821,0.997611
420,4455,0.998056
430,1371,0.998193
440,197,0.998213
450,164,0.998230
460,109,0.998240
470,2279,0.998468
480,3064,0.998775
490,108,0.998785
500,90,0.998794
510,102,0.998805
520,78,0.998812
530,82,0.998821
540,70,0.998828
550,70,0.998835
560,52,0.998840
570,75,0.998847
580,61,0.998854
590,56,0.998859
600,58,0.998865
610,49,0.998870
620,47,0.998874
630,44,0.998879
640,35,0.998882
650,36,0.998886
660,41,0.998890
670,48,0.998895
680,50,0.998900
690,45,0.998904
700,56,0.998910
710,43,0.998914
720,55,0.998920
730,47,0.998924
740,40,0.998928
750,48,0.998933
760,41,0.998937
770,39,0.998941
780,49,0.998946
790,44,0.998951
800,65,0.998957
810,42,0.998961
820,50,0.998966
830,42,0.998971
840,50,0.998976
850,34,0.998979
860,38,0.998983
870,39,0.998987
880,38,0.998990
890,36,0.998994
900,45,0.998999
910,51,0.999004
920,48,0.999008
930,41,0.999012
940,40,0.999017
950,50,0.999021
960,41,0.999026
970,41,0.999030
980,27,0.999032
990,34,0.999036
1000,28,0.999039
1010,39,0.999043
1020,46,0.999047
1030,39,0.999051
1040,53,0.999056
1050,42,0.999061
1060,56,0.999066
1070,39,0.999070
1080,68,0.999077
1090,51,0.999082
1100,60,0.999088
1110,64,0.999094
1120,113,0.999106
1130,109,0.999116
1140,71,0.999124
1150,58,0.999129
1160,83,0.999138
1170,57,0.999143
1180,61,0.999150
1190,61,0.999156
1200,48,0.999160
1210,53,0.999166
1220,40,0.999170
1230,55,0.999175
1240,59,0.999181
1250,35,0.999185
1260,33,0.999188
1270,44,0.999192
1280,32,0.999196
1290,24,0.999198
1300,36,0.999201
