#latency,cnt,cdf
0,6413,0.001284
10,1553,0.001595
20,529,0.001700
30,278,0.001756
40,194,0.001795
50,7026,0.003201
60,17079,0.006620
70,20624,0.010748
80,21983,0.015148
90,32484,0.021651
100,40353,0.029728
110,39227,0.037580
120,41456,0.045878
130,52890,0.056465
140,38370,0.064145
150,31863,0.070523
160,34950,0.077519
170,39135,0.085353
180,63163,0.097996
190,52150,0.108435
200,42495,0.116941
210,40412,0.125030
220,42864,0.133610
230,45324,0.142682
240,43079,0.151305
250,41765,0.159665
260,42036,0.168080
270,41762,0.176439
280,41163,0.184678
290,41225,0.192930
300,40688,0.201075
310,40074,0.209096
320,39897,0.217082
330,39827,0.225054
340,39284,0.232918
350,38299,0.240584
360,37904,0.248171
370,37292,0.255636
380,36541,0.262950
390,36383,0.270233
400,35965,0.277432
410,35550,0.284548
420,34901,0.291534
430,34351,0.298410
440,33965,0.305208
450,33597,0.311933
460,33168,0.318573
470,32275,0.325033
480,32143,0.331467
490,31686,0.337809
500,31422,0.344099
510,30981,0.350300
520,30239,0.356353
530,29912,0.362341
540,29838,0.368313
550,29271,0.374172
560,28973,0.379972
570,28465,0.385670
580,28069,0.391288
590,28161,0.396925
600,27178,0.402365
610,27279,0.407826
620,26822,0.413194
630,26456,0.418490
640,26119,0.423718
650,26041,0.428931
660,26126,0.434160
670,25501,0.439265
680,25307,0.444330
690,25330,0.449401
700,24752,0.454355
710,24484,0.459256
720,24393,0.464139
730,24421,0.469027
740,24146,0.473860
750,23759,0.478616
760,23954,0.483411
770,23254,0.488066
780,23264,0.492722
790,23231,0.497372
800,22549,0.501886
810,22711,0.506432
820,22767,0.510989
830,22388,0.515471
840,22304,0.519935
850,21546,0.524248
860,21950,0.528642
870,21780,0.533001
880,21159,0.537237
890,20983,0.541437
900,20973,0.545635
910,20585,0.549755
920,20581,0.553875
930,20219,0.557922
940,19915,0.561908
950,20074,0.565926
960,19430,0.569816
970,19316,0.573682
980,19169,0.577519
990,19083,0.581339
1000,18811,0.585104
1010,18672,0.588842
1020,18487,0.592542
1030,18380,0.596221
1040,18126,0.599850
1050,18257,0.603504
1060,18047,0.607117
1070,17796,0.610679
1080,17789,0.614240
1090,17621,0.617767
1100,17359,0.621241
1110,17016,0.624647
1120,16830,0.628016
1130,16941,0.631407
1140,16675,0.634745
1150,16728,0.638093
1160,16615,0.641419
1170,16076,0.644637
1180,16386,0.647917
1190,16071,0.651134
1200,15953,0.654327
1210,15627,0.657455
1220,15464,0.660551
1230,15661,0.663685
1240,15267,0.666741
1250,14977,0.669739
1260,14943,0.672730
1270,14793,0.675691
1280,14932,0.678680
1290,14823,0.681647
1300,14447,0.684539
1310,14332,0.687408
1320,14109,0.690232
1330,14396,0.693114
1340,14008,0.695918
1350,13856,0.698691
1360,13587,0.701411
1370,13612,0.704136
1380,13393,0.706816
1390,13194,0.709458
1400,13314,0.712123
1410,13174,0.714760
1420,12717,0.717305
1430,12872,0.719882
1440,12640,0.722412
1450,12334,0.724881
1460,12188,0.727320
1470,12307,0.729784
1480,11982,0.732182
1490,11838,0.734552
1500,11758,0.736905
1510,11557,0.739219
1520,11627,0.741546
1530,11360,0.743820
1540,11231,0.746068
1550,11022,0.748274
1560,10763,0.750429
1570,10668,0.752564
1580,10450,0.754656
1590,10645,0.756786
1600,10231,0.758834
1610,10169,0.760870
1620,9983,0.762868
1630,9855,0.764841
1640,9836,0.766810
1650,9713,0.768754
1660,9700,0.770696
1670,9597,0.772617
1680,9532,0.774525
1690,9421,0.776410
1700,8945,0.778201
1710,9072,0.780017
1720,8910,0.781800
1730,8904,0.783582
1740,8803,0.785345
1750,8670,0.787080
1760,8756,0.788833
1770,8496,0.790533
1780,8618,0.792258
1790,8307,0.793921
1800,8208,0.795564
1810,8251,0.797216
1820,8066,0.798830
1830,7895,0.800411
1840,7955,0.802003
1850,7816,0.803567
1860,7781,0.805125
1870,7757,0.806678
1880,7647,0.808208
1890,7779,0.809765
1900,7344,0.811235
1910,7518,0.812740
1920,7393,0.814220
1930,7138,0.815649
1940,7210,0.817092
1950,7032,0.818500
1960,7102,0.819921
1970,7021,0.821327
1980,6902,0.822708
1990,6815,0.824072
2000,6651,0.825404
2010,6807,0.826766
2020,6637,0.828095
2030,6766,0.829449
2040,6512,0.830752
2050,6463,0.832046
2060,6334,0.833314
2070,6189,0.834553
2080,6079,0.835770
2090,6158,0.837002
2100,5921,0.838188
2110,5935,0.839375
2120,5865,0.840550
2130,5788,0.841708
2140,5771,0.842863
2150,5622,0.843989
2160,5561,0.845102
2170,5571,0.846217
2180,5557,0.847329
2190,5471,0.848424
2200,5480,0.849521
2210,5274,0.850577
2220,5322,0.851642
2230,5320,0.852707
2240,5166,0.853741
2250,5179,0.854778
2260,5009,0.855780
2270,5067,0.856795
2280,5002,0.857796
2290,5053,0.858807
2300,5001,0.859808
2310,4893,0.860788
2320,4961,0.861781
2330,4936,0.862769
2340,4866,0.863743
2350,4758,0.864695
2360,4702,0.865636
2370,4573,0.866552
2380,4558,0.867464
2390,4630,0.868391
2400,4630,0.869318
2410,4401,0.870199
2420,4539,0.871107
2430,4497,0.872007
2440,4391,0.872886
2450,4248,0.873737
2460,4428,0.874623
2470,4356,0.875495
2480,4190,0.876334
2490,4352,0.877205
2500,4279,0.878061
2510,4167,0.878895
2520,4196,0.879735
2530,4035,0.880543
2540,4067,0.881357
2550,4118,0.882181
2560,4006,0.882983
2570,4072,0.883798
2580,3998,0.884599
2590,3958,0.885391
2600,3993,0.886190
2610,3825,0.886956
2620,4071,0.887771
2630,3887,0.888549
2640,3796,0.889308
2650,3805,0.890070
2660,3842,0.890839
2670,3917,0.891623
2680,3697,0.892363
2690,3628,0.893089
2700,3676,0.893825
2710,3680,0.894562
2720,3627,0.895288
2730,3595,0.896007
2740,3578,0.896724
2750,3673,0.897459
2760,3675,0.898194
2770,3627,0.898920
2780,3506,0.899622
2790,3431,0.900309
2800,3515,0.901013
2810,3490,0.901711
2820,3396,0.902391
2830,3436,0.903079
2840,3472,0.903774
2850,3326,0.904440
2860,3492,0.905138
2870,3491,0.905837
2880,3360,0.906510
2890,3419,0.907194
2900,3472,0.907889
2910,3288,0.908547
2920,3390,0.909226
2930,3171,0.909861
2940,3148,0.910491
2950,3316,0.911155
2960,3194,0.911794
2970,3295,0.912453
2980,3288,0.913112
2990,3157,0.913743
3000,3155,0.914375
3010,3300,0.915036
3020,3164,0.915669
3030,3138,0.916297
3040,3204,0.916938
3050,3127,0.917564
3060,3129,0.918191
3070,3124,0.918816
3080,3115,0.919439
3090,3163,0.920073
3100,3023,0.920678
3110,3116,0.921301
3120,3044,0.921911
3130,3094,0.922530
3140,3046,0.923140
3150,2940,0.923728
3160,3017,0.924332
3170,3007,0.924934
3180,3029,0.925540
3190,2916,0.926124
3200,3006,0.926726
3210,3103,0.927347
3220,2909,0.927929
3230,2926,0.928515
3240,2916,0.929099
3250,2926,0.929684
3260,2896,0.930264
3270,2825,0.930829
3280,2933,0.931416
3290,2782,0.931973
3300,2881,0.932550
3310,2874,0.933125
3320,2846,0.933695
3330,2909,0.934277
3340,2869,0.934852
3350,2791,0.935410
3360,2811,0.935973
3370,2855,0.936544
3380,2864,0.937118
3390,2890,0.937696
3400,2737,0.938244
3410,2968,0.938838
3420,2854,0.939409
3430,2753,0.939960
3440,2781,0.940517
3450,2708,0.941059
3460,2772,0.941614
3470,2647,0.942144
3480,2802,0.942705
3490,2779,0.943261
3500,2713,0.943804
3510,2649,0.944334
3520,2651,0.944865
3530,2676,0.945401
3540,2660,0.945933
3550,2572,0.946448
3560,2590,0.946966
3570,2616,0.947490
3580,2609,0.948012
3590,2616,0.948536
3600,2544,0.949045
3610,2525,0.949550
3620,2618,0.950074
3630,2557,0.950586
3640,2484,0.951083
3650,2574,0.951599
3660,2554,0.952110
3670,2512,0.952613
3680,2469,0.953107
3690,2498,0.953607
3700,2504,0.954108
3710,2450,0.954599
3720,2424,0.955084
3730,2388,0.955562
3740,2306,0.956023
3750,2290,0.956482
3760,2288,0.956940
3770,2304,0.957401
3780,2147,0.957831
3790,2138,0.958259
3800,2272,0.958713
3810,2175,0.959149
3820,2102,0.959570
3830,2094,0.959989
