#latency,cnt,cdf
20,2,0.000000
30,1,0.000000
40,4,0.000001
50,43266,0.004327
60,148085,0.019136
70,165058,0.035642
80,186637,0.054305
90,133870,0.067692
100,132693,0.080962
110,225896,0.103551
120,195407,0.123092
130,162790,0.139371
140,155253,0.154896
150,154800,0.170376
160,154471,0.185823
170,150001,0.200823
180,151819,0.216005
190,147285,0.230734
200,143076,0.245041
210,135691,0.258610
220,133081,0.271919
230,130458,0.284964
240,129088,0.297873
250,128078,0.310681
260,126577,0.323339
270,126127,0.335951
280,125441,0.348496
290,125123,0.361008
300,123365,0.373344
310,121263,0.385471
320,119543,0.397425
330,117692,0.409194
340,115905,0.420785
350,113404,0.432125
360,110858,0.443211
370,108353,0.454046
380,105811,0.464627
390,102499,0.474877
400,100705,0.484948
410,98606,0.494808
420,96354,0.504444
430,94362,0.513880
440,91887,0.523068
450,89419,0.532010
460,87307,0.540741
470,84570,0.549198
480,83363,0.557534
490,81235,0.565658
500,80080,0.573666
510,78388,0.581505
520,77023,0.589207
530,76839,0.596891
540,76028,0.604494
550,74769,0.611971
560,74598,0.619430
570,72869,0.626717
580,72262,0.633943
590,70635,0.641007
600,69838,0.647991
610,68484,0.654839
620,66997,0.661539
630,65167,0.668056
640,63664,0.674422
650,62174,0.680639
660,61331,0.686773
670,59644,0.692737
680,58823,0.698619
690,56970,0.704316
700,55541,0.709870
710,54198,0.715290
720,53083,0.720598
730,52109,0.725809
740,50482,0.730857
750,49521,0.735810
760,48477,0.740657
770,47596,0.745417
780,46969,0.750114
790,46218,0.754736
800,45776,0.759313
810,45613,0.763874
820,44326,0.768307
830,43998,0.772707
840,43393,0.777046
850,42759,0.781322
860,41501,0.785472
870,41122,0.789584
880,40443,0.793629
890,39418,0.797571
900,38311,0.801402
910,37871,0.805189
920,36905,0.808879
930,36008,0.812480
940,35190,0.815999
950,34356,0.819435
960,33492,0.822784
970,32716,0.826055
980,31767,0.829232
990,30851,0.832317
1000,30371,0.835354
1010,29804,0.838335
1020,29230,0.841258
1030,28466,0.844104
1040,27833,0.846888
1050,27696,0.849657
1060,27044,0.852362
1070,26559,0.855017
1080,26398,0.857657
1090,26136,0.860271
1100,25718,0.862843
1110,24973,0.865340
1120,24877,0.867828
1130,24282,0.870256
1140,23998,0.872656
1150,23278,0.874983
1160,22760,0.877259
1170,22444,0.879504
1180,21876,0.881692
1190,21542,0.883846
1200,20845,0.885930
1210,20423,0.887972
1220,20063,0.889979
1230,19714,0.891950
1240,19030,0.893853
1250,18411,0.895694
1260,18061,0.897500
1270,17884,0.899289
1280,17183,0.901007
1290,16971,0.902704
1300,16703,0.904374
1310,16557,0.906030
1320,16308,0.907661
1330,15966,0.909258
1340,16005,0.910858
1350,15443,0.912402
1360,15383,0.913941
1370,15022,0.915443
1380,14700,0.916913
1390,14504,0.918363
1400,14246,0.919788
1410,14019,0.921190
1420,13744,0.922564
1430,13452,0.923909
1440,13262,0.925236
1450,12833,0.926519
1460,12605,0.927779
1470,12343,0.929014
1480,12020,0.930216
1490,11725,0.931388
1500,11331,0.932521
1510,11242,0.933645
1520,10790,0.934725
1530,10575,0.935782
1540,10528,0.936835
1550,10225,0.937857
1560,10188,0.938876
1570,10011,0.939877
1580,9685,0.940846
1590,9663,0.941812
1600,9455,0.942757
1610,9267,0.943684
1620,9196,0.944604
1630,9049,0.945509
1640,8841,0.946393
1650,8773,0.947270
1660,8587,0.948129
1670,8429,0.948972
1680,8117,0.949783
1690,7910,0.950574
1700,7832,0.951358
1710,7713,0.952129
1720,7712,0.952900
1730,7571,0.953657
1740,7448,0.954402
1750,7088,0.955111
1760,6945,0.955805
1770,6871,0.956492
1780,6641,0.957156
1790,6453,0.957802
