#latency,cnt,cdf
0,1446,0.000152
10,31,0.000155
20,2,0.000156
30,1,0.000156
40,1,0.000156
50,41678,0.004543
60,113483,0.016488
70,128244,0.029988
80,131793,0.043860
90,84356,0.052740
100,92090,0.062433
110,168898,0.080212
120,131522,0.094056
130,108732,0.105502
140,95510,0.115555
150,93259,0.125372
160,93642,0.135229
170,92948,0.145012
180,103894,0.155949
190,96495,0.166106
200,90717,0.175655
210,87101,0.184823
220,85691,0.193843
230,84459,0.202734
240,82446,0.211412
250,81848,0.220027
260,82422,0.228703
270,81703,0.237304
280,81384,0.245870
290,79930,0.254284
300,79210,0.262622
310,77595,0.270789
320,76272,0.278818
330,75520,0.286767
340,74497,0.294609
350,72726,0.302264
360,71400,0.309780
370,70087,0.317157
380,68682,0.324387
390,68091,0.331554
400,67812,0.338692
410,67492,0.345797
420,66357,0.352782
430,65473,0.359673
440,64705,0.366484
450,63820,0.373202
460,62805,0.379813
470,61637,0.386301
480,60745,0.392695
490,59589,0.398968
500,59440,0.405224
510,58728,0.411406
520,58218,0.417534
530,57710,0.423609
540,57859,0.429699
550,57622,0.435765
560,57010,0.441766
570,56871,0.447752
580,55132,0.453555
590,54602,0.459303
600,54136,0.465001
610,53296,0.470611
620,52519,0.476140
630,51371,0.481547
640,50949,0.486910
650,50358,0.492211
660,50261,0.497501
670,49981,0.502762
680,49126,0.507934
690,49011,0.513093
700,48172,0.518163
710,47482,0.523161
720,47039,0.528113
730,45930,0.532947
740,45270,0.537713
750,45191,0.542469
760,44354,0.547138
770,43689,0.551737
780,43756,0.556343
790,43666,0.560939
800,43479,0.565516
810,42663,0.570007
820,42268,0.574456
830,42396,0.578919
840,41166,0.583252
850,40864,0.587553
860,40282,0.591793
870,40049,0.596009
880,39422,0.600159
890,38771,0.604240
900,37968,0.608236
910,38207,0.612258
920,37706,0.616227
930,37324,0.620156
940,37158,0.624067
950,36525,0.627912
960,36256,0.631728
970,35775,0.635494
980,35135,0.639192
990,34838,0.642859
1000,34241,0.646464
1010,33542,0.649994
1020,33426,0.653513
1030,32673,0.656952
1040,33039,0.660430
1050,32840,0.663887
1060,32725,0.667331
1070,32157,0.670716
1080,31819,0.674066
1090,31480,0.677379
1100,31246,0.680668
1110,30810,0.683911
1120,30432,0.687115
1130,29916,0.690264
1140,29607,0.693380
1150,29015,0.696434
1160,29505,0.699540
1170,28483,0.702538
1180,28848,0.705575
1190,28271,0.708551
1200,27892,0.711487
1210,27666,0.714399
1220,27074,0.717249
1230,26816,0.720071
1240,26429,0.722853
1250,26187,0.725610
1260,25861,0.728332
1270,25705,0.731038
1280,25244,0.733695
1290,25262,0.736354
1300,24876,0.738973
1310,24663,0.741569
1320,24494,0.744147
1330,24465,0.746722
1340,23829,0.749231
1350,24056,0.751763
1360,23434,0.754229
1370,23270,0.756679
1380,22919,0.759091
1390,22742,0.761485
1400,22395,0.763843
1410,21871,0.766145
1420,21917,0.768452
1430,21605,0.770726
1440,21707,0.773011
1450,21317,0.775255
1460,21347,0.777502
1470,21069,0.779720
1480,20820,0.781911
1490,20375,0.784056
1500,20043,0.786166
1510,19892,0.788259
1520,19501,0.790312
1530,19608,0.792376
1540,19287,0.794406
1550,18774,0.796382
1560,18823,0.798364
1570,18687,0.800331
1580,18866,0.802317
1590,18483,0.804262
1600,18420,0.806201
1610,17960,0.808092
1620,17798,0.809965
1630,17354,0.811792
1640,17265,0.813609
1650,17237,0.815424
1660,17045,0.817218
1670,16680,0.818974
1680,16410,0.820701
1690,16565,0.822445
1700,16334,0.824164
