#latency,cnt,cdf
30,65,0.000007
50,16992,0.001795
60,2069222,0.219603
70,83963,0.228441
80,2000276,0.438991
90,20811,0.441182
100,212122,0.463510
110,1465314,0.617750
120,475103,0.667759
130,251071,0.694187
140,20692,0.696365
150,137066,0.710793
160,10307,0.711878
170,104786,0.722907
180,328642,0.757500
190,241866,0.782959
200,280148,0.812448
210,224761,0.836106
220,59617,0.842382
230,366468,0.880956
240,95172,0.890974
250,69552,0.898295
260,226351,0.922121
270,122988,0.935067
280,181195,0.954140
290,35556,0.957882
300,77171,0.966005
310,35880,0.969782
320,121843,0.982607
330,60871,0.989015
340,43853,0.993631
350,1981,0.993839
360,3140,0.994170
370,1304,0.994307
380,9767,0.995335
390,29242,0.998413
400,877,0.998505
410,1672,0.998681
420,4130,0.999116
430,871,0.999208
440,158,0.999224
450,154,0.999241
460,76,0.999249
470,2033,0.999463
480,2516,0.999727
490,65,0.999734
500,87,0.999743
510,69,0.999751
520,28,0.999754
530,26,0.999756
540,15,0.999758
550,14,0.999759
560,17,0.999761
570,27,0.999764
580,25,0.999767
590,16,0.999768
600,18,0.999770
610,18,0.999772
620,15,0.999774
630,17,0.999776
640,18,0.999777
650,20,0.999780
660,10,0.999781
670,14,0.999782
680,12,0.999783
690,22,0.999786
700,19,0.999788
710,11,0.999789
720,14,0.999790
730,11,0.999792
740,11,0.999793
750,12,0.999794
760,12,0.999795
770,11,0.999796
780,9,0.999797
790,15,0.999799
800,11,0.999800
810,8,0.999801
820,13,0.999802
830,14,0.999804
840,8,0.999805
850,5,0.999805
860,3,0.999805
870,7,0.999806
880,5,0.999807
890,12,0.999808
900,15,0.999810
910,15,0.999811
920,7,0.999812
930,10,0.999813
940,14,0.999814
950,15,0.999816
960,9,0.999817
970,10,0.999818
980,14,0.999819
990,11,0.999821
1000,15,0.999822
1010,8,0.999823
1020,12,0.999824
1030,16,0.999826
1040,6,0.999827
1050,8,0.999827
1060,11,0.999829
1070,5,0.999829
1080,5,0.999830
1090,12,0.999831
1100,7,0.999832
1110,21,0.999834
1120,11,0.999835
1130,16,0.999837
1140,7,0.999837
1150,3,0.999838
