#latency,cnt,cdf
0,1069,0.000107
10,139,0.000121
20,20,0.000123
30,5,0.000123
40,2,0.000124
50,22044,0.002328
60,60717,0.008400
70,66201,0.015020
80,71719,0.022192
90,50988,0.027290
100,54135,0.032704
110,90023,0.041706
120,77440,0.049450
130,69617,0.056412
140,59183,0.062330
150,55877,0.067918
160,56319,0.073550
170,58262,0.079376
180,69770,0.086353
190,66843,0.093037
200,62086,0.099246
210,60534,0.105299
220,61132,0.111413
230,61288,0.117541
240,60528,0.123594
250,60681,0.129662
260,61414,0.135804
270,60946,0.141898
280,60566,0.147955
290,60344,0.153989
300,60167,0.160006
310,59336,0.165940
320,60085,0.171948
330,59733,0.177921
340,59266,0.183848
350,59088,0.189757
360,58573,0.195614
370,58029,0.201417
380,57449,0.207162
390,57881,0.212950
400,57382,0.218688
410,56914,0.224380
420,56689,0.230049
430,56113,0.235660
440,56046,0.241265
450,56051,0.246870
460,55528,0.252422
470,55304,0.257953
480,54607,0.263414
490,54648,0.268878
500,54669,0.274345
510,54643,0.279810
520,53766,0.285186
530,53559,0.290542
540,53266,0.295869
550,52666,0.301135
560,52609,0.306396
570,52438,0.311640
580,51875,0.316828
590,51535,0.321981
600,51448,0.327126
610,51136,0.332239
620,50628,0.337302
630,50219,0.342324
640,50098,0.347334
650,49612,0.352295
660,49543,0.357249
670,49554,0.362205
680,48521,0.367057
690,48830,0.371940
700,48632,0.376803
710,47950,0.381598
720,47950,0.386393
730,47818,0.391175
740,47261,0.395901
750,47021,0.400603
760,46938,0.405297
770,45988,0.409896
780,46226,0.414518
790,46176,0.419136
800,45573,0.423693
810,45119,0.428205
820,44973,0.432703
830,44574,0.437160
840,44062,0.441566
850,44099,0.445976
860,43744,0.450350
870,43477,0.454698
880,43316,0.459030
890,42903,0.463320
900,42310,0.467551
910,42008,0.471752
920,42068,0.475959
930,41652,0.480124
940,41415,0.484265
950,41320,0.488397
960,40648,0.492462
970,40615,0.496524
980,40269,0.500551
990,39992,0.504550
1000,39782,0.508528
1010,39503,0.512478
1020,39232,0.516402
1030,38823,0.520284
1040,38613,0.524145
1050,38191,0.527964
1060,38186,0.531783
1070,38008,0.535584
1080,37572,0.539341
1090,37231,0.543064
1100,37111,0.546775
1110,37003,0.550475
1120,36509,0.554126
1130,36147,0.557741
1140,36173,0.561358
1150,36082,0.564966
1160,35482,0.568515
1170,35032,0.572018
1180,35112,0.575529
1190,34703,0.578999
1200,34259,0.582425
1210,34047,0.585830
1220,33848,0.589215
1230,33637,0.592578
1240,33289,0.595907
1250,33611,0.599268
1260,32801,0.602549
1270,32740,0.605823
1280,32408,0.609063
1290,32110,0.612274
1300,31830,0.615457
1310,31539,0.618611
1320,31725,0.621784
1330,31254,0.624909
1340,30911,0.628000
1350,30780,0.631078
1360,30661,0.634144
1370,30231,0.637168
1380,29797,0.640147
1390,29640,0.643111
1400,29557,0.646067
1410,29309,0.648998
1420,29096,0.651907
1430,28608,0.654768
1440,28263,0.657595
1450,28414,0.660436
1460,28485,0.663284
1470,27827,0.666067
1480,27652,0.668832
1490,27526,0.671585
1500,27251,0.674310
1510,26897,0.677000
1520,26735,0.679673
1530,26318,0.682305
1540,26562,0.684961
1550,25963,0.687558
1560,26313,0.690189
1570,25840,0.692773
1580,25508,0.695324
1590,25358,0.697860
1600,24974,0.700357
1610,24653,0.702822
1620,24890,0.705311
1630,24642,0.707775
1640,24242,0.710200
1650,24298,0.712629
1660,23843,0.715014
1670,23855,0.717399
1680,23471,0.719746
1690,23327,0.722079
1700,22927,0.724372
1710,23042,0.726676
1720,22941,0.728970
1730,22453,0.731215
1740,22234,0.733439
1750,22277,0.735666
1760,21761,0.737843
1770,21705,0.740013
1780,21581,0.742171
1790,21278,0.744299
1800,21157,0.746415
1810,21142,0.748529
1820,20923,0.750621
1830,20648,0.752686
1840,20383,0.754724
1850,20249,0.756749
1860,20184,0.758768
1870,19935,0.760761
1880,19684,0.762729
1890,19764,0.764706
1900,19530,0.766659
1910,19217,0.768581
1920,19129,0.770493
1930,18849,0.772378
1940,18509,0.774229
1950,18662,0.776095
1960,18417,0.777937
1970,18250,0.779762
1980,18162,0.781578
1990,17893,0.783368
2000,17810,0.785149
2010,17771,0.786926
2020,17664,0.788692
2030,17541,0.790446
2040,17218,0.792168
2050,17166,0.793885
2060,17177,0.795602
2070,16774,0.797280
2080,16645,0.798944
2090,16852,0.800629
2100,16378,0.802267
2110,16214,0.803889
2120,16234,0.805512
2130,16021,0.807114
2140,15848,0.808699
2150,15626,0.810262
2160,15685,0.811830
2170,15606,0.813391
2180,15193,0.814910
2190,15142,0.816424
2200,15133,0.817937
2210,15012,0.819439
2220,14665,0.820905
2230,14697,0.822375
2240,14522,0.823827
2250,14487,0.825276
2260,14004,0.826676
2270,13962,0.828072
2280,14036,0.829476
2290,13729,0.830849
2300,13578,0.832207
2310,13480,0.833555
2320,13481,0.834903
2330,13253,0.836228
2340,13345,0.837563
2350,12902,0.838853
2360,12834,0.840136
2370,12704,0.841407
2380,12722,0.842679
2390,12496,0.843928
2400,12336,0.845162
2410,12394,0.846401
2420,12110,0.847612
2430,12225,0.848835
2440,11908,0.850026
2450,11946,0.851220
2460,11994,0.852420
2470,11805,0.853600
2480,11608,0.854761
2490,11487,0.855910
2500,11354,0.857045
2510,11301,0.858175
2520,11168,0.859292
2530,11029,0.860395
2540,10970,0.861492
2550,11101,0.862602
2560,10910,0.863693
2570,10883,0.864781
2580,10740,0.865855
2590,10570,0.866912
2600,10420,0.867954
2610,10300,0.868984
2620,10422,0.870027
2630,10177,0.871044
2640,10110,0.872055
2650,10000,0.873055
2660,9969,0.874052
2670,9881,0.875040
2680,9710,0.876011
2690,9647,0.876976
2700,9670,0.877943
2710,9450,0.878888
2720,9401,0.879828
2730,9288,0.880757
2740,9379,0.881695
2750,9309,0.882626
2760,8920,0.883518
2770,8945,0.884412
2780,8921,0.885304
2790,8752,0.886180
2800,8865,0.887066
2810,8677,0.887934
2820,8531,0.888787
2830,8414,0.889628
2840,8481,0.890476
2850,8300,0.891306
2860,8144,0.892121
2870,8434,0.892964
2880,8147,0.893779
2890,7968,0.894576
2900,8045,0.895380
2910,8013,0.896181
2920,8066,0.896988
2930,8048,0.897793
2940,7764,0.898569
2950,7687,0.899338
2960,7735,0.900111
2970,7324,0.900844
2980,7674,0.901611
2990,7474,0.902359
3000,7414,0.903100
3010,7393,0.903839
3020,7224,0.904562
3030,7297,0.905291
3040,7237,0.906015
3050,7023,0.906717
3060,7008,0.907418
3070,6828,0.908101
3080,6711,0.908772
3090,6671,0.909439
3100,6948,0.910134
3110,6745,0.910809
3120,6671,0.911476
3130,6662,0.912142
3140,6462,0.912788
3150,6558,0.913444
3160,6349,0.914079
3170,6303,0.914709
3180,6331,0.915342
3190,6294,0.915972
3200,6312,0.916603
3210,6202,0.917223
3220,6140,0.917837
3230,5972,0.918434
3240,5951,0.919029
3250,5898,0.919619
3260,5832,0.920202
3270,5804,0.920783
3280,5875,0.921370
3290,5930,0.921963
3300,5821,0.922545
3310,5723,0.923118
3320,5582,0.923676
3330,5639,0.924240
3340,5454,0.924785
3350,5534,0.925338
3360,5459,0.925884
3370,5377,0.926422
3380,5330,0.926955
3390,5353,0.927490
3400,5423,0.928033
3410,5074,0.928540
3420,5215,0.929062
3430,5065,0.929568
3440,5080,0.930076
3450,5031,0.930579
3460,4935,0.931073
3470,5055,0.931578
3480,4941,0.932072
3490,4845,0.932557
3500,4898,0.933047
3510,4961,0.933543
3520,4832,0.934026
3530,4746,0.934500
3540,4782,0.934979
3550,4666,0.935445
3560,4543,0.935900
3570,4559,0.936355
3580,4481,0.936804
3590,4450,0.937249
3600,4572,0.937706
3610,4566,0.938162
3620,4347,0.938597
3630,4400,0.939037
3640,4379,0.939475
3650,4370,0.939912
3660,4130,0.940325
3670,4222,0.940747
3680,4190,0.941166
3690,4112,0.941577
3700,4182,0.941996
3710,4182,0.942414
