#latency,cnt,cdf
0,22,0.000002
20,8399,0.000842
30,5751,0.001417
40,1963,0.001614
50,328115,0.034425
60,429994,0.077424
70,559661,0.133391
80,394076,0.172798
90,240570,0.196855
100,322580,0.229113
110,640582,0.293171
120,326061,0.325777
130,242763,0.350054
140,214390,0.371493
150,201388,0.391632
160,287357,0.420367
170,249120,0.445279
180,305718,0.475851
190,206759,0.496527
200,178307,0.514358
210,160464,0.530404
220,150031,0.545407
230,141149,0.559522
240,132804,0.572802
250,126579,0.585460
260,117970,0.597257
270,109857,0.608243
280,101668,0.618410
290,95483,0.627958
300,90081,0.636966
310,85338,0.645500
320,80460,0.653546
330,75871,0.661133
340,70414,0.668175
350,66030,0.674778
360,62158,0.680993
370,58795,0.686873
380,55301,0.692403
390,52628,0.697666
400,50126,0.702678
410,47866,0.707465
420,45055,0.711970
430,42929,0.716263
440,40815,0.720345
450,38751,0.724220
460,36970,0.727917
470,34764,0.731393
480,33588,0.734752
490,31825,0.737935
500,30432,0.740978
510,29532,0.743931
520,28305,0.746762
530,27136,0.749475
540,26048,0.752080
550,25213,0.754601
560,23936,0.756995
570,23082,0.759303
580,22384,0.761541
590,21471,0.763689
600,20667,0.765755
610,20051,0.767760
620,19263,0.769687
630,18354,0.771522
640,17871,0.773309
650,17472,0.775056
660,16810,0.776737
670,16414,0.778379
680,15833,0.779962
690,15302,0.781492
700,14844,0.782977
710,14402,0.784417
720,13959,0.785813
730,13512,0.787164
740,13098,0.788474
750,12873,0.789761
760,12470,0.791008
770,12083,0.792216
780,11830,0.793399
790,11463,0.794546
800,11380,0.795684
810,10953,0.796779
820,10781,0.797857
830,10543,0.798911
840,10221,0.799933
850,10137,0.800947
860,9792,0.801926
870,9611,0.802887
880,9296,0.803817
890,9173,0.804734
900,9087,0.805643
910,8807,0.806524
920,8525,0.807376
930,8411,0.808217
940,8311,0.809048
950,8104,0.809859
960,8027,0.810662
970,7686,0.811430
980,7628,0.812193
990,7427,0.812936
1000,7312,0.813667
1010,7317,0.814399
1020,7104,0.815109
1030,6927,0.815802
1040,6913,0.816493
1050,6902,0.817183
1060,6666,0.817850
1070,6493,0.818499
1080,6496,0.819149
1090,6363,0.819785
1100,6385,0.820423
1110,6291,0.821053
1120,6240,0.821677
1130,6094,0.822286
1140,5902,0.822876
1150,5903,0.823466
1160,5709,0.824037
1170,5780,0.824615
1180,5573,0.825173
1190,5511,0.825724
1200,5649,0.826289
1210,5397,0.826828
1220,5352,0.827364
1230,5158,0.827879
1240,5160,0.828395
1250,4969,0.828892
1260,5031,0.829395
1270,5083,0.829904
1280,4916,0.830395
1290,4794,0.830875
1300,4927,0.831367
1310,4817,0.831849
1320,4691,0.832318
1330,4726,0.832791
1340,4576,0.833248
1350,4625,0.833711
1360,4605,0.834171
1370,4569,0.834628
1380,4424,0.835071
1390,4384,0.835509
1400,4501,0.835959
1410,4381,0.836397
1420,4349,0.836832
1430,4190,0.837251
1440,4425,0.837694
1450,4208,0.838115
1460,4119,0.838526
1470,4052,0.838932
1480,3932,0.839325
1490,3991,0.839724
1500,4054,0.840129
1510,3860,0.840515
1520,3928,0.840908
1530,3831,0.841291
1540,3814,0.841673
1550,3759,0.842048
1560,3836,0.842432
1570,3729,0.842805
1580,3735,0.843179
1590,3756,0.843554
1600,3831,0.843937
1610,3634,0.844301
1620,3619,0.844662
1630,3515,0.845014
1640,3426,0.845357
1650,3471,0.845704
1660,3622,0.846066
1670,3374,0.846403
1680,3465,0.846750
1690,3470,0.847097
1700,3543,0.847451
1710,3354,0.847786
1720,3396,0.848126
1730,3487,0.848475
1740,3318,0.848807
1750,3321,0.849139
1760,3279,0.849467
1770,3269,0.849793
1780,3260,0.850119
1790,3136,0.850433
1800,3266,0.850760
1810,3224,0.851082
1820,3189,0.851401
1830,3115,0.851712
1840,3072,0.852020
1850,3132,0.852333
1860,3056,0.852638
1870,3177,0.852956
1880,3279,0.853284
1890,3088,0.853593
1900,3056,0.853898
1910,3116,0.854210
1920,2987,0.854509
1930,2976,0.854806
1940,2950,0.855101
1950,2918,0.855393
1960,3044,0.855698
1970,2951,0.855993
1980,2917,0.856284
1990,2861,0.856570
2000,2903,0.856861
