#latency,cnt,cdf
0,3268633,0.344287
10,196222,0.364955
20,36773,0.368828
30,20565,0.370994
40,14347,0.372506
50,31778,0.375853
60,50067,0.381126
70,51683,0.386570
80,48057,0.391632
90,49644,0.396861
100,53567,0.402503
110,67425,0.409605
120,58524,0.415770
130,63583,0.422467
140,42318,0.426924
150,38253,0.430953
160,67331,0.438045
170,70237,0.445443
180,114163,0.457468
190,69311,0.464769
200,52910,0.470342
210,51799,0.475798
220,77435,0.483954
230,78281,0.492200
240,59536,0.498471
250,56161,0.504386
260,56399,0.510327
270,56062,0.516232
280,55216,0.522048
290,54464,0.527784
300,54009,0.533473
310,53400,0.539098
320,53449,0.544728
330,53075,0.550318
340,51775,0.555771
350,50551,0.561096
360,50000,0.566363
370,49822,0.571610
380,49183,0.576791
390,48076,0.581855
400,46790,0.586783
410,46153,0.591644
420,45449,0.596431
430,44689,0.601139
440,44195,0.605794
450,43600,0.610386
460,42914,0.614906
470,42640,0.619398
480,41567,0.623776
490,40560,0.628048
500,40668,0.632332
510,39744,0.636518
520,39345,0.640662
530,38707,0.644739
540,38368,0.648780
550,37828,0.652765
560,36954,0.656657
570,36583,0.660511
580,35815,0.664283
590,35224,0.667993
600,34943,0.671674
610,34644,0.675323
620,33833,0.678886
630,33655,0.682431
640,33281,0.685937
650,32695,0.689381
660,32154,0.692767
670,31810,0.696118
680,31225,0.699407
690,30801,0.702651
700,30410,0.705854
710,30293,0.709045
720,29804,0.712184
730,28918,0.715230
740,28840,0.718268
750,28785,0.721300
760,28199,0.724270
770,27650,0.727183
780,27535,0.730083
790,27017,0.732929
800,26626,0.735733
810,26459,0.738520
820,25951,0.741253
830,25839,0.743975
840,25540,0.746665
850,24933,0.749291
860,24531,0.751875
870,24270,0.754432
880,24086,0.756969
890,23988,0.759495
900,23352,0.761955
910,23107,0.764389
920,22795,0.766790
930,22667,0.769177
940,22513,0.771549
950,22178,0.773885
960,21739,0.776175
970,21451,0.778434
980,21130,0.780660
990,20844,0.782855
1000,20766,0.785042
1010,20519,0.787204
1020,20347,0.789347
1030,19803,0.791433
1040,19842,0.793523
1050,19462,0.795573
1060,19414,0.797618
1070,19194,0.799639
1080,19006,0.801641
1090,18560,0.803596
1100,18511,0.805546
1110,18390,0.807483
1120,17724,0.809350
1130,17500,0.811193
1140,17742,0.813062
1150,17488,0.814904
1160,17123,0.816707
1170,16957,0.818493
1180,16952,0.820279
1190,16627,0.822030
1200,16599,0.823779
1210,16368,0.825503
1220,15984,0.827186
1230,15827,0.828853
1240,15510,0.830487
1250,15417,0.832111
1260,15277,0.833720
1270,15207,0.835322
1280,15127,0.836915
1290,14822,0.838476
1300,14555,0.840010
1310,14554,0.841543
1320,14320,0.843051
1330,14323,0.844560
1340,14180,0.846053
1350,13944,0.847522
1360,13608,0.848955
1370,13496,0.850377
1380,13562,0.851805
1390,13159,0.853191
1400,12988,0.854559
1410,12837,0.855911
1420,12636,0.857242
1430,12603,0.858570
1440,12707,0.859908
1450,12382,0.861212
1460,12416,0.862520
1470,12148,0.863800
1480,11930,0.865056
1490,11811,0.866301
1500,11724,0.867535
1510,11649,0.868762
1520,11376,0.869961
1530,11256,0.871146
1540,11287,0.872335
1550,10992,0.873493
1560,11062,0.874658
1570,10841,0.875800
1580,10909,0.876949
1590,10625,0.878068
1600,10732,0.879199
1610,10445,0.880299
1620,10353,0.881389
1630,10241,0.882468
1640,10224,0.883545
1650,9909,0.884589
1660,9816,0.885622
1670,9803,0.886655
1680,9713,0.887678
1690,9536,0.888682
1700,9432,0.889676
1710,9490,0.890676
1720,9267,0.891652
1730,9184,0.892619
1740,9285,0.893597
1750,8941,0.894539
1760,8914,0.895478
1770,8849,0.896410
1780,8813,0.897338
1790,8683,0.898253
1800,8493,0.899147
1810,8441,0.900036
1820,8437,0.900925
1830,8172,0.901786
1840,8249,0.902655
1850,8097,0.903507
1860,8059,0.904356
1870,8143,0.905214
1880,7975,0.906054
1890,7800,0.906876
1900,7726,0.907689
1910,7651,0.908495
1920,7723,0.909309
1930,7563,0.910105
1940,7413,0.910886
1950,7200,0.911645
1960,7287,0.912412
1970,7020,0.913152
1980,7163,0.913906
1990,7131,0.914657
2000,6947,0.915389
2010,6780,0.916103
2020,6953,0.916835
2030,6965,0.917569
2040,6676,0.918272
2050,6643,0.918972
2060,6698,0.919677
2070,6649,0.920378
2080,6357,0.921047
2090,6407,0.921722
2100,6312,0.922387
2110,6223,0.923042
2120,6228,0.923698
2130,6157,0.924347
2140,5989,0.924978
2150,5977,0.925607
2160,5958,0.926235
2170,5956,0.926862
2180,5853,0.927479
2190,5775,0.928087
2200,5594,0.928676
2210,5779,0.929285
2220,5637,0.929879
2230,5569,0.930465
2240,5344,0.931028
2250,5348,0.931592
2260,5304,0.932150
2270,5275,0.932706
2280,5187,0.933252
2290,5071,0.933786
2300,5150,0.934329
2310,5126,0.934869
2320,5094,0.935405
2330,4942,0.935926
2340,4938,0.936446
2350,4911,0.936963
2360,4879,0.937477
2370,4833,0.937986
2380,4715,0.938483
2390,4702,0.938978
2400,4687,0.939472
2410,4689,0.939966
2420,4640,0.940454
2430,4521,0.940931
2440,4630,0.941418
2450,4583,0.941901
2460,4474,0.942372
2470,4432,0.942839
2480,4441,0.943307
2490,4301,0.943760
2500,4255,0.944208
2510,4286,0.944659
2520,4143,0.945096
2530,4278,0.945546
2540,4112,0.945980
2550,4159,0.946418
2560,4066,0.946846
2570,4201,0.947288
2580,4086,0.947719
2590,3982,0.948138
2600,3862,0.948545
2610,3904,0.948956
2620,3887,0.949366
2630,3842,0.949770
2640,3761,0.950166
2650,3783,0.950565
2660,3787,0.950964
2670,3818,0.951366
2680,3677,0.951753
2690,3681,0.952141
2700,3583,0.952518
2710,3483,0.952885
2720,3569,0.953261
2730,3489,0.953629
2740,3521,0.954000
2750,3516,0.954370
2760,3503,0.954739
2770,3476,0.955105
2780,3398,0.955463
2790,3366,0.955817
2800,3349,0.956170
2810,3356,0.956524
2820,3275,0.956869
2830,3227,0.957209
2840,3198,0.957545
2850,3250,0.957888
2860,3166,0.958221
2870,3177,0.958556
2880,3049,0.958877
2890,3080,0.959201
2900,3047,0.959522
2910,3001,0.959838
2920,3012,0.960156
2930,3040,0.960476
2940,2958,0.960787
2950,2860,0.961089
2960,2911,0.961395
2970,2858,0.961696
2980,2828,0.961994
2990,2830,0.962292
3000,2714,0.962578
3010,2670,0.962859
3020,2798,0.963154
3030,2846,0.963454
3040,2643,0.963732
3050,2643,0.964011
3060,2655,0.964290
3070,2580,0.964562
3080,2619,0.964838
3090,2624,0.965114
3100,2464,0.965374
3110,2637,0.965652
3120,2535,0.965919
3130,2425,0.966174
3140,2454,0.966433
3150,2470,0.966693
3160,2498,0.966956
3170,2404,0.967209
3180,2500,0.967472
3190,2413,0.967727
3200,2397,0.967979
3210,2300,0.968221
3220,2368,0.968471
3230,2304,0.968713
3240,2289,0.968954
3250,2306,0.969197
3260,2307,0.969440
3270,2268,0.969679
3280,2161,0.969907
3290,2190,0.970138
3300,2136,0.970363
3310,2133,0.970587
3320,2184,0.970817
3330,2164,0.971045
3340,2139,0.971270
3350,2039,0.971485
3360,2088,0.971705
3370,2125,0.971929
3380,2024,0.972142
3390,1983,0.972351
3400,2001,0.972562
3410,1992,0.972772
3420,1927,0.972975
3430,1953,0.973180
3440,1891,0.973379
3450,1863,0.973576
