#latency,cnt,cdf
0,1815036,0.181504
10,8454,0.182349
20,629,0.182412
30,32009,0.185613
40,398,0.185653
50,17685,0.187421
60,1776013,0.365022
70,109730,0.375995
80,1703870,0.546382
90,35359,0.549918
100,450389,0.594957
110,801197,0.675077
120,876998,0.762777
130,356190,0.798396
140,55243,0.803920
150,2725,0.804192
160,7149,0.804907
170,529488,0.857856
180,248874,0.882744
190,620250,0.944769
200,6210,0.945390
210,1010,0.945491
220,6387,0.946129
230,506335,0.996763
240,19357,0.998698
250,742,0.998773
260,579,0.998831
270,576,0.998888
280,270,0.998915
290,366,0.998952
300,234,0.998975
310,334,0.999009
320,370,0.999046
330,228,0.999068
340,143,0.999083
350,248,0.999107
360,190,0.999126
370,171,0.999144
380,213,0.999165
390,131,0.999178
400,126,0.999191
410,115,0.999202
420,123,0.999214
430,101,0.999224
440,91,0.999234
450,65,0.999240
460,52,0.999245
470,56,0.999251
480,46,0.999255
490,40,0.999259
500,42,0.999264
510,31,0.999267
520,40,0.999271
530,45,0.999275
540,33,0.999279
550,35,0.999282
560,43,0.999286
570,50,0.999291
580,33,0.999295
590,32,0.999298
600,46,0.999303
610,42,0.999307
620,46,0.999311
630,38,0.999315
640,57,0.999321
650,62,0.999327
660,76,0.999335
670,75,0.999342
680,58,0.999348
690,56,0.999354
700,60,0.999359
710,48,0.999364
720,42,0.999368
730,26,0.999371
740,36,0.999375
750,49,0.999380
760,50,0.999385
770,40,0.999389
780,49,0.999394
790,41,0.999398
800,51,0.999403
810,47,0.999407
820,29,0.999410
830,31,0.999413
840,41,0.999417
850,34,0.999421
860,28,0.999424
870,25,0.999426
880,14,0.999428
890,25,0.999430
900,32,0.999433
910,23,0.999436
920,17,0.999437
930,17,0.999439
940,17,0.999441
950,19,0.999443
960,15,0.999444
970,10,0.999445
980,12,0.999446
990,8,0.999447
1000,17,0.999449
1010,28,0.999452
1020,31,0.999455
1030,39,0.999459
1040,58,0.999464
1050,58,0.999470
1060,64,0.999477
1070,67,0.999483
1080,52,0.999488
1090,51,0.999494
1100,34,0.999497
1110,42,0.999501
1120,31,0.999504
1130,36,0.999508
1140,37,0.999512
1150,35,0.999515
1160,42,0.999519
1170,35,0.999523
1180,27,0.999525
1190,27,0.999528
1200,30,0.999531
1210,36,0.999535
1220,28,0.999538
1230,22,0.999540
1240,14,0.999541
1250,25,0.999544
1260,19,0.999546
1270,15,0.999547
1280,15,0.999549
1290,10,0.999550
1300,5,0.999550
1310,14,0.999551
1320,15,0.999553
1330,16,0.999555
1340,7,0.999555
1350,10,0.999556
1360,9,0.999557
1370,11,0.999558
1380,10,0.999559
1390,10,0.999560
1400,4,0.999561
1410,7,0.999561
1420,8,0.999562
1430,8,0.999563
1440,5,0.999564
1450,11,0.999565
1460,3,0.999565
1470,12,0.999566
1480,13,0.999567
1490,9,0.999568
1500,8,0.999569
1510,14,0.999570
1520,7,0.999571
1530,6,0.999572
1540,7,0.999573
1550,14,0.999574
1560,5,0.999574
1570,5,0.999575
1580,10,0.999576
1590,7,0.999577
1600,4,0.999577
1610,4,0.999577
1620,9,0.999578
1630,7,0.999579
1640,15,0.999581
1650,9,0.999581
1660,8,0.999582
1670,9,0.999583
1680,12,0.999584
1690,8,0.999585
1700,11,0.999586
1710,10,0.999587
1720,8,0.999588
1730,5,0.999588
1740,9,0.999589
1750,11,0.999591
1760,4,0.999591
1770,7,0.999592
1780,19,0.999593
1790,48,0.999598
1800,70,0.999605
1810,107,0.999616
1820,100,0.999626
1830,60,0.999632
1840,92,0.999641
1850,40,0.999645
1860,27,0.999648
1870,25,0.999650
1880,20,0.999652
1890,20,0.999654
1900,28,0.999657
1910,20,0.999659
1920,23,0.999662
1930,32,0.999665
1940,53,0.999670
1950,70,0.999677
1960,33,0.999680
1970,31,0.999683
1980,18,0.999685
