#latency,cnt,cdf
20,1,0.000000
30,2,0.000000
50,31136,0.003278
60,143984,0.018435
70,165776,0.035887
80,198077,0.056739
90,147852,0.072303
100,135287,0.086545
110,223582,0.110082
120,216277,0.132849
130,177520,0.151537
140,165002,0.168907
150,164430,0.186217
160,162245,0.203296
170,157729,0.219901
180,157928,0.236526
190,154436,0.252783
200,151794,0.268763
210,144193,0.283942
220,139799,0.298659
230,136706,0.313050
240,134663,0.327226
250,132522,0.341177
260,130505,0.354915
270,128375,0.368430
280,127711,0.381874
290,127404,0.395286
300,124572,0.408400
310,122822,0.421329
320,121090,0.434077
330,118645,0.446566
340,116173,0.458796
350,113388,0.470733
360,110889,0.482406
370,107984,0.493774
380,105818,0.504913
390,102603,0.515714
400,100489,0.526293
410,98058,0.536615
420,95633,0.546683
430,93508,0.556527
440,90581,0.566062
450,88538,0.575383
460,86287,0.584466
470,84039,0.593313
480,81085,0.601849
490,79908,0.610261
500,78173,0.618490
510,77190,0.626616
520,74929,0.634504
530,74044,0.642299
540,73613,0.650048
550,72724,0.657704
560,71225,0.665202
570,70354,0.672608
580,69131,0.679885
590,67696,0.687012
600,65819,0.693941
610,64642,0.700745
620,63515,0.707432
630,61947,0.713953
640,59969,0.720266
650,58792,0.726455
660,57322,0.732489
670,56802,0.738469
680,54712,0.744229
690,53386,0.749849
700,51765,0.755298
710,50556,0.760620
720,49398,0.765820
730,47859,0.770858
740,46469,0.775750
750,45556,0.780546
760,44713,0.785253
770,43600,0.789843
780,42621,0.794330
790,42251,0.798777
800,41303,0.803125
810,40253,0.807363
820,39949,0.811568
830,39196,0.815694
840,38489,0.819746
850,37736,0.823719
860,36951,0.827609
870,36283,0.831428
880,35464,0.835162
890,34451,0.838788
900,33511,0.842316
910,33204,0.845811
920,32381,0.849220
930,31383,0.852524
940,30891,0.855776
950,29855,0.858919
960,28952,0.861966
970,28545,0.864971
980,28042,0.867923
990,27114,0.870778
1000,25960,0.873511
1010,25776,0.876224
1020,24973,0.878853
1030,24367,0.881418
1040,24021,0.883947
1050,23389,0.886409
1060,23120,0.888843
1070,22453,0.891207
1080,22241,0.893548
1090,21770,0.895840
1100,21548,0.898108
1110,20790,0.900297
1120,20594,0.902465
1130,20380,0.904610
1140,19718,0.906686
1150,19333,0.908721
1160,18900,0.910711
1170,18547,0.912663
1180,18007,0.914559
1190,17578,0.916409
1200,17099,0.918209
1210,16697,0.919967
1220,16078,0.921659
1230,15824,0.923325
1240,15348,0.924941
1250,15093,0.926530
1260,14562,0.928063
1270,14233,0.929561
1280,13901,0.931024
1290,13466,0.932442
1300,13342,0.933846
1310,13081,0.935223
1320,12825,0.936574
1330,12554,0.937895
1340,12386,0.939199
1350,12109,0.940474
1360,12097,0.941747
1370,11730,0.942982
1380,11400,0.944182
1390,11177,0.945359
1400,10934,0.946510
1410,10476,0.947613
1420,10530,0.948721
1430,10137,0.949788
1440,9729,0.950812
1450,9818,0.951846
1460,9315,0.952827
1470,9259,0.953801
1480,8860,0.954734
1490,8746,0.955655
1500,8387,0.956538
1510,8230,0.957404
1520,8260,0.958274
1530,7879,0.959103
1540,7667,0.959910
