#latency,cnt,cdf
0,1863,0.000373
10,2,0.000373
20,3,0.000374
30,181,0.000410
50,7810,0.001972
60,1332553,0.268495
70,55272,0.279549
80,1281423,0.535846
90,16731,0.539192
100,332413,0.605678
110,716217,0.748928
120,547924,0.858517
130,283951,0.915310
140,35460,0.922403
150,1280,0.922659
160,797,0.922818
170,35480,0.929914
180,70586,0.944032
190,236164,0.991267
200,1625,0.991592
210,477,0.991687
220,434,0.991774
230,34573,0.998689
240,1267,0.998943
250,134,0.998969
260,104,0.998990
270,57,0.999002
280,48,0.999011
290,52,0.999022
300,63,0.999034
310,54,0.999045
320,55,0.999056
330,53,0.999067
340,53,0.999077
350,71,0.999091
360,86,0.999109
370,75,0.999124
380,100,0.999144
390,105,0.999165
400,89,0.999182
410,75,0.999197
420,86,0.999215
430,50,0.999225
440,45,0.999234
450,48,0.999243
460,35,0.999250
470,46,0.999259
480,45,0.999268
490,26,0.999274
500,33,0.999280
510,25,0.999285
520,20,0.999289
530,32,0.999296
540,44,0.999304
550,29,0.999310
560,22,0.999315
570,28,0.999320
580,30,0.999326
590,47,0.999336
600,23,0.999340
610,33,0.999347
620,27,0.999352
630,29,0.999358
640,44,0.999367
650,49,0.999377
660,65,0.999390
670,49,0.999399
680,61,0.999412
690,50,0.999422
700,48,0.999431
710,32,0.999438
720,40,0.999446
730,28,0.999451
740,34,0.999458
750,23,0.999463
760,26,0.999468
770,30,0.999474
780,26,0.999479
790,23,0.999484
800,25,0.999489
810,34,0.999495
820,29,0.999501
830,16,0.999504
840,19,0.999508
850,26,0.999513
860,19,0.999517
870,23,0.999522
880,17,0.999525
890,25,0.999530
900,16,0.999533
910,14,0.999536
920,11,0.999538
930,16,0.999542
940,19,0.999545
950,10,0.999547
960,10,0.999549
970,14,0.999552
980,13,0.999555
990,7,0.999556
1000,15,0.999559
1010,13,0.999562
1020,15,0.999565
1030,22,0.999569
1040,19,0.999573
1050,27,0.999578
1060,31,0.999585
1070,35,0.999592
1080,37,0.999599
1090,38,0.999607
1100,20,0.999611
1110,30,0.999617
1120,26,0.999622
1130,26,0.999627
1140,25,0.999632
1150,17,0.999635
1160,17,0.999639
1170,18,0.999642
1180,9,0.999644
1190,17,0.999648
1200,14,0.999650
1210,11,0.999653
1220,11,0.999655
1230,17,0.999658
1240,16,0.999661
1250,7,0.999663
1260,10,0.999665
1270,15,0.999668
1280,6,0.999669
1290,6,0.999670
1300,11,0.999672
1310,8,0.999674
1320,9,0.999676
1330,6,0.999677
1340,7,0.999678
1350,12,0.999681
1360,10,0.999683
1370,11,0.999685
1380,6,0.999686
1390,11,0.999688
1400,7,0.999690
1410,6,0.999691
1420,7,0.999692
1430,4,0.999693
1440,4,0.999694
1450,8,0.999696
1460,9,0.999697
1470,7,0.999699
1480,5,0.999700
1490,5,0.999701
1500,10,0.999703
1510,9,0.999705
1520,9,0.999706
1530,5,0.999707
1540,7,0.999709
1550,4,0.999710
1560,4,0.999710
1570,8,0.999712
1580,8,0.999714
1590,3,0.999714
1600,8,0.999716
1610,9,0.999718
1620,5,0.999719
1630,4,0.999719
1640,6,0.999721
1650,5,0.999722
1660,2,0.999722
1670,8,0.999724
1680,2,0.999724
1690,7,0.999725
1700,4,0.999726
1710,2,0.999727
1720,8,0.999728
1730,4,0.999729
1740,4,0.999730
1750,8,0.999731
1760,1,0.999732
1770,7,0.999733
1780,8,0.999735
1790,11,0.999737
1800,3,0.999737
1810,14,0.999740
1820,13,0.999743
1830,9,0.999745
1840,16,0.999748
1850,8,0.999749
1860,8,0.999751
1870,6,0.999752
1880,4,0.999753
1890,8,0.999755
1900,8,0.999756
1910,8,0.999758
1920,12,0.999760
1930,5,0.999761
1940,8,0.999763
1950,5,0.999764
1960,10,0.999766
1970,9,0.999768
1980,10,0.999770
1990,5,0.999771
2000,8,0.999772
2010,2,0.999773
2020,7,0.999774
2030,4,0.999775
2040,5,0.999776
