#latency,cnt,cdf
0,3295,0.000347
10,107,0.000358
20,31,0.000361
30,68,0.000369
40,24,0.000371
50,49442,0.005576
60,144833,0.020823
70,158345,0.037493
80,166867,0.055060
90,112789,0.066934
100,125104,0.080104
110,221435,0.103415
120,171927,0.121515
130,149241,0.137226
140,135480,0.151489
150,131430,0.165325
160,132123,0.179234
170,130590,0.192982
180,150083,0.208782
190,136593,0.223162
200,124715,0.236291
210,116846,0.248592
220,116190,0.260824
230,115219,0.272954
240,111626,0.284705
250,108988,0.296179
260,107951,0.307543
270,106960,0.318803
280,106997,0.330067
290,105724,0.341197
300,103912,0.352137
310,101381,0.362809
320,99645,0.373300
330,97494,0.383563
340,95145,0.393580
350,93302,0.403402
360,91003,0.412982
370,88868,0.422338
380,86877,0.431484
390,85826,0.440519
400,84602,0.449425
410,83223,0.458187
420,83065,0.466931
430,80887,0.475447
440,79044,0.483768
450,77234,0.491899
460,75222,0.499818
470,74301,0.507640
480,73307,0.515357
490,71154,0.522848
500,69964,0.530213
510,69068,0.537484
520,68212,0.544665
530,68053,0.551830
540,67439,0.558929
550,67115,0.565995
560,65816,0.572923
570,65364,0.579805
580,63505,0.586490
590,61823,0.592998
600,60750,0.599394
610,60110,0.605722
620,58346,0.611864
630,57455,0.617913
640,56161,0.623825
650,55293,0.629646
660,55214,0.635459
670,54730,0.641220
680,53593,0.646862
690,52239,0.652362
700,51631,0.657797
710,50728,0.663138
720,49716,0.668371
730,48509,0.673478
740,47936,0.678525
750,47468,0.683522
760,46365,0.688403
770,45426,0.693185
780,45521,0.697977
790,44682,0.702681
800,44653,0.707382
810,44411,0.712057
820,43280,0.716614
830,43048,0.721146
840,42049,0.725572
850,41156,0.729905
860,40500,0.734169
870,39565,0.738334
880,39123,0.742452
890,38111,0.746464
900,37526,0.750415
910,37224,0.754334
920,36764,0.758204
930,36818,0.762080
940,35981,0.765868
950,35293,0.769583
960,34617,0.773228
970,33535,0.776758
980,33255,0.780259
990,32308,0.783660
1000,31971,0.787026
1010,31169,0.790307
1020,31033,0.793574
1030,30643,0.796800
1040,29892,0.799947
1050,30134,0.803119
1060,30024,0.806280
1070,29700,0.809407
1080,29061,0.812466
1090,28591,0.815476
1100,27936,0.818417
1110,27664,0.821329
1120,27075,0.824180
1130,26622,0.826982
1140,25976,0.829717
1150,25212,0.832371
1160,24889,0.834991
1170,24745,0.837596
1180,24599,0.840186
1190,24552,0.842771
1200,24195,0.845318
1210,23499,0.847792
1220,23174,0.850231
1230,22749,0.852626
1240,22167,0.854960
1250,21752,0.857250
1260,21319,0.859494
1270,21028,0.861708
1280,20712,0.863888
1290,20435,0.866039
1300,20110,0.868157
1310,19909,0.870252
1320,19689,0.872325
1330,19292,0.874356
1340,19192,0.876377
1350,18849,0.878361
