#latency,cnt,cdf
0,2,0.000000
20,1,0.000000
30,42,0.000005
40,1,0.000005
50,57198,0.005724
60,3081743,0.313899
70,243890,0.338288
80,2992414,0.637529
90,60229,0.643552
100,226773,0.666229
110,1575468,0.823776
120,1328596,0.956636
130,182997,0.974935
140,32125,0.978148
150,1376,0.978285
160,597,0.978345
170,4504,0.978796
180,44799,0.983275
190,153963,0.998672
200,1611,0.998833
210,839,0.998917
220,426,0.998959
230,2377,0.999197
240,503,0.999247
250,163,0.999264
260,127,0.999276
270,118,0.999288
280,120,0.999300
290,116,0.999312
300,119,0.999324
310,121,0.999336
320,116,0.999347
330,98,0.999357
340,96,0.999367
350,81,0.999375
360,78,0.999383
370,93,0.999392
380,116,0.999404
390,72,0.999411
400,77,0.999418
410,77,0.999426
420,84,0.999435
430,64,0.999441
440,76,0.999449
450,83,0.999457
460,69,0.999464
470,59,0.999470
480,55,0.999475
490,61,0.999481
500,57,0.999487
510,47,0.999492
520,41,0.999496
530,47,0.999501
540,49,0.999505
550,44,0.999510
560,46,0.999514
570,44,0.999519
580,60,0.999525
590,51,0.999530
600,36,0.999533
610,36,0.999537
620,47,0.999542
630,50,0.999547
640,39,0.999551
650,38,0.999555
660,42,0.999559
670,37,0.999562
680,45,0.999567
690,41,0.999571
700,37,0.999575
710,23,0.999577
720,48,0.999582
730,63,0.999588
740,53,0.999593
750,51,0.999599
760,40,0.999602
770,32,0.999606
780,46,0.999610
790,53,0.999616
800,30,0.999619
810,47,0.999623
820,32,0.999627
830,30,0.999629
840,35,0.999633
850,33,0.999636
860,30,0.999639
870,31,0.999642
880,20,0.999644
890,19,0.999646
900,19,0.999648
910,21,0.999650
920,27,0.999653
930,17,0.999655
940,18,0.999656
950,22,0.999659
960,15,0.999660
970,17,0.999662
980,21,0.999664
990,16,0.999666
1000,19,0.999668
1010,18,0.999669
1020,16,0.999671
1030,20,0.999673
1040,16,0.999674
1050,21,0.999677
1060,28,0.999679
1070,21,0.999681
1080,15,0.999683
1090,23,0.999685
1100,21,0.999687
1110,16,0.999689
1120,15,0.999690
1130,17,0.999692
1140,11,0.999693
1150,11,0.999694
1160,20,0.999696
1170,20,0.999698
1180,17,0.999700
1190,23,0.999702
1200,16,0.999704
1210,16,0.999706
1220,16,0.999707
1230,23,0.999709
1240,23,0.999712
1250,24,0.999714
1260,15,0.999716
1270,18,0.999717
1280,21,0.999720
1290,15,0.999721
1300,13,0.999722
1310,16,0.999724
1320,13,0.999725
1330,11,0.999726
1340,12,0.999728
1350,12,0.999729
1360,17,0.999731
1370,14,0.999732
1380,12,0.999733
1390,10,0.999734
1400,17,0.999736
1410,12,0.999737
1420,17,0.999739
1430,7,0.999739
1440,13,0.999741
1450,13,0.999742
1460,13,0.999743
1470,8,0.999744
1480,13,0.999745
1490,18,0.999747
1500,15,0.999749
1510,10,0.999750
1520,8,0.999750
1530,8,0.999751
1540,10,0.999752
1550,13,0.999754
1560,12,0.999755
1570,18,0.999757
1580,15,0.999758
1590,12,0.999759
1600,11,0.999760
1610,10,0.999761
1620,13,0.999763
1630,12,0.999764
1640,12,0.999765
1650,12,0.999766
1660,18,0.999768
1670,6,0.999769
1680,11,0.999770
1690,5,0.999770
1700,13,0.999772
1710,8,0.999772
1720,9,0.999773
1730,18,0.999775
1740,11,0.999776
1750,8,0.999777
1760,14,0.999778
1770,13,0.999780
1780,12,0.999781
1790,14,0.999782
