#latency,cnt,cdf
0,1700,0.000170
10,3,0.000170
30,83,0.000179
40,1,0.000179
50,27895,0.002968
60,2910086,0.293977
70,141945,0.308171
80,2820131,0.590184
90,35375,0.593722
100,432079,0.636930
110,1377143,0.774644
120,1361613,0.910805
130,363089,0.947114
140,57141,0.952828
150,2035,0.953032
160,1153,0.953147
170,32151,0.956362
180,76278,0.963990
190,316093,0.995599
200,2348,0.995834
210,952,0.995929
220,657,0.995995
230,31207,0.999116
240,1455,0.999261
250,193,0.999281
260,164,0.999297
270,132,0.999310
280,121,0.999322
290,102,0.999332
300,96,0.999342
310,92,0.999351
320,87,0.999360
330,116,0.999372
340,91,0.999381
350,123,0.999393
360,132,0.999406
370,159,0.999422
380,192,0.999441
390,140,0.999455
400,136,0.999469
410,100,0.999479
420,78,0.999487
430,88,0.999496
440,83,0.999504
450,55,0.999509
460,74,0.999517
470,63,0.999523
480,45,0.999528
490,46,0.999532
500,50,0.999537
510,42,0.999541
520,54,0.999547
530,49,0.999552
540,38,0.999555
550,55,0.999561
560,57,0.999567
570,47,0.999571
580,48,0.999576
590,55,0.999582
600,59,0.999587
610,60,0.999593
620,56,0.999599
630,55,0.999605
640,66,0.999611
650,57,0.999617
660,57,0.999623
670,57,0.999628
680,47,0.999633
690,49,0.999638
700,45,0.999642
710,29,0.999645
720,37,0.999649
730,28,0.999652
740,41,0.999656
750,29,0.999659
760,22,0.999661
770,32,0.999664
780,36,0.999668
790,24,0.999670
800,26,0.999673
810,25,0.999675
820,23,0.999678
830,27,0.999680
840,23,0.999683
850,21,0.999685
860,17,0.999686
870,17,0.999688
880,17,0.999690
890,20,0.999692
900,12,0.999693
910,15,0.999695
920,15,0.999696
930,20,0.999698
940,10,0.999699
950,10,0.999700
960,14,0.999701
970,12,0.999703
980,8,0.999703
990,13,0.999705
1000,28,0.999708
1010,55,0.999713
1020,48,0.999718
1030,85,0.999726
1040,87,0.999735
1050,124,0.999747
1060,127,0.999760
1070,120,0.999772
1080,121,0.999784
1090,84,0.999793
1100,60,0.999799
1110,63,0.999805
1120,33,0.999808
1130,41,0.999812
1140,25,0.999815
1150,30,0.999818
1160,31,0.999821
1170,18,0.999823
1180,21,0.999825
1190,26,0.999827
1200,21,0.999829
1210,11,0.999831
1220,9,0.999831
1230,9,0.999832
1240,15,0.999834
1250,13,0.999835
1260,8,0.999836
1270,11,0.999837
1280,8,0.999838
1290,9,0.999839
1300,10,0.999840
1310,8,0.999841
1320,6,0.999841
1330,9,0.999842
1340,6,0.999843
1350,11,0.999844
1360,7,0.999844
1370,6,0.999845
1380,5,0.999846
1390,13,0.999847
1400,7,0.999848
1410,10,0.999849
1420,4,0.999849
1430,7,0.999850
1440,5,0.999850
1450,5,0.999851
1460,7,0.999851
1470,7,0.999852
1480,3,0.999852
1490,12,0.999854
1500,5,0.999854
1510,6,0.999855
1520,4,0.999855
1530,7,0.999856
1540,3,0.999856
1550,2,0.999856
1560,6,0.999857
1570,5,0.999857
1580,7,0.999858
1590,6,0.999859
1600,7,0.999859
1610,9,0.999860
1620,4,0.999861
1630,4,0.999861
1640,13,0.999862
1650,6,0.999863
1660,3,0.999863
1670,5,0.999864
1680,6,0.999864
1690,8,0.999865
1700,4,0.999866
1710,7,0.999866
1720,2,0.999866
1730,9,0.999867
1740,7,0.999868
1750,7,0.999869
1760,4,0.999869
1770,6,0.999870
1780,7,0.999870
1790,6,0.999871
1800,10,0.999872
1810,11,0.999873
1820,9,0.999874
1830,9,0.999875
1840,12,0.999876
1850,6,0.999877
1860,1,0.999877
1870,7,0.999878
1880,6,0.999878
1890,3,0.999879
1900,6,0.999879
1910,7,0.999880
1920,6,0.999880
1930,5,0.999881
1940,7,0.999882
1950,5,0.999882
1960,7,0.999883
1970,5,0.999883
1980,6,0.999884
1990,8,0.999885
2000,5,0.999885
2010,5,0.999886
2020,7,0.999886
2030,7,0.999887
2040,2,0.999887
2050,3,0.999888
2060,7,0.999888
2070,4,0.999889
2080,2,0.999889
2090,4,0.999889
2100,4,0.999890
2110,7,0.999890
2120,5,0.999891
2130,6,0.999892
2140,8,0.999892
2150,5,0.999893
2160,1,0.999893
2170,6,0.999893
2180,6,0.999894
2190,7,0.999895
2200,6,0.999895
2210,4,0.999896
2220,4,0.999896
2230,9,0.999897
2240,8,0.999898
2250,5,0.999898
2260,6,0.999899
2270,7,0.999900
2280,4,0.999900
2290,6,0.999901
2300,11,0.999902
2310,9,0.999903
2320,11,0.999904
2330,9,0.999905
2340,10,0.999906
2350,5,0.999906
2360,7,0.999907
2370,11,0.999908
2380,8,0.999909
2390,7,0.999910
2400,12,0.999911
2410,11,0.999912
2420,6,0.999912
2430,6,0.999913
2440,6,0.999914
2450,13,0.999915
2460,10,0.999916
2470,10,0.999917
2480,14,0.999918
2490,6,0.999919
2500,10,0.999920
2510,12,0.999921
2520,8,0.999922
2530,5,0.999922
2540,5,0.999923
2550,11,0.999924
2560,5,0.999924
2570,6,0.999925
2580,3,0.999925
2590,10,0.999926
2600,4,0.999927
2610,8,0.999928
2620,6,0.999928
2640,4,0.999929
2650,5,0.999929
2660,6,0.999930
2670,6,0.999930
2680,5,0.999931
2690,3,0.999931
2700,4,0.999932
2710,6,0.999932
2720,4,0.999933
2730,6,0.999933
2740,7,0.999934
2750,3,0.999934
2760,2,0.999934
2770,7,0.999935
2780,4,0.999935
2790,4,0.999936
2800,5,0.999936
2810,6,0.999937
2820,2,0.999937
2830,3,0.999937
2840,1,0.999937
2850,4,0.999938
2860,5,0.999938
2870,10,0.999939
2880,11,0.999941
2890,5,0.999941
2900,2,0.999941
2910,8,0.999942
2920,3,0.999942
2930,2,0.999942
2940,2,0.999943
2950,3,0.999943
2960,4,0.999943
2970,5,0.999944
2980,3,0.999944
2990,5,0.999945
3000,4,0.999945
3010,4,0.999946
3020,3,0.999946
3030,2,0.999946
3040,4,0.999946
3050,5,0.999947
3060,3,0.999947
3070,9,0.999948
3080,4,0.999949
3090,6,0.999949
3100,5,0.999950
3110,12,0.999951
3120,7,0.999951
3130,4,0.999952
3140,10,0.999953
3150,5,0.999953
3160,7,0.999954
3170,3,0.999954
3180,8,0.999955
3190,4,0.999956
3200,6,0.999956
3210,6,0.999957
3220,12,0.999958
3230,8,0.999959
3240,8,0.999960
3250,8,0.999960
3260,3,0.999961
3270,7,0.999961
3280,8,0.999962
3290,9,0.999963
3300,7,0.999964
3310,8,0.999965
3320,7,0.999965
3330,11,0.999966
3340,11,0.999968
3350,8,0.999968
3360,5,0.999969
3370,4,0.999969
3380,5,0.999970
3390,7,0.999970
3400,6,0.999971
3410,7,0.999972
3420,8,0.999973
3430,4,0.999973
3440,7,0.999974
3450,4,0.999974
3460,7,0.999975
3470,9,0.999976
3480,9,0.999977
3490,5,0.999977
3500,5,0.999978
3510,8,0.999978
3520,6,0.999979
3530,9,0.999980
3540,6,0.999980
3550,3,0.999981
3560,8,0.999982
3570,10,0.999982
3580,7,0.999983
3590,6,0.999984
3600,2,0.999984
3610,8,0.999985
3620,7,0.999986
3630,9,0.999986
3640,3,0.999987
3650,5,0.999987
3660,8,0.999988
3670,3,0.999988
3680,4,0.999989
3690,4,0.999989
3700,4,0.999990
3710,3,0.999990
3720,5,0.999990
3730,2,0.999991
3740,3,0.999991
3750,3,0.999991
3760,6,0.999992
3770,1,0.999992
3780,3,0.999992
3790,2,0.999992
3800,2,0.999992
3810,3,0.999993
3820,3,0.999993
3830,4,0.999994
3840,1,0.999994
3850,2,0.999994
3860,7,0.999995
3870,2,0.999995
3880,1,0.999995
3910,1,0.999995
3920,2,0.999995
3960,1,0.999995
3970,1,0.999995
4020,1,0.999995
4040,2,0.999996
4050,1,0.999996
4060,2,0.999996
4110,1,0.999996
4130,3,0.999996
4140,1,0.999996
4160,2,0.999997
4180,1,0.999997
4230,2,0.999997
4240,1,0.999997
4280,2,0.999997
4290,1,0.999997
4310,1,0.999997
4330,1,0.999997
4340,1,0.999998
4360,1,0.999998
4380,1,0.999998
4420,1,0.999998
4440,1,0.999998
4460,1,0.999998
4470,2,0.999998
4510,1,0.999998
4520,1,0.999999
4570,2,0.999999
4580,1,0.999999
4590,1,0.999999
4610,2,0.999999
4620,1,0.999999
4680,1,0.999999
4700,1,0.999999
4730,1,1.000000
4910,1,1.000000
4930,1,1.000000
5050,1,1.000000
5230,1,1.000000
5240,1,1.000000
