#latency,cnt,cdf
0,469666,0.093895
10,115875,0.117061
20,48008,0.126658
30,20911,0.130839
40,9039,0.132646
50,8936,0.134432
60,14583,0.137348
70,14389,0.140224
80,14842,0.143192
90,13120,0.145815
100,14908,0.148795
110,20235,0.152840
120,17173,0.156273
130,18678,0.160008
140,14077,0.162822
150,12716,0.165364
160,21078,0.169578
170,25122,0.174600
180,35405,0.181678
190,27212,0.187119
200,22585,0.191634
210,20601,0.195752
220,27185,0.201187
230,30850,0.207355
240,24984,0.212349
250,23797,0.217107
260,23976,0.221900
270,23985,0.226695
280,23627,0.231419
290,23258,0.236068
300,23192,0.240705
310,23619,0.245427
320,23542,0.250133
330,23422,0.254816
340,23170,0.259448
350,22956,0.264037
360,22791,0.268593
370,22643,0.273120
380,22408,0.277600
390,22226,0.282043
400,22040,0.286450
410,21708,0.290789
420,21698,0.295127
430,21319,0.299389
440,21482,0.303684
450,21254,0.307933
460,20914,0.312114
470,21071,0.316327
480,20827,0.320490
490,20714,0.324631
500,20114,0.328653
510,20112,0.332673
520,19988,0.336669
530,19749,0.340618
540,19544,0.344525
550,19378,0.348399
560,18952,0.352188
570,19200,0.356026
580,18813,0.359787
590,18472,0.363480
600,18607,0.367200
610,18205,0.370839
620,18212,0.374480
630,18002,0.378079
640,17875,0.381653
650,17771,0.385206
660,17664,0.388737
670,17180,0.392172
680,17511,0.395672
690,17191,0.399109
700,17251,0.402558
710,16724,0.405901
720,16694,0.409239
730,16654,0.412568
740,16528,0.415873
750,16159,0.419103
760,16103,0.422322
770,16120,0.425545
780,15733,0.428690
790,15545,0.431798
800,15545,0.434906
810,15622,0.438029
820,15256,0.441079
830,15295,0.444137
840,15281,0.447192
850,15148,0.450220
860,14833,0.453185
870,14802,0.456145
880,14645,0.459072
890,14886,0.462048
900,14363,0.464920
910,14367,0.467792
920,14232,0.470637
930,14231,0.473482
940,14047,0.476291
950,13990,0.479088
960,13899,0.481866
970,13779,0.484621
980,13407,0.487301
