#latency,cnt,cdf
0,1117497,0.117668
10,92460,0.127404
20,11590,0.128624
30,1984,0.128833
40,569,0.128893
50,13907,0.130357
60,35734,0.134120
70,33647,0.137663
80,36069,0.141461
90,28666,0.144479
100,32472,0.147898
110,50052,0.153168
120,39977,0.157378
130,41144,0.161710
140,29966,0.164865
150,26627,0.167669
160,48429,0.172769
170,55967,0.178662
180,82510,0.187350
190,57723,0.193428
200,45442,0.198212
210,44224,0.202869
220,63217,0.209526
230,70005,0.216897
240,53241,0.222503
250,51633,0.227940
260,52827,0.233502
270,53350,0.239120
280,52154,0.244611
290,51583,0.250043
300,51888,0.255506
310,51890,0.260970
320,52379,0.266485
330,51623,0.271921
340,51316,0.277324
350,50225,0.282613
360,50305,0.287910
370,50020,0.293177
380,50007,0.298442
390,49647,0.303670
400,48963,0.308826
410,48598,0.313943
420,48495,0.319049
430,47879,0.324090
440,47019,0.329041
450,46802,0.333969
460,46935,0.338912
470,46536,0.343812
480,46128,0.348669
490,45564,0.353466
500,45434,0.358250
510,44719,0.362959
520,44510,0.367646
530,43818,0.372260
540,43581,0.376849
550,43580,0.381437
560,42854,0.385950
570,42569,0.390432
580,42220,0.394878
590,41574,0.399255
600,41842,0.403661
610,41072,0.407986
620,40971,0.412300
630,40543,0.416569
640,40187,0.420800
650,39642,0.424975
660,39443,0.429128
670,39195,0.433255
680,39037,0.437365
690,38618,0.441432
700,38297,0.445464
710,37961,0.449461
720,37409,0.453400
730,36857,0.457281
740,37097,0.461187
750,36702,0.465052
760,36240,0.468868
770,35988,0.472657
780,35511,0.476396
790,35358,0.480119
800,35261,0.483832
810,34543,0.487469
820,34410,0.491093
830,34231,0.494697
840,34082,0.498286
850,33798,0.501845
860,33205,0.505341
870,33317,0.508849
880,32738,0.512296
890,32753,0.515745
900,32028,0.519117
910,31979,0.522485
920,32001,0.525854
930,31685,0.529191
940,31019,0.532457
950,30648,0.535684
960,30498,0.538895
970,30488,0.542105
980,30245,0.545290
990,30112,0.548461
1000,29811,0.551600
1010,29598,0.554716
1020,29110,0.557781
1030,28929,0.560828
1040,28732,0.563853
1050,28405,0.566844
1060,27900,0.569782
1070,27664,0.572695
1080,27705,0.575612
1090,27663,0.578525
1100,27004,0.581368
1110,26874,0.584198
1120,26688,0.587008
1130,26633,0.589812
1140,26475,0.592600
1150,25986,0.595336
1160,25792,0.598052
1170,25862,0.600775
1180,25373,0.603447
1190,25323,0.606113
1200,25263,0.608773
1210,24748,0.611379
1220,24840,0.613995
1230,24443,0.616568
1240,24531,0.619151
1250,24345,0.621715
1260,23657,0.624206
1270,23595,0.626690
1280,23495,0.629164
1290,23305,0.631618
1300,23051,0.634045
1310,22721,0.636438
1320,22878,0.638847
1330,22439,0.641209
1340,22332,0.643561
1350,22378,0.645917
1360,21969,0.648230
1370,22123,0.650560
1380,21418,0.652815
1390,21530,0.655082
1400,21272,0.657322
1410,20883,0.659521
1420,20962,0.661728
1430,20709,0.663909
1440,20600,0.666078
1450,20409,0.668227
1460,20164,0.670350
1470,20250,0.672482
1480,19885,0.674576
1490,20070,0.676689
1500,19772,0.678771
1510,19492,0.680824
1520,19333,0.682859
1530,19123,0.684873
1540,19097,0.686884
1550,19201,0.688906
1560,18774,0.690882
1570,18389,0.692819
1580,18470,0.694763
1590,18613,0.696723
1600,18236,0.698644
1610,18010,0.700540
1620,17800,0.702414
1630,17614,0.704269
1640,17769,0.706140
1650,17528,0.707986
1660,17431,0.709821
1670,17342,0.711647
1680,17174,0.713455
1690,17002,0.715246
1700,16635,0.716997
1710,16687,0.718754
1720,16509,0.720493
1730,16352,0.722214
1740,16461,0.723948
1750,16038,0.725636
1760,16284,0.727351
1770,15786,0.729013
1780,15528,0.730648
1790,15925,0.732325
1800,15360,0.733942
1810,15534,0.735578
1820,15314,0.737191
1830,15284,0.738800
1840,14902,0.740369
1850,14746,0.741922
1860,14843,0.743485
1870,14694,0.745032
1880,14820,0.746592
1890,14465,0.748115
1900,14538,0.749646
1910,14412,0.751164
1920,14198,0.752659
1930,14132,0.754147
1940,14021,0.755623
1950,13930,0.757090
1960,13890,0.758552
1970,13785,0.760004
1980,13819,0.761459
1990,13455,0.762876
2000,13354,0.764282
2010,13427,0.765696
2020,13092,0.767074
2030,13359,0.768481
2040,13282,0.769880
2050,12998,0.771248
2060,12825,0.772599
2070,12697,0.773935
2080,12573,0.775259
2090,12173,0.776541
2100,12324,0.777839
2110,12244,0.779128
2120,12340,0.780427
2130,12080,0.781699
2140,12038,0.782967
2150,12072,0.784238
2160,12146,0.785517
2170,12121,0.786793
2180,11800,0.788036
2190,11836,0.789282
2200,11752,0.790520
2210,11476,0.791728
2220,11454,0.792934
2230,11443,0.794139
2240,11482,0.795348
2250,11240,0.796531
2260,11083,0.797698
2270,11058,0.798863
2280,11065,0.800028
2290,10922,0.801178
2300,10705,0.802305
2310,10777,0.803440
2320,10947,0.804593
2330,10771,0.805727
2340,10708,0.806854
2350,10599,0.807970
2360,10516,0.809078
2370,10157,0.810147
2380,10303,0.811232
2390,10100,0.812295
2400,10114,0.813360
2410,10066,0.814420
2420,10029,0.815476
2430,10153,0.816545
2440,9754,0.817572
2450,9754,0.818599
2460,9743,0.819625
2470,9618,0.820638
2480,9546,0.821643
2490,9504,0.822644
2500,9544,0.823649
2510,9267,0.824625
2520,9311,0.825605
2530,9360,0.826591
2540,9264,0.827566
2550,9176,0.828532
2560,9201,0.829501
2570,9062,0.830455
2580,9044,0.831408
2590,9068,0.832362
2600,8935,0.833303
2610,8820,0.834232
2620,8737,0.835152
2630,8745,0.836073
2640,8781,0.836997
2650,8645,0.837908
2660,8648,0.838818
2670,8520,0.839715
2680,8586,0.840619
2690,8400,0.841504
2700,8213,0.842369
2710,8188,0.843231
2720,8352,0.844110
2730,8160,0.844970
2740,8092,0.845822
2750,8147,0.846679
2760,8084,0.847531
2770,8064,0.848380
2780,8068,0.849229
2790,7912,0.850062
2800,7905,0.850895
2810,7786,0.851715
2820,7793,0.852535
2830,7699,0.853346
2840,7577,0.854144
2850,7649,0.854949
2860,7462,0.855735
2870,7505,0.856525
2880,7515,0.857316
2890,7573,0.858114
2900,7350,0.858888
2910,7427,0.859670
2920,7319,0.860440
2930,7136,0.861192
2940,7251,0.861955
2950,7071,0.862700
2960,6975,0.863434
2970,7050,0.864177
2980,7036,0.864917
2990,7014,0.865656
3000,7005,0.866394
3010,6896,0.867120
3020,6896,0.867846
3030,6979,0.868581
3040,6897,0.869307
3050,6840,0.870027
3060,6718,0.870735
3070,6778,0.871448
3080,6684,0.872152
3090,6692,0.872857
3100,6489,0.873540
3110,6638,0.874239
3120,6573,0.874931
3130,6404,0.875605
3140,6512,0.876291
3150,6320,0.876956
3160,6485,0.877639
3170,6232,0.878295
3180,6308,0.878960
3190,6236,0.879616
3200,6206,0.880270
3210,6156,0.880918
3220,6045,0.881554
3230,5878,0.882173
3240,6000,0.882805
3250,5973,0.883434
3260,5953,0.884061
3270,5896,0.884682
3280,5883,0.885301
3290,5840,0.885916
3300,5663,0.886512
3310,5745,0.887117
3320,5702,0.887718
3330,5722,0.888320
3340,5703,0.888921
3350,5691,0.889520
3360,5589,0.890109
3370,5598,0.890698
3380,5635,0.891291
3390,5635,0.891885
3400,5669,0.892482
3410,5511,0.893062
3420,5419,0.893632
3430,5445,0.894206
3440,5324,0.894766
3450,5371,0.895332
3460,5314,0.895891
3470,5181,0.896437
3480,5291,0.896994
3490,5222,0.897544
3500,5330,0.898105
3510,5293,0.898663
3520,5188,0.899209
3530,5295,0.899766
3540,5136,0.900307
3550,5173,0.900852
3560,5027,0.901381
3570,5110,0.901919
3580,4946,0.902440
3590,5069,0.902974
3600,5061,0.903507
3610,4926,0.904025
3620,5045,0.904557
3630,4990,0.905082
3640,5023,0.905611
3650,4740,0.906110
3660,4844,0.906620
3670,4718,0.907117
3680,4714,0.907613
3690,4720,0.908110
3700,4832,0.908619
3710,4801,0.909125
3720,4647,0.909614
3730,4666,0.910105
3740,4632,0.910593
3750,4459,0.911062
3760,4419,0.911528
3770,4646,0.912017
3780,4529,0.912494
3790,4487,0.912966
3800,4512,0.913441
3810,4389,0.913904
3820,4489,0.914376
3830,4474,0.914847
3840,4366,0.915307
3850,4336,0.915764
3860,4310,0.916217
3870,4196,0.916659
3880,4286,0.917111
3890,4276,0.917561
3900,4280,0.918011
3910,4131,0.918446
3920,4240,0.918893
3930,4208,0.919336
3940,4165,0.919774
3950,4148,0.920211
3960,4057,0.920638
3970,4079,0.921068
3980,4045,0.921494
3990,4084,0.921924
4000,4022,0.922347
4010,3914,0.922760
4020,3982,0.923179
4030,3995,0.923599
4040,4085,0.924030
4050,3934,0.924444
4060,4005,0.924866
4070,3872,0.925273
4080,3844,0.925678
4090,3839,0.926082
4100,3968,0.926500
4110,3877,0.926908
4120,3838,0.927312
4130,3803,0.927713
4140,3694,0.928102
4150,3814,0.928503
4160,3718,0.928895
4170,3768,0.929292
4180,3627,0.929674
4190,3665,0.930059
4200,3559,0.930434
4210,3762,0.930830
4220,3597,0.931209
4230,3549,0.931583
4240,3623,0.931964
4250,3536,0.932337
4260,3470,0.932702
4270,3560,0.933077
4280,3490,0.933444
4290,3512,0.933814
4300,3358,0.934168
4310,3473,0.934533
4320,3382,0.934889
4330,3469,0.935255
4340,3402,0.935613
4350,3364,0.935967
4360,3387,0.936324
4370,3327,0.936674
4380,3338,0.937026
4390,3344,0.937378
4400,3334,0.937729
4410,3349,0.938081
4420,3312,0.938430
4430,3304,0.938778
4440,3270,0.939122
4450,3326,0.939473
4460,3205,0.939810
4470,3221,0.940149
4480,3127,0.940479
4490,3159,0.940811
4500,3151,0.941143
4510,3207,0.941481
4520,3172,0.941815
4530,3067,0.942138
4540,3089,0.942463
4550,3070,0.942786
4560,3006,0.943103
4570,3119,0.943431
4580,3000,0.943747
4590,3042,0.944067
4600,2967,0.944380
4610,3033,0.944699
4620,3012,0.945016
4630,3059,0.945338
4640,3000,0.945654
4650,3010,0.945971
4660,2920,0.946279
4670,2921,0.946586
4680,2851,0.946886
4690,2963,0.947198
4700,2875,0.947501
4710,2848,0.947801
4720,2975,0.948114
4730,2819,0.948411
4740,2854,0.948712
4750,2800,0.949006
4760,2802,0.949301
4770,2907,0.949607
4780,2804,0.949903
4790,2726,0.950190
4800,2722,0.950476
4810,2642,0.950755
4820,2675,0.951036
4830,2605,0.951311
4840,2625,0.951587
4850,2679,0.951869
4860,2713,0.952155
4870,2737,0.952443
4880,2631,0.952720
4890,2531,0.952986
4900,2589,0.953259
4910,2659,0.953539
4920,2657,0.953819
4930,2534,0.954086
4940,2564,0.954356
4950,2541,0.954623
4960,2610,0.954898
4970,2508,0.955162
4980,2502,0.955426
4990,2590,0.955698
5000,2500,0.955961
5010,2547,0.956230
5020,2498,0.956493
5030,2495,0.956755
5040,2417,0.957010
5050,2365,0.957259
5060,2423,0.957514
5070,2302,0.957756
5080,2315,0.958000
5090,2432,0.958256
5100,2355,0.958504
5110,2304,0.958747
5120,2331,0.958992
5130,2239,0.959228
5140,2306,0.959471
5150,2325,0.959716
5160,2369,0.959965
5170,2289,0.960206
5180,2260,0.960444
5190,2256,0.960682
5200,2239,0.960917
5210,2202,0.961149
5220,2244,0.961386
5230,2205,0.961618
5240,2181,0.961847
5250,2192,0.962078
5260,2129,0.962302
5270,2003,0.962513
5280,2184,0.962743
5290,2166,0.962971
5300,2176,0.963200
5310,2005,0.963412
5320,2003,0.963622
5330,2114,0.963845
5340,2090,0.964065
5350,1994,0.964275
5360,2091,0.964495
5370,2030,0.964709
5380,1984,0.964918
5390,2004,0.965129
5400,2066,0.965346
5410,1973,0.965554
5420,2014,0.965766
5430,1836,0.965960
5440,2000,0.966170
5450,1969,0.966378
5460,1938,0.966582
5470,1955,0.966787
5480,1899,0.966987
5490,1900,0.967187
5500,1894,0.967387
5510,1898,0.967587
5520,1817,0.967778
5530,1893,0.967977
5540,1828,0.968170
5550,1794,0.968359
5560,1828,0.968551
5570,1849,0.968746
5580,1843,0.968940
5590,1791,0.969129
5600,1822,0.969320
5610,1803,0.969510
5620,1764,0.969696
5630,1782,0.969884
5640,1755,0.970068
5650,1737,0.970251
5660,1741,0.970435
5670,1764,0.970620
5680,1732,0.970803
5690,1718,0.970984
5700,1692,0.971162
5710,1682,0.971339
5720,1723,0.971520
5730,1610,0.971690
5740,1641,0.971863
5750,1633,0.972035
5760,1551,0.972198
5770,1655,0.972372
5780,1698,0.972551
5790,1595,0.972719
5800,1620,0.972890
5810,1632,0.973061
5820,1524,0.973222
5830,1636,0.973394
5840,1576,0.973560
5850,1543,0.973723
5860,1572,0.973888
5870,1531,0.974049
5880,1534,0.974211
5890,1535,0.974372
5900,1504,0.974531
5910,1489,0.974688
5920,1516,0.974847
5930,1469,0.975002
5940,1449,0.975154
5950,1467,0.975309
5960,1483,0.975465
5970,1450,0.975618
5980,1368,0.975762
5990,1473,0.975917
6000,1393,0.976064
6010,1464,0.976218
6020,1446,0.976370
6030,1444,0.976522
6040,1444,0.976674
6050,1423,0.976824
6060,1353,0.976966
6070,1441,0.977118
6080,1436,0.977269
6090,1353,0.977412
6100,1376,0.977557
6110,1410,0.977705
6120,1357,0.977848
6130,1333,0.977988
6140,1371,0.978133
6150,1414,0.978282
6160,1395,0.978429
6170,1382,0.978574
6180,1302,0.978711
6190,1319,0.978850
6200,1310,0.978988
6210,1272,0.979122
6220,1277,0.979256
6230,1319,0.979395
6240,1248,0.979527
6250,1275,0.979661
6260,1231,0.979791
6270,1249,0.979922
6280,1307,0.980060
6290,1232,0.980189
6300,1224,0.980318
6310,1242,0.980449
6320,1224,0.980578
6330,1310,0.980716
6340,1265,0.980849
6350,1227,0.980978
6360,1212,0.981106
6370,1216,0.981234
6380,1193,0.981360
6390,1262,0.981492
6400,1127,0.981611
6410,1217,0.981739
6420,1195,0.981865
6430,1186,0.981990
6440,1123,0.982108
6450,1140,0.982228
6460,1122,0.982346
6470,1128,0.982465
6480,1024,0.982573
6490,1063,0.982685
6500,1112,0.982802
6510,1066,0.982914
6520,1165,0.983037
6530,1039,0.983146
6540,1099,0.983262
6550,1108,0.983379
6560,1050,0.983489
6570,1007,0.983595
6580,1062,0.983707
6590,1045,0.983817
6600,1055,0.983928
6610,1047,0.984039
6620,1065,0.984151
6630,1051,0.984261
6640,1013,0.984368
6650,1077,0.984481
6660,1013,0.984588
6670,1032,0.984697
6680,965,0.984798
6690,994,0.984903
6700,995,0.985008
6710,1004,0.985113
6720,1030,0.985222
6730,1013,0.985329
6740,956,0.985429
6750,947,0.985529
6760,980,0.985632
6770,940,0.985731
6780,978,0.985834
6790,914,0.985930
6800,913,0.986026
6810,895,0.986121
6820,881,0.986214
6830,870,0.986305
6840,873,0.986397
6850,922,0.986494
6860,876,0.986586
6870,971,0.986689
6880,894,0.986783
6890,882,0.986876
6900,906,0.986971
6910,818,0.987057
6920,822,0.987144
6930,837,0.987232
6940,854,0.987322
6950,850,0.987411
6960,794,0.987495
6970,846,0.987584
6980,775,0.987666
6990,825,0.987752
7000,833,0.987840
7010,797,0.987924
7020,824,0.988011
7030,857,0.988101
7040,809,0.988186
7050,812,0.988272
7060,809,0.988357
7070,786,0.988440
7080,751,0.988519
7090,797,0.988603
7100,751,0.988682
7110,732,0.988759
7120,826,0.988846
7130,717,0.988921
7140,753,0.989001
7150,760,0.989081
7160,767,0.989161
7170,756,0.989241
7180,722,0.989317
7190,728,0.989394
7200,663,0.989463
7210,709,0.989538
7220,677,0.989609
7230,723,0.989686
7240,712,0.989761
7250,724,0.989837
7260,692,0.989910
7270,739,0.989987
7280,755,0.990067
7290,662,0.990137
7300,683,0.990209
7310,655,0.990278
7320,707,0.990352
7330,718,0.990428
7340,662,0.990497
7350,687,0.990570
7360,669,0.990640
7370,738,0.990718
7380,648,0.990786
7390,652,0.990855
7400,661,0.990924
7410,669,0.990995
7420,651,0.991063
7430,615,0.991128
7440,587,0.991190
7450,612,0.991254
7460,635,0.991321
7470,607,0.991385
7480,612,0.991449
7490,598,0.991512
7500,608,0.991576
7510,642,0.991644
7520,650,0.991712
7530,591,0.991775
7540,590,0.991837
7550,587,0.991899
7560,532,0.991955
7570,557,0.992013
7580,587,0.992075
7590,631,0.992142
7600,601,0.992205
7610,527,0.992260
7620,589,0.992322
7630,592,0.992385
7640,563,0.992444
7650,552,0.992502
7660,543,0.992559
7670,518,0.992614
7680,506,0.992667
7690,541,0.992724
7700,532,0.992780
7710,517,0.992835
7720,520,0.992889
7730,522,0.992944
7740,492,0.992996
7750,526,0.993051
7760,572,0.993112
7770,533,0.993168
7780,488,0.993219
7790,521,0.993274
7800,515,0.993328
7810,493,0.993380
7820,493,0.993432
7830,466,0.993481
7840,478,0.993531
7850,472,0.993581
7860,483,0.993632
7870,438,0.993678
7880,506,0.993731
7890,484,0.993782
7900,493,0.993834
7910,455,0.993882
7920,444,0.993929
7930,468,0.993978
7940,464,0.994027
7950,438,0.994073
7960,425,0.994118
7970,436,0.994164
7980,392,0.994205
7990,461,0.994254
8000,413,0.994297
8010,435,0.994343
8020,442,0.994390
8030,449,0.994437
8040,448,0.994484
8050,407,0.994527
8060,412,0.994570
8070,404,0.994613
8080,410,0.994656
8090,415,0.994700
8100,395,0.994741
8110,393,0.994783
8120,403,0.994825
8130,398,0.994867
8140,408,0.994910
8150,388,0.994951
8160,359,0.994989
8170,371,0.995028
8180,370,0.995067
8190,347,0.995103
8200,356,0.995141
8210,379,0.995180
8220,384,0.995221
8230,314,0.995254
8240,370,0.995293
8250,333,0.995328
8260,316,0.995361
8270,372,0.995400
8280,337,0.995436
8290,327,0.995470
8300,378,0.995510
8310,345,0.995547
8320,353,0.995584
8330,335,0.995619
8340,332,0.995654
8350,344,0.995690
8360,337,0.995726
8370,333,0.995761
8380,346,0.995797
8390,339,0.995833
8400,336,0.995868
8410,328,0.995903
8420,294,0.995934
8430,304,0.995966
8440,303,0.995998
8450,277,0.996027
8460,301,0.996058
8470,325,0.996093
8480,268,0.996121
8490,326,0.996155
8500,291,0.996186
8510,297,0.996217
8520,298,0.996249
8530,291,0.996279
8540,259,0.996306
8550,305,0.996339
8560,281,0.996368
8570,314,0.996401
8580,286,0.996431
8590,277,0.996460
8600,233,0.996485
8610,293,0.996516
8620,255,0.996543
8630,287,0.996573
8640,282,0.996603
8650,280,0.996632
8660,260,0.996659
8670,246,0.996685
8680,276,0.996714
8690,251,0.996741
8700,268,0.996769
8710,272,0.996798
