#latency,cnt,cdf
20,1110,0.000111
30,159141,0.016025
40,3418,0.016367
50,3448,0.016712
60,944958,0.111208
70,130132,0.124221
80,987991,0.223020
90,35727,0.226592
100,154084,0.242001
110,411713,0.283172
120,575688,0.340741
130,134827,0.354224
140,53236,0.359547
150,115568,0.371104
160,17262,0.372830
170,982193,0.471050
180,548997,0.525949
190,1064021,0.632351
200,368157,0.669167
210,342370,0.703404
220,277898,0.731194
230,458817,0.777076
240,242520,0.801328
250,85927,0.809920
260,355282,0.845448
270,418306,0.887279
280,245762,0.911855
290,162245,0.928080
300,95829,0.937663
310,182660,0.955929
320,191806,0.975109
330,72405,0.982350
340,83781,0.990728
350,5740,0.991302
360,6515,0.991953
370,2025,0.992156
380,17202,0.993876
390,34937,0.997370
400,7963,0.998166
410,2229,0.998389
420,2820,0.998671
430,3121,0.998983
440,344,0.999017
450,236,0.999041
460,153,0.999056
470,654,0.999122
480,3873,0.999509
490,235,0.999533
500,118,0.999544
510,52,0.999550
520,38,0.999553
530,60,0.999559
540,60,0.999565
550,17,0.999567
560,15,0.999569
570,14,0.999570
580,25,0.999573
590,25,0.999575
600,14,0.999576
610,12,0.999578
620,25,0.999580
630,10,0.999581
640,10,0.999582
650,13,0.999583
660,13,0.999585
670,7,0.999585
680,12,0.999587
690,10,0.999588
700,20,0.999590
710,9,0.999591
720,13,0.999592
730,10,0.999593
740,12,0.999594
750,13,0.999595
760,6,0.999596
770,7,0.999597
780,9,0.999597
790,8,0.999598
800,5,0.999599
810,5,0.999599
820,8,0.999600
830,10,0.999601
840,8,0.999602
850,6,0.999602
860,8,0.999603
870,10,0.999604
880,6,0.999605
890,7,0.999606
900,9,0.999606
910,7,0.999607
920,6,0.999608
930,11,0.999609
940,7,0.999610
950,4,0.999610
960,8,0.999611
970,6,0.999611
980,9,0.999612
990,4,0.999613
1000,9,0.999614
1010,6,0.999614
1020,10,0.999615
1030,9,0.999616
1040,3,0.999616
1050,4,0.999617
1060,7,0.999618
1070,4,0.999618
1080,10,0.999619
1090,12,0.999620
1100,5,0.999621
1110,6,0.999621
1120,4,0.999622
1130,6,0.999622
1140,8,0.999623
1150,1,0.999623
1160,6,0.999624
1170,3,0.999624
1180,2,0.999624
1190,5,0.999625
1200,7,0.999625
1210,6,0.999626
1220,3,0.999626
1230,5,0.999627
1240,4,0.999627
1250,4,0.999628
1260,4,0.999628
1270,9,0.999629
1280,7,0.999630
1290,3,0.999630
1300,2,0.999630
1310,7,0.999631
1320,2,0.999631
1330,3,0.999631
1340,8,0.999632
1350,6,0.999633
1360,6,0.999633
1370,7,0.999634
1380,5,0.999635
1390,5,0.999635
1400,7,0.999636
1410,7,0.999636
1420,4,0.999637
1430,5,0.999637
1440,9,0.999638
1450,8,0.999639
1460,5,0.999640
1470,4,0.999640
1480,11,0.999641
1490,8,0.999642
1500,7,0.999642
1510,4,0.999643
1520,9,0.999644
1530,4,0.999644
1540,7,0.999645
1550,6,0.999645
1560,5,0.999646
1570,5,0.999646
1580,4,0.999647
1590,7,0.999648
1610,11,0.999649
1620,6,0.999649
1630,6,0.999650
1640,8,0.999651
1650,5,0.999651
1660,6,0.999652
1670,3,0.999652
1680,8,0.999653
1690,8,0.999654
1700,1,0.999654
1710,5,0.999654
1720,4,0.999655
1730,7,0.999655
1740,8,0.999656
1750,5,0.999657
1760,5,0.999657
1770,9,0.999658
1780,3,0.999658
1790,4,0.999659
1800,8,0.999660
1810,2,0.999660
1820,4,0.999660
1830,3,0.999660
1840,10,0.999662
1850,37,0.999665
1860,127,0.999678
1870,174,0.999695
1880,168,0.999712
1890,144,0.999726
1900,119,0.999738
1910,80,0.999746
1920,19,0.999748
1930,11,0.999749
1940,4,0.999750
1950,3,0.999750
1960,13,0.999751
1970,17,0.999753
1980,9,0.999754
1990,38,0.999758
2000,101,0.999768
2010,29,0.999771
2020,14,0.999772
2030,29,0.999775
2040,5,0.999776
2050,1,0.999776
2060,1,0.999776
2070,1,0.999776
2080,4,0.999776
2090,5,0.999777
2110,1,0.999777
2120,6,0.999777
2130,5,0.999778
