#latency,cnt,cdf
0,2784306,0.293085
10,15129,0.294678
20,808,0.294763
30,38415,0.298807
40,613,0.298871
50,4195,0.299313
60,268037,0.327527
70,32613,0.330960
80,260305,0.358361
90,11125,0.359532
100,277170,0.388708
110,103092,0.399560
120,184299,0.418960
130,199952,0.440007
140,87778,0.449247
150,91807,0.458911
160,10305,0.459996
170,691587,0.532794
180,293310,0.563669
190,866937,0.654926
200,222559,0.678353
210,200363,0.699444
220,147206,0.714940
230,837689,0.803118
240,224991,0.826801
250,119070,0.839335
260,117321,0.851684
270,278404,0.880990
280,132838,0.894973
290,151483,0.910919
300,101568,0.921610
310,138328,0.936171
320,140252,0.950934
330,78087,0.959154
340,141199,0.974017
350,20871,0.976214
360,15500,0.977846
370,19105,0.979857
380,44523,0.984543
390,69599,0.991869
400,13713,0.993313
410,6195,0.993965
420,8557,0.994866
430,12866,0.996220
440,15301,0.997831
450,1005,0.997937
460,678,0.998008
470,1824,0.998200
480,5392,0.998767
490,1338,0.998908
500,774,0.998990
510,503,0.999043
520,484,0.999094
530,752,0.999173
540,149,0.999189
550,93,0.999198
560,195,0.999219
570,225,0.999243
580,876,0.999335
590,143,0.999350
600,46,0.999355
610,44,0.999359
620,138,0.999374
630,124,0.999387
640,43,0.999391
650,45,0.999396
660,35,0.999400
670,39,0.999404
680,39,0.999408
690,59,0.999414
700,51,0.999420
710,39,0.999424
720,44,0.999428
730,34,0.999432
740,39,0.999436
750,30,0.999439
760,39,0.999443
770,20,0.999445
780,29,0.999448
790,23,0.999451
800,20,0.999453
810,23,0.999455
820,22,0.999458
830,21,0.999460
840,15,0.999461
850,18,0.999463
860,16,0.999465
870,20,0.999467
880,17,0.999469
890,28,0.999472
900,37,0.999476
910,28,0.999479
920,30,0.999482
930,14,0.999483
940,23,0.999486
950,20,0.999488
960,23,0.999490
970,27,0.999493
980,18,0.999495
990,18,0.999497
1000,18,0.999499
1010,24,0.999501
1020,25,0.999504
1030,13,0.999505
1040,23,0.999508
1050,15,0.999509
1060,12,0.999511
1070,23,0.999513
1080,15,0.999515
1090,11,0.999516
1100,21,0.999518
1110,18,0.999520
1120,12,0.999521
1130,15,0.999523
1140,17,0.999525
1150,8,0.999525
1160,13,0.999527
1170,5,0.999527
1180,15,0.999529
1190,17,0.999531
1200,14,0.999532
1210,11,0.999533
1220,6,0.999534
1230,8,0.999535
1240,14,0.999536
1250,18,0.999538
1260,10,0.999539
1270,19,0.999541
1280,8,0.999542
1290,14,0.999543
1300,17,0.999545
1310,23,0.999548
1320,16,0.999549
1330,17,0.999551
1340,21,0.999553
1350,22,0.999556
1360,20,0.999558
1370,26,0.999561
1380,22,0.999563
1390,16,0.999565
1400,25,0.999567
1410,17,0.999569
1420,20,0.999571
1430,22,0.999573
1440,16,0.999575
1450,16,0.999577
1460,7,0.999577
1470,20,0.999580
1480,11,0.999581
1490,7,0.999581
1500,10,0.999583
1510,10,0.999584
1520,13,0.999585
1530,9,0.999586
1540,10,0.999587
1550,7,0.999588
1560,4,0.999588
1570,11,0.999589
1580,7,0.999590
1590,11,0.999591
1600,7,0.999592
1610,9,0.999593
1620,8,0.999594
1630,10,0.999595
1640,8,0.999596
1650,7,0.999596
1660,7,0.999597
1670,11,0.999598
1680,3,0.999599
1690,9,0.999599
1700,7,0.999600
1710,5,0.999601
1720,5,0.999601
1730,4,0.999602
1740,3,0.999602
1750,7,0.999603
1760,8,0.999604
1770,10,0.999605
1780,10,0.999606
1790,21,0.999608
1800,24,0.999610
1810,30,0.999614
1820,33,0.999617
1830,21,0.999619
1840,18,0.999621
1850,29,0.999624
1860,32,0.999628
1870,52,0.999633
1880,52,0.999638
1890,28,0.999641
1900,29,0.999645
1910,37,0.999648
1920,31,0.999652
1930,36,0.999655
1940,28,0.999658
1950,28,0.999661
1960,44,0.999666
1970,53,0.999672
1980,58,0.999678
1990,59,0.999684
2000,31,0.999687
2010,25,0.999690
2020,22,0.999692
2030,21,0.999694
2040,7,0.999695
2050,10,0.999696
