#latency,cnt,cdf
30,2,0.000000
50,13593,0.001359
60,49183,0.006278
70,43727,0.010650
80,53919,0.016042
90,30824,0.019125
100,29757,0.022101
110,62683,0.028369
120,52526,0.033621
130,41096,0.037731
140,36099,0.041341
150,35743,0.044915
160,36472,0.048562
170,38301,0.052393
180,43518,0.056744
190,42192,0.060964
200,41285,0.065092
210,41232,0.069215
220,41746,0.073390
230,42584,0.077648
240,42252,0.081873
250,43348,0.086208
260,44625,0.090671
270,44679,0.095139
280,44547,0.099593
290,44822,0.104075
300,44812,0.108557
310,45307,0.113087
320,45433,0.117631
330,45364,0.122167
340,45471,0.126714
350,45848,0.131299
360,46060,0.135905
370,46355,0.140540
380,46245,0.145165
390,46795,0.149844
400,46111,0.154456
410,47111,0.159167
420,46966,0.163863
430,47255,0.168589
440,47224,0.173311
450,47134,0.178025
460,47179,0.182743
470,47123,0.187455
480,47013,0.192156
490,47497,0.196906
500,47442,0.201650
510,47940,0.206444
520,46878,0.211132
530,47538,0.215886
540,47352,0.220621
550,47284,0.225349
560,47483,0.230098
570,47718,0.234869
580,47397,0.239609
590,47352,0.244344
600,47357,0.249080
610,47106,0.253790
620,46968,0.258487
630,47081,0.263195
640,47435,0.267939
650,47092,0.272648
660,47099,0.277358
670,47036,0.282062
680,46579,0.286720
690,47245,0.291444
700,47098,0.296154
710,46579,0.300812
720,46768,0.305488
730,46965,0.310185
740,46408,0.314826
750,46424,0.319468
760,46537,0.324122
770,46259,0.328748
780,46481,0.333396
790,45981,0.337994
800,46079,0.342602
810,45762,0.347178
820,45736,0.351752
830,45803,0.356332
840,45663,0.360898
850,45211,0.365419
860,45078,0.369927
870,45190,0.374446
880,45058,0.378952
890,44985,0.383451
900,44844,0.387935
910,44881,0.392423
920,44533,0.396876
930,44316,0.401308
940,44227,0.405731
950,43707,0.410101
960,44019,0.414503
970,43809,0.418884
980,43604,0.423245
990,43290,0.427574
1000,43211,0.431895
1010,43063,0.436201
1020,43054,0.440506
1030,42997,0.444806
1040,42611,0.449067
1050,42528,0.453320
1060,42620,0.457582
1070,42235,0.461805
1080,41753,0.465981
1090,41764,0.470157
1100,41495,0.474307
1110,41614,0.478468
1120,41357,0.482604
1130,41442,0.486748
1140,40761,0.490824
1150,40770,0.494901
1160,40877,0.498989
1170,40617,0.503050
1180,40227,0.507073
1190,40121,0.511085
1200,39948,0.515080
1210,39546,0.519035
1220,39354,0.522970
1230,39324,0.526902
1240,38729,0.530775
1250,38984,0.534674
1260,38923,0.538566
1270,38709,0.542437
1280,38249,0.546262
1290,38047,0.550066
1300,37790,0.553846
1310,37578,0.557603
1320,37779,0.561381
1330,37344,0.565116
1340,37191,0.568835
1350,36823,0.572517
1360,36496,0.576167
1370,36285,0.579795
1380,35928,0.583388
1390,35617,0.586950
1400,35486,0.590498
1410,35375,0.594036
1420,35503,0.597586
1430,35217,0.601108
1440,35048,0.604613
1450,34566,0.608069
1460,34663,0.611535
1470,34449,0.614980
1480,34070,0.618387
1490,34095,0.621797
1500,33929,0.625190
1510,33429,0.628533
1520,33527,0.631885
1530,33387,0.635224
1540,33022,0.638526
1550,32485,0.641775
1560,32761,0.645051
1570,32320,0.648283
1580,32035,0.651486
1590,32194,0.654706
1600,31797,0.657885
1610,31374,0.661023
1620,31284,0.664151
1630,31066,0.667258
1640,31296,0.670387
1650,30828,0.673470
1660,30361,0.676506
1670,30343,0.679541
1680,30269,0.682567
1690,29732,0.685541
1700,29695,0.688510
1710,29520,0.691462
1720,29123,0.694375
1730,29234,0.697298
1740,28887,0.700187
1750,28511,0.703038
1760,28294,0.705867
1770,27859,0.708653
1780,28150,0.711468
1790,27615,0.714230
1800,27534,0.716983
1810,27438,0.719727
1820,26932,0.722420
1830,27099,0.725130
1840,26504,0.727780
1850,26671,0.730447
1860,26512,0.733099
1870,26327,0.735731
1880,25897,0.738321
1890,25912,0.740912
1900,25750,0.743487
1910,25619,0.746049
1920,25166,0.748566
1930,25249,0.751091
1940,24642,0.753555
1950,24454,0.756000
1960,24293,0.758429
1970,24011,0.760831
1980,23812,0.763212
1990,23677,0.765579
2000,23510,0.767930
2010,23763,0.770307
2020,23207,0.772627
2030,23173,0.774945
2040,22881,0.777233
2050,22771,0.779510
2060,22630,0.781773
2070,22685,0.784041
2080,21971,0.786238
2090,21791,0.788418
2100,21925,0.790610
2110,21706,0.792781
2120,21380,0.794919
2130,21457,0.797064
2140,21068,0.799171
2150,21248,0.801296
2160,20988,0.803395
2170,20842,0.805479
2180,20336,0.807513
2190,20154,0.809528
2200,20298,0.811558
2210,19863,0.813544
2220,19605,0.815505
2230,20103,0.817515
2240,19447,0.819460
2250,19394,0.821399
2260,18966,0.823296
2270,18793,0.825175
2280,18457,0.827021
2290,18911,0.828912
2300,18555,0.830767
2310,18166,0.832584
2320,18001,0.834384
2330,17710,0.836155
2340,17702,0.837925
2350,17577,0.839683
2360,17658,0.841449
2370,17147,0.843163
2380,17124,0.844876
2390,17128,0.846588
2400,16926,0.848281
2410,16743,0.849955
2420,16292,0.851585
2430,16421,0.853227
2440,16235,0.854850
2450,16048,0.856455
2460,15852,0.858040
2470,15936,0.859634
2480,15716,0.861205
2490,15580,0.862763
2500,15385,0.864302
2510,15273,0.865829
2520,15277,0.867357
2530,14816,0.868838
2540,14626,0.870301
2550,14837,0.871785
2560,14380,0.873223
2570,14108,0.874634
2580,14154,0.876049
2590,14142,0.877463
2600,13914,0.878855
2610,13793,0.880234
2620,13776,0.881612
2630,13677,0.882979
2640,13552,0.884334
2650,13288,0.885663
2660,13064,0.886970
2670,12698,0.888239
2680,13032,0.889543
2690,12796,0.890822
2700,12762,0.892098
2710,12437,0.893342
2720,12619,0.894604
2730,12269,0.895831
2740,12054,0.897036
2750,11928,0.898229
2760,11908,0.899420
2770,11813,0.900601
2780,11626,0.901764
2790,11492,0.902913
2800,11491,0.904062
2810,11289,0.905191
2820,11164,0.906307
2830,11137,0.907421
2840,11185,0.908540
2850,10923,0.909632
2860,10580,0.910690
2870,10433,0.911733
2880,10431,0.912776
2890,10286,0.913805
2900,10266,0.914832
2910,10210,0.915852
2920,10102,0.916863
2930,10025,0.917865
2940,9762,0.918841
2950,9803,0.919822
2960,9700,0.920792
2970,9404,0.921732
2980,9419,0.922674
2990,9232,0.923597
3000,9201,0.924517
3010,9123,0.925430
3020,8994,0.926329
3030,8743,0.927203
3040,8965,0.928100
3050,8616,0.928961
3060,8640,0.929825
3070,8345,0.930660
3080,8339,0.931494
3090,8334,0.932327
3100,8171,0.933144
3110,8086,0.933953
3120,8109,0.934764
3130,7939,0.935558
3140,7912,0.936349
3150,7725,0.937121
3160,7732,0.937895
3170,7674,0.938662
3180,7525,0.939415
3190,7259,0.940140
3200,7116,0.940852
3210,7335,0.941585
3220,7207,0.942306
3230,7130,0.943019
3240,7072,0.943726
3250,7099,0.944436
3260,6937,0.945130
3270,6754,0.945805
3280,6758,0.946481
3290,6770,0.947158
3300,6605,0.947819
3310,6479,0.948467
3320,6641,0.949131
3330,6418,0.949772
3340,6138,0.950386
3350,6165,0.951003
3360,6043,0.951607
3370,6122,0.952219
3380,5828,0.952802
3390,5801,0.953382
3400,5758,0.953958
3410,5695,0.954527
3420,5648,0.955092
3430,5618,0.955654
3440,5584,0.956213
3450,5559,0.956768
3460,5239,0.957292
3470,5562,0.957848
3480,5180,0.958367
3490,5240,0.958890
3500,5086,0.959399
3510,5013,0.959900
3520,5073,0.960408
3530,4939,0.960902
3540,4991,0.961401
3550,4821,0.961883
3560,4774,0.962360
3570,4853,0.962846
3580,4716,0.963317
3590,4698,0.963787
3600,4455,0.964232
3610,4642,0.964697
3620,4484,0.965145
3630,4299,0.965575
3640,4309,0.966006
3650,4228,0.966429
3660,4262,0.966855
3670,4175,0.967272
3680,4167,0.967689
3690,4052,0.968094
3700,4126,0.968507
3710,3919,0.968899
3720,4006,0.969299
