#latency,cnt,cdf
0,303,0.000061
10,88,0.000078
20,28,0.000084
30,12,0.000086
40,13,0.000089
50,3245,0.000738
60,10594,0.002857
70,10963,0.005050
80,12990,0.007648
90,9436,0.009535
100,9499,0.011435
110,16024,0.014640
120,13778,0.017396
130,12695,0.019935
140,11046,0.022145
150,10480,0.024241
160,10249,0.026291
170,11049,0.028501
180,13312,0.031164
190,12879,0.033740
200,12781,0.036296
210,12632,0.038823
220,13200,0.041463
230,13399,0.044143
240,13714,0.046886
250,13713,0.049629
260,14159,0.052461
270,14238,0.055309
280,14279,0.058165
290,14543,0.061074
300,14601,0.063994
310,14657,0.066926
320,14835,0.069893
330,14979,0.072889
340,15312,0.075952
350,14951,0.078942
360,15366,0.082016
370,15373,0.085091
380,15462,0.088183
390,15497,0.091283
400,15518,0.094387
410,15579,0.097503
420,15677,0.100639
430,15469,0.103733
440,15605,0.106854
450,15659,0.109986
460,15705,0.113127
470,15505,0.116229
480,15736,0.119376
490,15730,0.122522
500,15467,0.125616
510,15759,0.128768
520,15808,0.131930
530,15689,0.135068
540,15758,0.138220
550,16184,0.141457
560,15875,0.144632
570,15790,0.147791
580,16052,0.151001
590,15759,0.154153
600,16095,0.157373
610,16012,0.160575
620,15789,0.163733
630,16166,0.166967
640,16002,0.170168
650,16077,0.173383
660,16057,0.176595
670,15877,0.179771
680,16279,0.183027
690,15845,0.186196
700,16074,0.189411
710,16130,0.192637
720,16221,0.195882
730,16205,0.199123
740,15878,0.202299
750,16102,0.205520
760,16168,0.208754
770,16289,0.212012
780,16083,0.215229
790,16223,0.218473
800,16225,0.221719
810,16167,0.224952
820,15962,0.228145
830,16244,0.231394
840,15969,0.234588
850,16120,0.237813
860,16253,0.241063
870,16058,0.244275
880,15939,0.247463
890,15961,0.250656
900,16120,0.253880
910,15911,0.257063
920,16008,0.260265
930,16011,0.263467
940,15740,0.266615
950,15861,0.269788
960,16092,0.273006
970,15953,0.276197
980,15782,0.279354
990,15799,0.282514
1000,15871,0.285689
1010,15812,0.288851
1020,15722,0.291996
1030,15849,0.295166
1040,15629,0.298292
1050,15664,0.301425
1060,15767,0.304579
1070,15802,0.307740
1080,15629,0.310866
1090,15595,0.313985
1100,15612,0.317108
1110,15712,0.320250
1120,15507,0.323352
1130,15483,0.326449
1140,15604,0.329570
1150,15491,0.332668
1160,15659,0.335800
1170,15411,0.338883
1180,15534,0.341990
1190,15732,0.345137
1200,15560,0.348249
1210,15498,0.351349
1220,15191,0.354387
1230,15499,0.357487
1240,15311,0.360550
1250,15116,0.363573
1260,15157,0.366605
1270,15396,0.369684
1280,15313,0.372747
1290,15070,0.375762
1300,15287,0.378819
1310,15336,0.381887
1320,14869,0.384861
1330,15018,0.387865
1340,15150,0.390895
1350,14876,0.393870
1360,15093,0.396889
1370,14938,0.399877
1380,14984,0.402874
1390,14898,0.405854
1400,15077,0.408870
1410,14934,0.411857
1420,14859,0.414829
1430,14667,0.417763
1440,14826,0.420728
1450,14735,0.423675
1460,14768,0.426629
1470,14542,0.429538
1480,14442,0.432426
1490,14405,0.435308
1500,14521,0.438212
1510,14325,0.441077
1520,14428,0.443963
1530,14529,0.446869
1540,14297,0.449729
1550,14459,0.452621
1560,14052,0.455432
1570,14265,0.458285
1580,14043,0.461094
1590,14126,0.463919
1600,14121,0.466744
1610,14032,0.469550
1620,13857,0.472322
1630,13934,0.475109
1640,13744,0.477858
1650,13982,0.480655
1660,13597,0.483374
1670,13710,0.486117
1680,13848,0.488887
1690,13300,0.491547
1700,13286,0.494204
1710,13295,0.496863
1720,13272,0.499518
1730,13168,0.502152
1740,13302,0.504813
1750,13274,0.507468
1760,13168,0.510101
1770,13104,0.512722
1780,12944,0.515311
1790,12951,0.517902
1800,12952,0.520492
1810,12779,0.523049
1820,12903,0.525629
1830,12560,0.528142
1840,12598,0.530661
1850,12692,0.533200
1860,12507,0.535702
1870,12709,0.538244
1880,12478,0.540740
1890,12376,0.543215
1900,12557,0.545727
1910,12317,0.548190
1920,12218,0.550634
1930,12074,0.553049
1940,11932,0.555436
1950,12135,0.557863
1960,12159,0.560295
1970,11927,0.562680
1980,12103,0.565101
1990,11673,0.567436
2000,11558,0.569748
2010,11927,0.572134
2020,11663,0.574466
2030,11591,0.576785
2040,11679,0.579121
2050,11628,0.581447
2060,11367,0.583720
2070,11447,0.586010
2080,11404,0.588291
2090,11203,0.590532
2100,11280,0.592788
2110,11375,0.595063
2120,11093,0.597282
2130,11199,0.599522
2140,11195,0.601761
2150,10917,0.603945
2160,10745,0.606094
2170,10611,0.608216
2180,10933,0.610403
2190,10590,0.612521
2200,10714,0.614664
