#latency,cnt,cdf
30,6,0.000001
50,5836,0.000615
60,686957,0.072926
70,88165,0.082207
80,703173,0.156226
90,19237,0.158250
100,121412,0.171031
110,270980,0.199555
120,428270,0.244636
130,178489,0.263425
140,69908,0.270783
150,234880,0.295508
160,20219,0.297636
170,192903,0.317942
180,480886,0.368561
190,469237,0.417955
200,580224,0.479031
210,497631,0.531414
220,303789,0.563392
230,675296,0.634476
240,391969,0.675736
250,186963,0.695416
260,284268,0.725339
270,721831,0.801322
280,311016,0.834060
290,299957,0.865635
300,170631,0.883596
310,218959,0.906645
320,356581,0.944180
330,127092,0.957558
340,191701,0.977737
350,12102,0.979011
360,20600,0.981179
370,16146,0.982879
380,27607,0.985785
390,80137,0.994220
400,16095,0.995915
410,4455,0.996383
420,5022,0.996912
430,6805,0.997628
440,3402,0.997986
450,1007,0.998093
460,943,0.998192
470,2014,0.998404
480,7276,0.999170
490,391,0.999211
500,491,0.999263
510,1096,0.999378
520,183,0.999397
530,217,0.999420
540,33,0.999423
550,42,0.999428
560,32,0.999431
570,45,0.999436
580,254,0.999463
590,50,0.999468
600,23,0.999470
610,33,0.999474
620,24,0.999476
630,39,0.999481
640,41,0.999485
650,33,0.999488
660,43,0.999493
670,59,0.999499
680,39,0.999503
690,44,0.999508
700,47,0.999513
710,50,0.999518
720,43,0.999523
730,52,0.999528
740,39,0.999532
750,54,0.999538
760,47,0.999543
770,40,0.999547
780,38,0.999551
790,42,0.999555
800,29,0.999558
810,31,0.999562
820,24,0.999564
830,16,0.999566
840,18,0.999568
850,15,0.999569
860,14,0.999571
870,14,0.999572
880,8,0.999573
890,19,0.999575
900,12,0.999576
910,24,0.999579
920,15,0.999581
930,22,0.999583
940,20,0.999585
950,19,0.999587
960,27,0.999590
970,22,0.999592
980,23,0.999595
990,28,0.999597
1000,30,0.999601
1010,35,0.999604
1020,22,0.999607
1030,26,0.999609
1040,34,0.999613
1050,24,0.999615
1060,28,0.999618
1070,27,0.999621
1080,26,0.999624
1090,25,0.999627
1100,27,0.999629
1110,20,0.999632
1120,19,0.999634
1130,28,0.999637
1140,15,0.999638
1150,15,0.999640
1160,15,0.999641
1170,19,0.999643
1180,15,0.999645
1190,15,0.999646
1200,14,0.999648
1210,13,0.999649
1220,10,0.999650
1230,14,0.999652
1240,15,0.999653
1250,9,0.999654
1260,13,0.999656
1270,21,0.999658
1280,17,0.999660
1290,12,0.999661
1300,18,0.999663
1310,13,0.999664
1320,15,0.999666
1330,17,0.999668
1340,14,0.999669
1350,21,0.999671
1360,15,0.999673
1370,18,0.999675
1380,23,0.999677
1390,17,0.999679
1400,14,0.999680
