#latency,cnt,cdf
0,890,0.000089
10,4,0.000089
20,1,0.000089
30,62,0.000096
40,1,0.000096
50,3347,0.000430
60,660209,0.066451
70,120647,0.078516
80,701264,0.148642
90,24489,0.151091
100,147181,0.165809
110,194233,0.185233
120,512859,0.236519
130,176182,0.254137
140,107609,0.264898
150,233715,0.288269
160,26617,0.290931
170,201390,0.311070
180,482911,0.359361
190,529318,0.412293
200,570119,0.469305
210,511000,0.520405
220,354239,0.555829
230,678309,0.623660
240,457708,0.669430
250,193752,0.688806
260,276251,0.716431
270,784713,0.794902
280,291410,0.824043
290,356113,0.859654
300,175781,0.877232
310,235583,0.900791
320,375639,0.938355
330,140426,0.952397
340,205877,0.972985
350,17967,0.974782
360,25307,0.977312
370,23278,0.979640
380,32764,0.982916
390,82934,0.991210
400,20321,0.993242
410,5267,0.993769
420,5252,0.994294
430,8430,0.995137
440,5652,0.995702
450,1426,0.995845
460,1222,0.995967
470,2247,0.996192
480,7358,0.996927
490,896,0.997017
500,916,0.997109
510,1482,0.997257
520,541,0.997311
530,605,0.997371
540,264,0.997398
550,274,0.997425
560,241,0.997449
570,316,0.997481
580,725,0.997553
590,356,0.997589
600,341,0.997623
610,302,0.997653
620,312,0.997684
630,463,0.997731
640,467,0.997778
650,357,0.997813
660,421,0.997855
670,409,0.997896
680,330,0.997929
690,328,0.997962
700,314,0.997993
710,291,0.998022
720,388,0.998061
730,360,0.998097
740,269,0.998124
750,251,0.998149
760,201,0.998169
770,213,0.998191
780,203,0.998211
790,173,0.998228
800,130,0.998241
810,152,0.998257
820,175,0.998274
830,159,0.998290
840,158,0.998306
850,161,0.998322
860,183,0.998340
870,176,0.998358
880,188,0.998376
890,228,0.998399
900,207,0.998420
910,222,0.998442
920,239,0.998466
930,228,0.998489
940,229,0.998512
950,235,0.998535
960,234,0.998559
970,223,0.998581
980,183,0.998599
990,195,0.998619
1000,178,0.998637
1010,179,0.998654
1020,174,0.998672
1030,175,0.998689
1040,144,0.998704
1050,130,0.998717
1060,155,0.998732
1070,137,0.998746
1080,107,0.998757
1090,102,0.998767
1100,85,0.998775
1110,95,0.998785
1120,108,0.998796
1130,100,0.998806
1140,113,0.998817
1150,98,0.998827
1160,83,0.998835
1170,91,0.998844
1180,73,0.998851
1190,74,0.998859
1200,84,0.998867
1210,83,0.998876
1220,74,0.998883
1230,80,0.998891
1240,82,0.998899
1250,89,0.998908
1260,94,0.998918
1270,95,0.998927
1280,125,0.998940
1290,149,0.998954
1300,148,0.998969
1310,167,0.998986
1320,132,0.998999
1330,149,0.999014
1340,144,0.999028
1350,142,0.999043
1360,139,0.999057
1370,138,0.999070
1380,158,0.999086
1390,130,0.999099
