#latency,cnt,cdf
0,76,0.000015
10,3,0.000016
20,7,0.000017
30,8,0.000019
40,1,0.000019
50,8,0.000021
60,21,0.000025
70,20,0.000029
80,14,0.000032
90,14,0.000034
100,19,0.000038
110,35,0.000045
120,22,0.000050
130,22,0.000054
140,18,0.000058
150,36,0.000065
160,23,0.000069
170,28,0.000075
180,48,0.000085
190,22,0.000089
200,24,0.000094
210,34,0.000101
220,38,0.000108
230,31,0.000114
240,27,0.000120
250,31,0.000126
260,48,0.000136
270,33,0.000142
280,42,0.000151
290,36,0.000158
300,27,0.000163
310,50,0.000173
320,38,0.000181
330,33,0.000187
340,44,0.000196
350,45,0.000205
360,42,0.000214
370,46,0.000223
380,63,0.000235
390,54,0.000246
400,58,0.000258
410,45,0.000267
420,40,0.000275
430,50,0.000285
440,53,0.000295
450,56,0.000307
460,69,0.000320
470,75,0.000335
480,73,0.000350
490,64,0.000363
500,61,0.000375
510,60,0.000387
520,84,0.000404
530,67,0.000417
540,81,0.000433
550,95,0.000452
560,92,0.000471
570,92,0.000489
580,87,0.000507
590,109,0.000528
600,99,0.000548
610,105,0.000569
620,102,0.000590
630,129,0.000615
640,99,0.000635
650,109,0.000657
660,100,0.000677
670,102,0.000697
680,103,0.000718
690,110,0.000740
700,126,0.000765
710,132,0.000791
720,147,0.000821
730,125,0.000846
740,130,0.000872
750,137,0.000899
760,142,0.000928
770,137,0.000955
780,153,0.000986
790,152,0.001016
800,130,0.001042
810,177,0.001077
820,134,0.001104
830,189,0.001142
840,152,0.001172
850,167,0.001206
860,161,0.001238
870,185,0.001275
880,184,0.001312
890,198,0.001351
900,188,0.001389
910,185,0.001426
920,195,0.001465
930,190,0.001503
940,202,0.001543
950,227,0.001589
960,230,0.001635
970,209,0.001677
980,233,0.001723
990,238,0.001771
1000,239,0.001819
1010,228,0.001864
1020,240,0.001912
1030,236,0.001959
1040,242,0.002008
1050,253,0.002058
1060,221,0.002102
1070,256,0.002154
1080,245,0.002203
1090,217,0.002246
1100,266,0.002299
1110,286,0.002356
1120,271,0.002411
1130,277,0.002466
1140,280,0.002522
1150,294,0.002581
1160,308,0.002642
1170,299,0.002702
1180,330,0.002768
1190,327,0.002834
1200,315,0.002897
1210,303,0.002957
1220,303,0.003018
1230,309,0.003080
1240,318,0.003143
1250,338,0.003211
1260,319,0.003275
1270,335,0.003341
1280,322,0.003406
1290,323,0.003470
1300,333,0.003537
1310,370,0.003611
1320,380,0.003687
1330,319,0.003751
1340,371,0.003825
1350,371,0.003899
1360,366,0.003972
1370,358,0.004044
1380,367,0.004117
1390,360,0.004189
1400,398,0.004269
1410,394,0.004348
1420,413,0.004430
1430,380,0.004506
1440,393,0.004585
1450,415,0.004668
1460,408,0.004749
1470,441,0.004838
1480,414,0.004920
1490,420,0.005004
1500,448,0.005094
