#latency,cnt,cdf
0,1732442,0.182343
10,4980,0.182867
20,952,0.182967
30,32245,0.186361
40,424,0.186406
50,13881,0.187867
60,765107,0.268395
70,65758,0.275317
80,741234,0.353333
90,21311,0.355576
100,239152,0.380747
110,257310,0.407829
120,492790,0.459696
130,344729,0.495980
140,67020,0.503034
150,349229,0.539791
160,76450,0.547837
170,652550,0.616519
180,441323,0.662969
190,690286,0.735623
200,453180,0.783321
210,77516,0.791480
220,227931,0.815470
230,483748,0.866385
240,217543,0.889282
250,159524,0.906072
260,111380,0.917795
270,159900,0.934625
280,56585,0.940581
290,75791,0.948558
300,56422,0.954497
310,118342,0.966952
320,54275,0.972665
330,45231,0.977425
340,29551,0.980536
350,26690,0.983345
360,22724,0.985737
370,17077,0.987534
380,29432,0.990632
390,11489,0.991841
400,8234,0.992708
410,13108,0.994087
420,14602,0.995624
430,7945,0.996460
440,4702,0.996955
450,3100,0.997282
460,2781,0.997574
470,5792,0.998184
480,2183,0.998414
490,1423,0.998563
500,1071,0.998676
510,1133,0.998795
520,706,0.998870
530,721,0.998946
540,474,0.998995
550,330,0.999030
560,301,0.999062
570,313,0.999095
580,404,0.999137
590,280,0.999167
600,266,0.999195
610,156,0.999211
620,177,0.999230
630,151,0.999246
640,142,0.999261
650,169,0.999278
660,84,0.999287
670,100,0.999298
680,81,0.999306
690,94,0.999316
700,80,0.999325
710,49,0.999330
720,68,0.999337
730,71,0.999344
740,57,0.999350
750,62,0.999357
760,65,0.999364
770,65,0.999371
780,57,0.999377
790,56,0.999383
800,67,0.999390
810,60,0.999396
820,44,0.999401
830,34,0.999404
840,48,0.999409
850,43,0.999414
860,46,0.999419
870,36,0.999422
880,37,0.999426
890,30,0.999429
900,36,0.999433
910,44,0.999438
920,30,0.999441
930,39,0.999445
940,32,0.999448
950,32,0.999452
960,35,0.999456
970,24,0.999458
980,28,0.999461
990,24,0.999464
1000,34,0.999467
1010,21,0.999469
1020,29,0.999472
1030,17,0.999474
1040,30,0.999477
1050,22,0.999480
1060,22,0.999482
1070,30,0.999485
1080,28,0.999488
1090,24,0.999491
1100,26,0.999493
1110,25,0.999496
1120,20,0.999498
1130,26,0.999501
1140,24,0.999503
1150,13,0.999505
1160,23,0.999507
1170,19,0.999509
1180,16,0.999511
1190,18,0.999513
1200,15,0.999514
1210,16,0.999516
1220,16,0.999518
1230,21,0.999520
1240,21,0.999522
1250,16,0.999524
1260,24,0.999526
1270,21,0.999528
1280,9,0.999529
1290,17,0.999531
1300,22,0.999534
1310,19,0.999536
1320,21,0.999538
1330,21,0.999540
1340,15,0.999542
1350,15,0.999543
1360,20,0.999545
1370,18,0.999547
1380,16,0.999549
1390,13,0.999550
1400,13,0.999552
1410,20,0.999554
1420,18,0.999556
1430,20,0.999558
1440,14,0.999559
1450,14,0.999561
1460,10,0.999562
1470,11,0.999563
1480,16,0.999564
1490,14,0.999566
1500,15,0.999568
1510,12,0.999569
1520,16,0.999570
1530,11,0.999572
1540,12,0.999573
1550,8,0.999574
1560,14,0.999575
1570,15,0.999577
1580,11,0.999578
1590,5,0.999578
1600,15,0.999580
1610,12,0.999581
1620,13,0.999583
1630,15,0.999584
1640,11,0.999585
1650,12,0.999587
1660,10,0.999588
1670,6,0.999588
1680,15,0.999590
1690,15,0.999592
1700,15,0.999593
1710,7,0.999594
1720,14,0.999595
1730,12,0.999597
1740,13,0.999598
1750,9,0.999599
1760,16,0.999601
1770,13,0.999602
1780,17,0.999604
1790,12,0.999605
1800,10,0.999606
1810,17,0.999608
1820,16,0.999610
1830,17,0.999611
1840,20,0.999613
1850,18,0.999615
1860,37,0.999619
1870,52,0.999625
1880,82,0.999633
1890,48,0.999638
1900,24,0.999641
1910,27,0.999644
1920,31,0.999647
1930,31,0.999650
1940,24,0.999653
1950,35,0.999656
1960,38,0.999660
1970,52,0.999666
1980,65,0.999673
1990,58,0.999679
2000,43,0.999683
2010,43,0.999688
2020,37,0.999692
2030,38,0.999696
2040,24,0.999698
2050,31,0.999702
2060,25,0.999704
2070,9,0.999705
2080,20,0.999707
2090,20,0.999709
2100,11,0.999711
2110,22,0.999713
2120,15,0.999714
2130,19,0.999716
2140,17,0.999718
2150,20,0.999720
2160,18,0.999722
2170,15,0.999724
2180,13,0.999725
2190,20,0.999727
2200,13,0.999729
2210,10,0.999730
2220,12,0.999731
2230,10,0.999732
2240,17,0.999734
2250,13,0.999735
2260,28,0.999738
2270,31,0.999741
2280,27,0.999744
2290,17,0.999746
2300,18,0.999748
2310,18,0.999750
2320,13,0.999751
2330,14,0.999753
2340,15,0.999754
2350,17,0.999756
2360,14,0.999758
2370,17,0.999759
2380,12,0.999761
2390,31,0.999764
2400,31,0.999767
2410,32,0.999770
2420,20,0.999773
2430,15,0.999774
2440,17,0.999776
2450,17,0.999778
2460,19,0.999780
2470,18,0.999782
2480,16,0.999783
2490,21,0.999785
2500,24,0.999788
2510,20,0.999790
2520,17,0.999792
2530,20,0.999794
2540,18,0.999796
2550,12,0.999797
2560,9,0.999798
2570,12,0.999799
2580,23,0.999802
2590,15,0.999803
2600,10,0.999804
2610,11,0.999806
2620,3,0.999806
2630,13,0.999807
2640,6,0.999808
2650,10,0.999809
2660,11,0.999810
2670,6,0.999811
2680,7,0.999811
