#latency,cnt,cdf
0,8,0.000001
10,1,0.000001
20,4213,0.000422
30,211830,0.021605
40,2472,0.021852
50,48112,0.026664
60,1369060,0.163570
70,100634,0.173633
80,1351015,0.308735
90,38319,0.312566
100,444205,0.356987
110,697762,0.426763
120,673300,0.494093
130,213002,0.515393
140,38054,0.519199
150,215617,0.540760
160,52126,0.545973
170,776152,0.623588
180,516996,0.675288
190,812997,0.756588
200,421563,0.798744
210,86673,0.807411
220,353233,0.842734
230,113108,0.854045
240,154456,0.869491
250,278742,0.897365
260,152373,0.912602
270,247797,0.937382
280,72076,0.944590
290,79867,0.952576
300,68483,0.959425
310,176715,0.977096
320,68603,0.983956
330,41439,0.988100
340,23338,0.990434
350,22664,0.992701
360,11505,0.993851
370,7980,0.994649
380,18585,0.996508
390,8083,0.997316
400,4935,0.997809
410,3861,0.998195
420,3611,0.998556
430,2196,0.998776
440,1998,0.998976
450,1779,0.999154
460,1231,0.999277
470,990,0.999376
480,696,0.999445
490,472,0.999493
500,346,0.999527
510,372,0.999565
520,377,0.999602
530,282,0.999630
540,182,0.999649
550,96,0.999658
560,43,0.999663
570,72,0.999670
580,80,0.999678
590,57,0.999683
600,45,0.999688
610,34,0.999691
620,18,0.999693
630,20,0.999695
640,20,0.999697
650,20,0.999699
660,14,0.999700
670,10,0.999701
680,9,0.999702
690,10,0.999703
700,8,0.999704
710,15,0.999706
720,6,0.999706
730,8,0.999707
740,5,0.999708
750,5,0.999708
760,6,0.999709
770,2,0.999709
780,2,0.999709
790,3,0.999709
800,27,0.999712
810,93,0.999721
820,22,0.999724
830,15,0.999725
840,2,0.999725
850,3,0.999726
860,2,0.999726
870,1,0.999726
880,1,0.999726
890,2,0.999726
900,59,0.999732
910,71,0.999739
920,25,0.999742
930,17,0.999743
940,2,0.999744
950,5,0.999744
960,3,0.999744
970,3,0.999745
980,2,0.999745
990,1,0.999745
1000,6,0.999746
1010,9,0.999747
1020,2,0.999747
1030,4,0.999747
1050,4,0.999748
1070,6,0.999748
1080,1,0.999748
1090,4,0.999749
1100,4,0.999749
1110,5,0.999749
1120,1,0.999750
1130,1,0.999750
1140,2,0.999750
1150,3,0.999750
1160,4,0.999751
1170,1,0.999751
1180,3,0.999751
1190,1,0.999751
1200,4,0.999752
1210,1,0.999752
1220,2,0.999752
1250,1,0.999752
1260,1,0.999752
1280,1,0.999752
1290,1,0.999752
1300,1,0.999752
1330,1,0.999752
1340,2,0.999753
1350,1,0.999753
1360,2,0.999753
1370,1,0.999753
1380,1,0.999753
1390,1,0.999753
1400,2,0.999753
1420,1,0.999753
1430,1,0.999754
1450,1,0.999754
1500,1,0.999754
1510,2,0.999754
1530,1,0.999754
1540,2,0.999754
1550,1,0.999754
1580,3,0.999755
1590,1,0.999755
1600,1,0.999755
1620,2,0.999755
1630,2,0.999755
1650,1,0.999755
1690,4,0.999756
1700,2,0.999756
1710,2,0.999756
1720,4,0.999757
1730,2,0.999757
1750,1,0.999757
1760,1,0.999757
1770,3,0.999757
1780,1,0.999757
1790,1,0.999758
1810,1,0.999758
1830,3,0.999758
1840,6,0.999758
1850,12,0.999760
1860,48,0.999765
1870,66,0.999771
1880,75,0.999779
1890,57,0.999784
1900,64,0.999791
1910,46,0.999795
1920,6,0.999796
1930,4,0.999796
1960,1,0.999796
1970,5,0.999797
1980,2,0.999797
1990,5,0.999798
2000,42,0.999802
2010,15,0.999803
2020,3,0.999804
2030,4,0.999804
2050,2,0.999804
2070,2,0.999804
2080,2,0.999805
2110,1,0.999805
2120,5,0.999805
2130,13,0.999807
2140,20,0.999808
2150,25,0.999811
2160,2,0.999811
2170,1,0.999811
2180,13,0.999813
2190,1,0.999813
2200,1,0.999813
2220,2,0.999813
2230,17,0.999815
2240,29,0.999818
2250,26,0.999820
2260,41,0.999824
2270,46,0.999829
2280,33,0.999832
2290,31,0.999835
2300,25,0.999838
2310,32,0.999841
2320,13,0.999842
2330,19,0.999844
2340,7,0.999845
2350,12,0.999846
2360,20,0.999848
2370,18,0.999850
2380,45,0.999854
2390,32,0.999858
2400,45,0.999862
2410,27,0.999865
2420,17,0.999866
2430,8,0.999867
2440,3,0.999868
2460,3,0.999868
2470,1,0.999868
2480,6,0.999869
2490,7,0.999869
2500,3,0.999870
2510,3,0.999870
2520,1,0.999870
2530,2,0.999870
2540,1,0.999870
2550,3,0.999871
2570,1,0.999871
2620,1,0.999871
2670,2,0.999871
2730,1,0.999871
2890,2,0.999871
2930,1,0.999871
2940,1,0.999871
2970,1,0.999872
2980,1,0.999872
2990,1,0.999872
3000,3,0.999872
3010,2,0.999872
3020,1,0.999872
3030,1,0.999873
3040,1,0.999873
3050,1,0.999873
3060,1,0.999873
3070,4,0.999873
3100,2,0.999873
3110,3,0.999874
3120,4,0.999874
3140,1,0.999874
3150,2,0.999874
3160,1,0.999874
3170,1,0.999875
3180,2,0.999875
3190,1,0.999875
3210,1,0.999875
3230,1,0.999875
3240,1,0.999875
3250,2,0.999875
3270,3,0.999876
3280,2,0.999876
3310,1,0.999876
3330,1,0.999876
3360,1,0.999876
3370,1,0.999876
3380,1,0.999876
3390,2,0.999877
3420,3,0.999877
3500,1,0.999877
3510,1,0.999877
3550,1,0.999877
3560,2,0.999877
3580,2,0.999878
3600,2,0.999878
3610,1,0.999878
3620,1,0.999878
3990,1,0.999878
4110,1,0.999878
4130,1,0.999878
4160,1,0.999878
4370,1,0.999879
4400,5,0.999879
4410,1,0.999879
4420,16,0.999881
4430,3,0.999881
4440,4,0.999881
4450,4,0.999882
4460,2,0.999882
4470,7,0.999883
4480,4,0.999883
4490,2,0.999883
4500,6,0.999884
4510,4,0.999884
4520,1,0.999884
4530,17,0.999886
4540,12,0.999887
4550,11,0.999888
4560,20,0.999890
4570,20,0.999892
4580,8,0.999893
4590,16,0.999895
4600,18,0.999897
4610,15,0.999898
4620,6,0.999899
4630,7,0.999899
4640,23,0.999902
4650,9,0.999903
4660,41,0.999907
4670,28,0.999910
4680,11,0.999911
4690,15,0.999912
4700,10,0.999913
4710,12,0.999914
4720,27,0.999917
4730,14,0.999918
4740,5,0.999919
4750,17,0.999921
4760,23,0.999923
4770,6,0.999924
4780,28,0.999926
4790,26,0.999929
4800,27,0.999932
4810,36,0.999935
4820,43,0.999940
4830,33,0.999943
4840,46,0.999947
4850,52,0.999953
4860,60,0.999959
4870,52,0.999964
4880,74,0.999971
4890,88,0.999980
4900,18,0.999982
4910,35,0.999985
4920,22,0.999987
4930,19,0.999989
4940,7,0.999990
4950,13,0.999991
4960,16,0.999993
4970,4,0.999993
4980,5,0.999994
4990,11,0.999995
5000,6,0.999996
5010,1,0.999996
5020,8,0.999996
5030,3,0.999997
5040,3,0.999997
5050,7,0.999998
5060,5,0.999998
5070,1,0.999998
5080,5,0.999999
5090,4,0.999999
5110,2,1.000000
5120,3,1.000000
5130,1,1.000000
5190,1,1.000000
