#latency,cnt,cdf
0,3589619,0.377807
10,7607,0.378607
20,1395,0.378754
30,53386,0.384373
40,668,0.384443
50,11864,0.385692
60,418327,0.429721
70,41235,0.434061
80,398631,0.476017
90,15878,0.477688
100,302418,0.509517
110,135090,0.523735
120,294436,0.554725
130,259571,0.582044
140,80026,0.590467
150,148942,0.606143
160,33633,0.609683
170,625859,0.675555
180,245655,0.701410
190,714490,0.776610
200,216295,0.799375
210,62408,0.805943
220,138001,0.820468
230,531251,0.876382
240,160195,0.893242
250,93341,0.903066
260,74882,0.910948
270,104991,0.921998
280,50290,0.927291
290,76107,0.935301
300,49183,0.940478
310,86997,0.949634
320,48792,0.954769
330,56387,0.960704
340,41130,0.965033
350,31018,0.968298
360,37596,0.972255
370,28247,0.975228
380,51441,0.980642
390,20724,0.982823
400,16273,0.984536
410,27897,0.987472
420,32038,0.990844
430,17252,0.992660
440,12911,0.994019
450,8640,0.994928
460,6568,0.995619
470,12291,0.996913
480,5004,0.997440
490,3105,0.997766
500,2321,0.998011
510,3139,0.998341
520,1139,0.998461
530,1000,0.998566
540,844,0.998655
550,787,0.998738
560,779,0.998820
570,614,0.998884
580,932,0.998982
590,881,0.999075
600,773,0.999157
610,358,0.999194
620,384,0.999235
630,455,0.999283
640,408,0.999325
650,539,0.999382
660,101,0.999393
670,114,0.999405
680,81,0.999413
690,176,0.999432
700,88,0.999441
710,66,0.999448
720,48,0.999453
730,54,0.999459
740,73,0.999466
750,44,0.999471
760,43,0.999476
770,47,0.999481
780,45,0.999485
790,51,0.999491
800,59,0.999497
810,45,0.999502
820,32,0.999505
830,29,0.999508
840,34,0.999512
850,27,0.999514
860,32,0.999518
870,38,0.999522
880,34,0.999525
890,32,0.999529
900,30,0.999532
910,48,0.999537
920,33,0.999541
930,20,0.999543
940,24,0.999545
950,18,0.999547
960,27,0.999550
970,21,0.999552
980,20,0.999554
990,26,0.999557
1000,14,0.999558
1010,25,0.999561
1020,16,0.999563
1030,10,0.999564
1040,23,0.999566
1050,15,0.999568
1060,24,0.999570
1070,13,0.999572
1080,21,0.999574
1090,20,0.999576
1100,22,0.999578
1110,17,0.999580
1120,13,0.999581
1130,19,0.999583
1140,24,0.999586
1150,21,0.999588
1160,15,0.999590
1170,12,0.999591
1180,13,0.999592
1190,20,0.999594
1200,19,0.999596
1210,5,0.999597
1220,14,0.999598
1230,15,0.999600
