#latency,cnt,cdf
0,1821448,0.182145
10,2220,0.182367
20,796,0.182446
30,31780,0.185624
40,281,0.185652
50,15174,0.187170
60,980021,0.285172
70,115061,0.296678
80,979421,0.394620
90,24447,0.397065
100,297996,0.426865
110,272141,0.454079
120,717980,0.525877
130,310771,0.556954
140,92107,0.566164
150,205280,0.586692
160,41935,0.590886
170,671702,0.658056
180,356963,0.693752
190,713780,0.765130
200,272763,0.792407
210,76593,0.800066
220,144751,0.814541
230,582010,0.872742
240,174264,0.890168
250,100829,0.900251
260,110396,0.911291
270,127372,0.924028
280,69531,0.930981
290,87222,0.939704
300,67435,0.946447
310,103953,0.956842
320,62837,0.963126
330,58386,0.968965
340,47012,0.973666
350,38997,0.977566
360,28497,0.980415
370,23372,0.982752
380,29399,0.985692
390,22529,0.987945
400,15202,0.989465
410,13084,0.990774
420,14702,0.992244
430,7991,0.993043
440,8091,0.993852
450,6118,0.994464
460,6314,0.995095
470,5350,0.995630
480,4240,0.996054
490,3445,0.996399
500,3325,0.996731
510,3465,0.997078
520,2599,0.997338
530,2889,0.997627
540,1734,0.997800
550,1478,0.997948
560,977,0.998046
570,1005,0.998146
580,1148,0.998261
590,811,0.998342
600,1091,0.998451
610,471,0.998498
620,399,0.998538
630,422,0.998580
640,447,0.998625
650,651,0.998690
660,246,0.998715
670,237,0.998738
680,208,0.998759
690,324,0.998792
700,239,0.998815
710,207,0.998836
720,200,0.998856
730,157,0.998872
740,170,0.998889
750,158,0.998905
760,138,0.998918
770,157,0.998934
780,136,0.998948
790,111,0.998959
800,130,0.998972
810,135,0.998985
820,119,0.998997
830,114,0.999009
840,102,0.999019
850,107,0.999030
860,93,0.999039
870,105,0.999049
880,90,0.999058
890,74,0.999066
900,83,0.999074
910,79,0.999082
920,70,0.999089
930,63,0.999095
940,64,0.999102
950,64,0.999108
960,62,0.999114
970,50,0.999119
980,50,0.999124
990,83,0.999133
1000,55,0.999138
1010,48,0.999143
1020,73,0.999150
1030,90,0.999159
1040,73,0.999166
1050,74,0.999174
1060,82,0.999182
1070,87,0.999191
1080,90,0.999200
1090,77,0.999207
1100,82,0.999216
1110,52,0.999221
1120,79,0.999229
1130,58,0.999235
1140,59,0.999241
1150,69,0.999247
1160,63,0.999254
1170,53,0.999259
1180,54,0.999264
1190,40,0.999268
1200,38,0.999272
1210,47,0.999277
1220,46,0.999282
1230,38,0.999285
1240,36,0.999289
1250,26,0.999291
1260,41,0.999296
1270,34,0.999299
1280,37,0.999303
1290,27,0.999305
1300,39,0.999309
1310,29,0.999312
1320,36,0.999316
1330,24,0.999318
1340,31,0.999321
1350,25,0.999324
1360,25,0.999326
1370,23,0.999329
1380,38,0.999332
1390,36,0.999336
1400,29,0.999339
1410,31,0.999342
1420,24,0.999344
1430,23,0.999347
1440,26,0.999349
1450,28,0.999352
1460,23,0.999354
1470,26,0.999357
1480,25,0.999359
1490,29,0.999362
1500,22,0.999365
1510,24,0.999367
1520,24,0.999369
1530,28,0.999372
1540,16,0.999374
1550,29,0.999377
1560,18,0.999379
1570,31,0.999382
1580,24,0.999384
1590,25,0.999386
1600,21,0.999389
1610,21,0.999391
1620,16,0.999392
1630,20,0.999394
1640,29,0.999397
1650,27,0.999400
1660,28,0.999403
1670,13,0.999404
1680,22,0.999406
1690,23,0.999408
1700,18,0.999410
1710,21,0.999412
1720,13,0.999414
1730,27,0.999416
1740,19,0.999418
1750,18,0.999420
1760,23,0.999422
1770,27,0.999425
1780,22,0.999427
1790,51,0.999432
1800,92,0.999442
1810,147,0.999456
1820,101,0.999466
1830,81,0.999475
1840,116,0.999486
1850,52,0.999491
1860,35,0.999495
1870,29,0.999498
1880,38,0.999502
1890,34,0.999505
1900,43,0.999509
1910,23,0.999511
1920,35,0.999515
1930,54,0.999520
1940,91,0.999529
1950,68,0.999536
1960,55,0.999542
1970,38,0.999546
1980,29,0.999548
1990,29,0.999551
2000,33,0.999555
2010,20,0.999557
2020,29,0.999560
2030,36,0.999563
2040,21,0.999565
2050,21,0.999567
2060,23,0.999570
2070,30,0.999573
2080,27,0.999575
2090,20,0.999577
2100,14,0.999579
2110,22,0.999581
2120,29,0.999584
2130,12,0.999585
2140,16,0.999587
2150,22,0.999589
2160,25,0.999591
2170,25,0.999594
2180,22,0.999596
2190,17,0.999598
2200,23,0.999600
2210,22,0.999602
2220,27,0.999605
2230,25,0.999608
2240,29,0.999610
2250,36,0.999614
2260,26,0.999617
2270,17,0.999618
2280,15,0.999620
2290,24,0.999622
2300,32,0.999625
2310,25,0.999628
2320,26,0.999631
2330,25,0.999633
2340,32,0.999636
2350,30,0.999639
2360,25,0.999642
2370,11,0.999643
2380,27,0.999645
2390,14,0.999647
2400,19,0.999649
2410,16,0.999650
2420,25,0.999653
2430,27,0.999656
2440,26,0.999658
2450,30,0.999661
2460,25,0.999664
2470,17,0.999665
2480,17,0.999667
2490,23,0.999669
2500,14,0.999671
2510,11,0.999672
2520,14,0.999673
2530,14,0.999675
2540,21,0.999677
2550,15,0.999678
2560,12,0.999680
2570,23,0.999682
2580,11,0.999683
2590,20,0.999685
2600,20,0.999687
2610,12,0.999688
2620,18,0.999690
2630,17,0.999692
2640,15,0.999693
2650,13,0.999694
2660,20,0.999696
2670,19,0.999698
2680,15,0.999700
2690,20,0.999702
2700,16,0.999703
2710,11,0.999704
2720,13,0.999706
2730,20,0.999708
2740,15,0.999709
2750,12,0.999711
2760,17,0.999712
2770,16,0.999714
2780,13,0.999715
2790,23,0.999717
2800,18,0.999719
2810,8,0.999720
2820,16,0.999722
2830,18,0.999723
2840,9,0.999724
2850,22,0.999726
2860,10,0.999727
2870,19,0.999729
2880,12,0.999731
2890,18,0.999732
2900,10,0.999733
2910,15,0.999735
2920,7,0.999736
2930,15,0.999737
2940,14,0.999739
2950,12,0.999740
2960,10,0.999741
2970,17,0.999742
2980,8,0.999743
2990,14,0.999745
3000,6,0.999745
3010,11,0.999746
3020,9,0.999747
3030,10,0.999748
3040,13,0.999749
3050,12,0.999751
3060,13,0.999752
3070,13,0.999753
3080,12,0.999754
3090,14,0.999756
3100,12,0.999757
3110,13,0.999758
3120,12,0.999760
3130,12,0.999761
3140,16,0.999762
3150,7,0.999763
3160,11,0.999764
3170,13,0.999766
3180,17,0.999767
3190,12,0.999768
3200,10,0.999769
3210,13,0.999771
3220,10,0.999772
3230,16,0.999773
3240,12,0.999775
3250,6,0.999775
3260,13,0.999776
3270,14,0.999778
3280,19,0.999780
3290,12,0.999781
3300,14,0.999782
3310,16,0.999784
3320,13,0.999785
3330,11,0.999786
3340,12,0.999788
3350,8,0.999788
3360,13,0.999790
3370,11,0.999791
3380,8,0.999792
3390,12,0.999793
3400,10,0.999794
3410,19,0.999796
3420,16,0.999797
3430,14,0.999799
3440,8,0.999799
3450,9,0.999800
3460,4,0.999801
3470,12,0.999802
3480,11,0.999803
3490,11,0.999804
3500,17,0.999806
3510,10,0.999807
3520,12,0.999808
3530,8,0.999809
3540,12,0.999810
3550,15,0.999811
3560,4,0.999812
3570,19,0.999814
3580,12,0.999815
3590,9,0.999816
3600,15,0.999817
3610,11,0.999819
3620,14,0.999820
3630,14,0.999821
3640,15,0.999823
3650,7,0.999824
3660,4,0.999824
3670,6,0.999825
3680,8,0.999825
3690,5,0.999826
3700,6,0.999826
3710,4,0.999827
3720,8,0.999828
3730,10,0.999829
3740,6,0.999829
3750,8,0.999830
3760,10,0.999831
3770,3,0.999831
3780,4,0.999832
3790,6,0.999832
3800,7,0.999833
3810,5,0.999834
3820,3,0.999834
3830,7,0.999834
3840,4,0.999835
3850,3,0.999835
3860,5,0.999836
3870,4,0.999836
3880,5,0.999837
3890,5,0.999837
3900,7,0.999838
3910,5,0.999838
3920,2,0.999838
3930,1,0.999839
3940,5,0.999839
3950,3,0.999839
3960,8,0.999840
3970,5,0.999841
3980,6,0.999841
3990,6,0.999842
4000,6,0.999843
4020,5,0.999843
4030,5,0.999843
4040,5,0.999844
4050,2,0.999844
4060,3,0.999844
4070,2,0.999845
4080,3,0.999845
4090,3,0.999845
4100,5,0.999846
4110,4,0.999846
4120,3,0.999847
4130,3,0.999847
4140,3,0.999847
4150,3,0.999847
4160,3,0.999848
4170,4,0.999848
4180,3,0.999848
4190,2,0.999849
4200,1,0.999849
4210,1,0.999849
4220,4,0.999849
4230,1,0.999849
4240,2,0.999849
4260,2,0.999850
4270,3,0.999850
4280,5,0.999851
4290,1,0.999851
4300,1,0.999851
4310,2,0.999851
4320,9,0.999852
4330,1,0.999852
4340,2,0.999852
4350,1,0.999852
4360,1,0.999852
4370,2,0.999852
