#latency,cnt,cdf
60,2,0.000000
70,4,0.000001
80,3,0.000001
100,1,0.000001
110,5,0.000002
120,3,0.000002
130,2,0.000002
150,2,0.000002
170,2,0.000003
180,1,0.000003
190,2,0.000003
200,1,0.000003
220,3,0.000003
230,2,0.000003
240,3,0.000004
270,1,0.000004
280,1,0.000004
300,2,0.000004
320,1,0.000004
330,2,0.000005
340,1,0.000005
360,1,0.000005
370,1,0.000005
380,2,0.000005
390,1,0.000005
410,2,0.000005
420,1,0.000005
430,1,0.000006
440,1,0.000006
450,2,0.000006
460,6,0.000007
470,2,0.000007
480,2,0.000007
490,6,0.000008
500,5,0.000008
510,4,0.000009
520,3,0.000009
530,6,0.000009
540,5,0.000010
550,3,0.000010
560,2,0.000011
570,1,0.000011
580,1,0.000011
600,2,0.000011
610,1,0.000011
620,4,0.000011
630,1,0.000012
640,1,0.000012
650,2,0.000012
660,1,0.000012
680,2,0.000012
700,2,0.000012
720,5,0.000013
730,1,0.000013
740,3,0.000013
750,3,0.000014
770,2,0.000014
780,1,0.000014
790,1,0.000014
810,4,0.000015
820,3,0.000015
840,1,0.000015
850,3,0.000015
860,2,0.000015
880,1,0.000016
890,4,0.000016
900,1,0.000016
910,1,0.000016
950,1,0.000016
990,1,0.000016
1010,2,0.000017
1030,4,0.000017
1040,2,0.000017
1060,4,0.000018
1070,2,0.000018
1080,1,0.000018
1090,2,0.000018
1100,2,0.000018
1110,3,0.000019
1120,2,0.000019
1130,1,0.000019
1150,6,0.000020
1160,2,0.000020
1170,1,0.000020
1190,1,0.000020
1200,6,0.000021
1210,3,0.000021
1220,5,0.000022
1230,1,0.000022
1240,2,0.000022
1250,2,0.000022
1260,5,0.000023
1270,5,0.000023
1280,1,0.000023
1290,5,0.000024
1300,4,0.000024
1330,2,0.000024
1350,2,0.000025
1360,1,0.000025
1370,5,0.000025
1380,3,0.000026
1390,2,0.000026
1400,2,0.000026
1410,3,0.000026
1420,2,0.000027
1430,3,0.000027
1440,3,0.000027
1450,3,0.000027
1460,1,0.000028
1470,1,0.000028
1480,1,0.000028
1490,2,0.000028
