#latency,cnt,cdf
50,19,0.000002
60,4,0.000002
70,30,0.000005
80,13,0.000007
90,21,0.000009
100,17,0.000010
110,50,0.000015
120,16,0.000017
130,31,0.000020
140,26,0.000023
150,22,0.000025
160,20,0.000027
170,27,0.000030
180,52,0.000035
190,29,0.000038
200,31,0.000041
210,27,0.000044
220,40,0.000048
230,22,0.000050
240,26,0.000052
250,28,0.000055
260,34,0.000059
270,43,0.000063
280,34,0.000066
290,27,0.000069
300,28,0.000072
310,30,0.000075
320,35,0.000078
330,44,0.000083
340,33,0.000086
350,38,0.000090
360,32,0.000093
370,32,0.000096
380,35,0.000100
390,39,0.000104
400,46,0.000108
410,35,0.000112
420,46,0.000116
430,28,0.000119
440,37,0.000123
450,38,0.000127
460,45,0.000131
470,40,0.000135
480,49,0.000140
490,44,0.000144
500,40,0.000148
510,31,0.000151
520,46,0.000156
530,44,0.000160
540,43,0.000165
550,53,0.000170
560,47,0.000175
570,51,0.000180
580,45,0.000184
590,63,0.000191
600,56,0.000196
610,65,0.000203
620,58,0.000209
630,49,0.000213
640,67,0.000220
650,49,0.000225
660,78,0.000233
670,70,0.000240
680,64,0.000246
690,56,0.000252
700,90,0.000261
710,71,0.000268
720,74,0.000275
730,71,0.000282
740,81,0.000291
750,92,0.000300
760,65,0.000306
770,75,0.000314
780,98,0.000324
790,94,0.000333
800,114,0.000344
810,90,0.000353
820,93,0.000363
830,123,0.000375
840,108,0.000386
850,101,0.000396
860,104,0.000406
870,123,0.000419
880,117,0.000430
890,116,0.000442
900,115,0.000453
910,162,0.000470
920,117,0.000481
930,154,0.000497
940,122,0.000509
950,147,0.000524
960,133,0.000537
970,172,0.000554
980,169,0.000571
990,164,0.000587
1000,161,0.000603
1010,183,0.000622
1020,197,0.000641
1030,178,0.000659
1040,187,0.000678
1050,200,0.000698
1060,180,0.000716
1070,188,0.000735
1080,207,0.000755
1090,198,0.000775
1100,221,0.000797
1110,218,0.000819
1120,216,0.000841
1130,209,0.000862
1140,227,0.000884
1150,243,0.000909
1160,214,0.000930
1170,241,0.000954
1180,236,0.000978
1190,238,0.001002
1200,290,0.001031
1210,267,0.001057
1220,271,0.001084
1230,264,0.001111
1240,276,0.001138
1250,287,0.001167
1260,319,0.001199
1270,303,0.001229
1280,294,0.001259
1290,307,0.001289
1300,320,0.001321
1310,361,0.001357
1320,323,0.001390
1330,370,0.001427
1340,365,0.001463
1350,322,0.001495
1360,365,0.001532
1370,355,0.001567
1380,384,0.001606
1390,388,0.001645
1400,370,0.001682
1410,388,0.001720
1420,337,0.001754
1430,400,0.001794
1440,395,0.001834
1450,402,0.001874
1460,396,0.001913
1470,421,0.001956
1480,418,0.001997
1490,416,0.002039
1500,449,0.002084
1510,412,0.002125
1520,438,0.002169
1530,417,0.002211
1540,468,0.002257
1550,483,0.002306
1560,497,0.002355
1570,477,0.002403
1580,448,0.002448
1590,508,0.002499
1600,528,0.002551
1610,531,0.002605
1620,561,0.002661
1630,573,0.002718
1640,564,0.002774
1650,586,0.002833
1660,580,0.002891
1670,589,0.002950
1680,598,0.003010
1690,615,0.003071
1700,600,0.003131
1710,616,0.003193
1720,631,0.003256
1730,635,0.003319
1740,656,0.003385
1750,694,0.003454
1760,696,0.003524
1770,672,0.003591
1780,700,0.003661
1790,701,0.003731
1800,741,0.003805
1810,726,0.003878
1820,781,0.003956
1830,722,0.004028
1840,777,0.004106
1850,811,0.004187
1860,799,0.004267
1870,836,0.004351
1880,880,0.004439
1890,835,0.004522
1900,851,0.004607
1910,935,0.004701
1920,846,0.004785
1930,972,0.004882
1940,957,0.004978
1950,1003,0.005078
1960,1003,0.005179
1970,1045,0.005283
1980,1041,0.005387
1990,1082,0.005496
2000,1092,0.005605
2010,1102,0.005715
2020,1125,0.005827
2030,1187,0.005946
2040,1217,0.006068
2050,1251,0.006193
2060,1249,0.006318
2070,1319,0.006450
2080,1370,0.006587
2090,1371,0.006724
2100,1435,0.006867
2110,1519,0.007019
2120,1483,0.007168
2130,1592,0.007327
2140,1542,0.007481
2150,1621,0.007643
2160,1564,0.007799
2170,1709,0.007970
2180,1737,0.008144
2190,1731,0.008317
2200,1787,0.008496
2210,1839,0.008680
2220,1957,0.008875
2230,1862,0.009062
2240,2029,0.009265
2250,1978,0.009462
2260,2080,0.009670
2270,2120,0.009882
2280,2151,0.010097
2290,2259,0.010323
2300,2310,0.010554
2310,2326,0.010787
2320,2452,0.011032
2330,2464,0.011279
2340,2517,0.011530
2350,2588,0.011789
2360,2657,0.012055
2370,2846,0.012339
2380,2831,0.012622
2390,2773,0.012900
2400,2992,0.013199
2410,3046,0.013504
2420,3085,0.013812
2430,3075,0.014120
2440,3156,0.014435
2450,3328,0.014768
2460,3491,0.015117
2470,3399,0.015457
2480,3661,0.015823
2490,3696,0.016193
2500,3707,0.016563
2510,3969,0.016960
2520,3991,0.017359
2530,4115,0.017771
2540,4257,0.018197
2550,4351,0.018632
2560,4345,0.019066
2570,4625,0.019529
2580,4582,0.019987
2590,4689,0.020456
2600,4814,0.020937
2610,4994,0.021437
2620,5174,0.021954
2630,5252,0.022479
2640,5431,0.023022
2650,5485,0.023571
2660,5644,0.024135
2670,5783,0.024713
2680,5824,0.025296
2690,6128,0.025909
2700,6175,0.026526
2710,6290,0.027155
2720,6333,0.027788
2730,6553,0.028444
2740,6840,0.029128
2750,6974,0.029825
2760,7205,0.030546
2770,7359,0.031282
2780,7688,0.032050
2790,7695,0.032820
2800,8002,0.033620
2810,8032,0.034423
2820,8224,0.035246
2830,8611,0.036107
2840,8545,0.036961
2850,8664,0.037828
2860,8980,0.038726
2870,9233,0.039649
2880,9499,0.040599
2890,9696,0.041568
2900,9715,0.042540
2910,10017,0.043542
2920,10329,0.044575
2930,10550,0.045630
2940,10589,0.046688
2950,10904,0.047779
2960,11182,0.048897
2970,11238,0.050021
2980,11693,0.051190
2990,11825,0.052373
3000,12038,0.053576
3010,12244,0.054801
3020,12575,0.056058
3030,12858,0.057344
3040,13311,0.058675
3050,13573,0.060033
3060,13646,0.061397
3070,14119,0.062809
3080,14502,0.064259
3090,14571,0.065716
3100,14722,0.067189
3110,14968,0.068685
3120,15605,0.070246
3130,15831,0.071829
3140,16130,0.073442
3150,16213,0.075063
3160,16652,0.076728
3170,17016,0.078430
3180,17507,0.080181
3190,17456,0.081926
3200,17762,0.083703
3210,18020,0.085505
3220,18491,0.087354
3230,18885,0.089242
3240,19161,0.091158
3250,19463,0.093105
3260,19741,0.095079
3270,19880,0.097067
3280,20486,0.099115
3290,20443,0.101160
3300,20971,0.103257
3310,21441,0.105401
3320,21593,0.107560
3330,22142,0.109774
3340,22259,0.112000
3350,22447,0.114245
3360,22850,0.116530
3370,23154,0.118845
3380,23467,0.121192
3390,23683,0.123560
3400,24245,0.125985
3410,24347,0.128420
3420,24936,0.130913
3430,24799,0.133393
3440,25210,0.135914
3450,25220,0.138436
3460,25854,0.141021
3470,25890,0.143610
3480,26337,0.146244
3490,26528,0.148897
3500,27195,0.151616
3510,27597,0.154376
3520,27704,0.157147
3530,27981,0.159945
3540,27821,0.162727
3550,28239,0.165551
3560,28965,0.168447
3570,29184,0.171366
3580,29626,0.174328
3590,29866,0.177315
3600,30164,0.180331
3610,30357,0.183367
3620,30629,0.186430
3630,31003,0.189530
3640,31047,0.192635
3650,31164,0.195751
3660,31456,0.198897
3670,31893,0.202086
3680,32378,0.205324
3690,32358,0.208560
3700,32738,0.211834
3710,33140,0.215148
3720,33136,0.218461
3730,33347,0.221796
3740,33537,0.225150
3750,33726,0.228522
3760,33856,0.231908
3770,34072,0.235315
3780,34200,0.238735
3790,34812,0.242216
3800,34567,0.245673
3810,35474,0.249220
3820,35285,0.252749
3830,35371,0.256286
3840,35991,0.259885
3850,35875,0.263473
3860,35894,0.267062
3870,35956,0.270658
3880,36287,0.274286
3890,36397,0.277926
3900,36733,0.281599
3910,36783,0.285278
3920,36948,0.288972
3930,37198,0.292692
3940,37097,0.296402
3950,37217,0.300124
3960,37488,0.303872
3970,37903,0.307663
