#latency,cnt,cdf
50,1,0.000000
60,3,0.000001
80,2,0.000001
90,1,0.000001
100,1,0.000002
110,3,0.000002
120,1,0.000002
150,2,0.000003
180,1,0.000003
190,4,0.000004
200,1,0.000004
210,1,0.000004
220,1,0.000004
240,2,0.000005
250,3,0.000005
260,2,0.000006
270,2,0.000006
280,3,0.000007
290,4,0.000008
300,5,0.000009
310,3,0.000009
320,5,0.000010
330,4,0.000011
340,4,0.000012
350,3,0.000012
360,1,0.000013
370,1,0.000013
380,3,0.000013
400,1,0.000014
420,2,0.000014
430,4,0.000015
440,2,0.000015
450,3,0.000016
480,4,0.000017
490,2,0.000017
500,1,0.000017
530,5,0.000018
540,3,0.000019
550,1,0.000019
560,3,0.000020
570,3,0.000020
580,4,0.000021
590,2,0.000021
600,2,0.000022
620,5,0.000023
630,2,0.000023
640,2,0.000024
650,2,0.000024
660,2,0.000024
670,2,0.000025
690,2,0.000025
700,3,0.000026
710,1,0.000026
720,1,0.000026
730,1,0.000026
740,3,0.000027
760,1,0.000027
770,1,0.000027
780,1,0.000028
790,3,0.000028
800,4,0.000029
810,2,0.000029
820,2,0.000030
830,6,0.000031
840,3,0.000032
850,2,0.000032
860,8,0.000034
870,6,0.000035
890,5,0.000036
900,4,0.000037
910,5,0.000038
920,4,0.000038
930,5,0.000039
940,7,0.000041
950,5,0.000042
960,6,0.000043
970,3,0.000044
980,3,0.000044
990,2,0.000045
1000,3,0.000045
1010,5,0.000046
1020,1,0.000046
1030,4,0.000047
1040,3,0.000048
1050,3,0.000048
1060,4,0.000049
1070,2,0.000050
1080,4,0.000050
1090,4,0.000051
1100,4,0.000052
1110,3,0.000053
1120,4,0.000053
1130,5,0.000054
1140,5,0.000055
1150,10,0.000057
1160,6,0.000059
1170,7,0.000060
1180,3,0.000061
1190,6,0.000062
1200,6,0.000063
1210,10,0.000065
1220,5,0.000066
1230,10,0.000068
1240,5,0.000069
1250,2,0.000069
1260,3,0.000070
1270,4,0.000071
1280,3,0.000071
1290,4,0.000072
1300,4,0.000073
1310,3,0.000074
1320,3,0.000074
1330,4,0.000075
1340,5,0.000076
1350,2,0.000076
1360,1,0.000077
1370,3,0.000077
1380,3,0.000078
1390,7,0.000079
1400,1,0.000079
1410,4,0.000080
1420,5,0.000081
1430,3,0.000082
1440,5,0.000083
1450,3,0.000083
1460,5,0.000084
1470,5,0.000085
1480,7,0.000087
1490,3,0.000087
1500,4,0.000088
1510,2,0.000089
1520,4,0.000089
1530,3,0.000090
1540,6,0.000091
1550,5,0.000092
1560,5,0.000093
1570,2,0.000094
1580,5,0.000095
1590,5,0.000096
1600,9,0.000097
1610,5,0.000098
1620,4,0.000099
1630,6,0.000100
1640,2,0.000101
1650,6,0.000102
1660,7,0.000103
1670,5,0.000104
1680,5,0.000105
1690,5,0.000106
1700,7,0.000108
1710,7,0.000109
1720,7,0.000111
1730,6,0.000112
1740,6,0.000113
1750,6,0.000114
1760,6,0.000115
1770,5,0.000116
1780,3,0.000117
1790,6,0.000118
1800,9,0.000120
1810,7,0.000121
1820,5,0.000122
1830,9,0.000124
1840,7,0.000126
1850,12,0.000128
1860,6,0.000129
1870,12,0.000132
1880,6,0.000133
1890,17,0.000136
1900,15,0.000139
1910,11,0.000141
1920,13,0.000144
1930,9,0.000146
1940,16,0.000149
1950,9,0.000151
1960,10,0.000153
1970,17,0.000156
1980,7,0.000158
1990,9,0.000159
2000,14,0.000162
2010,16,0.000165
2020,15,0.000168
2030,9,0.000170
2040,17,0.000174
2050,14,0.000176
2060,18,0.000180
2070,14,0.000183
2080,17,0.000186
2090,14,0.000189
2100,26,0.000194
2110,20,0.000198
2120,13,0.000201
2130,20,0.000205
2140,16,0.000208
2150,24,0.000213
2160,8,0.000214
2170,34,0.000221
2180,18,0.000225
2190,22,0.000229
2200,15,0.000232
2210,23,0.000237
2220,22,0.000241
2230,26,0.000246
2240,28,0.000252
2250,24,0.000257
2260,37,0.000264
2270,36,0.000271
2280,28,0.000277
2290,25,0.000282
2300,23,0.000287
2310,35,0.000294
