#latency,cnt,cdf
0,1537,0.000162
10,9,0.000163
20,1,0.000163
30,26,0.000166
50,14116,0.001651
60,1137346,0.121370
70,97048,0.131586
80,1113506,0.248795
90,26226,0.251556
100,117604,0.263935
110,367619,0.302631
120,725527,0.379001
130,395323,0.420614
140,83729,0.429427
150,562423,0.488629
160,131917,0.502515
170,405326,0.545180
180,598027,0.608129
190,399737,0.650206
200,745687,0.728699
210,119434,0.741270
220,378498,0.781112
230,199647,0.802127
240,295350,0.833216
250,291011,0.863848
260,169834,0.881725
270,270629,0.910212
280,90214,0.919708
290,107269,0.931000
300,90330,0.940508
310,192553,0.960776
320,87184,0.969953
330,59295,0.976195
340,38772,0.980276
350,38179,0.984295
360,22511,0.986664
370,18189,0.988579
380,30611,0.991801
390,13612,0.993234
400,8791,0.994159
410,8649,0.995070
420,11337,0.996263
430,5891,0.996883
440,3941,0.997298
450,2858,0.997599
460,2668,0.997880
470,3389,0.998236
480,2200,0.998468
490,1543,0.998630
500,1200,0.998757
510,1013,0.998863
520,817,0.998949
530,912,0.999045
540,468,0.999095
550,314,0.999128
560,227,0.999152
570,251,0.999178
580,293,0.999209
590,191,0.999229
600,219,0.999252
610,133,0.999266
620,131,0.999280
630,114,0.999292
640,119,0.999304
650,114,0.999316
660,76,0.999324
670,80,0.999333
680,79,0.999341
690,107,0.999352
700,77,0.999360
710,78,0.999369
720,91,0.999378
730,69,0.999385
740,64,0.999392
750,55,0.999398
760,76,0.999406
770,72,0.999414
780,82,0.999422
790,66,0.999429
800,53,0.999435
810,74,0.999443
820,56,0.999448
830,55,0.999454
840,54,0.999460
850,49,0.999465
860,52,0.999471
870,39,0.999475
880,56,0.999481
890,37,0.999484
900,45,0.999489
910,37,0.999493
920,31,0.999496
930,46,0.999501
940,37,0.999505
950,34,0.999509
960,22,0.999511
970,37,0.999515
980,26,0.999518
990,25,0.999520
1000,31,0.999523
1010,31,0.999527
1020,30,0.999530
1030,34,0.999533
1040,28,0.999536
1050,28,0.999539
1060,38,0.999543
1070,35,0.999547
1080,28,0.999550
1090,26,0.999553
1100,30,0.999556
1110,30,0.999559
