#latency,cnt,cdf
0,681066,0.136188
10,6502,0.137488
20,450,0.137578
30,12703,0.140118
40,248,0.140168
50,1293,0.140426
60,222304,0.184879
70,42177,0.193313
80,228454,0.238995
90,11536,0.241302
100,156581,0.272612
110,86770,0.289963
120,166550,0.323267
130,123019,0.347866
140,63765,0.360617
150,74337,0.375481
160,11059,0.377693
170,334980,0.444676
180,214914,0.487651
190,427755,0.573186
200,187435,0.610666
210,157788,0.642218
220,104592,0.663133
230,448911,0.752898
240,168225,0.786537
250,64814,0.799497
260,86691,0.816832
270,234703,0.863764
280,100558,0.883872
290,105087,0.904885
300,62637,0.917411
310,75927,0.932593
320,117225,0.956034
330,46641,0.965360
340,69175,0.979193
350,7272,0.980647
360,8651,0.982377
370,8135,0.984003
380,13240,0.986651
390,29637,0.992577
400,6034,0.993784
410,2230,0.994230
420,1771,0.994584
430,3319,0.995247
440,2890,0.995825
450,493,0.995924
460,408,0.996006
470,731,0.996152
480,2124,0.996576
490,392,0.996655
500,352,0.996725
510,410,0.996807
520,231,0.996853
530,324,0.996918
540,105,0.996939
550,92,0.996958
560,95,0.996977
570,134,0.997003
580,327,0.997069
590,133,0.997095
600,146,0.997125
610,149,0.997154
620,113,0.997177
630,126,0.997202
640,153,0.997233
650,92,0.997251
660,128,0.997277
670,121,0.997301
680,110,0.997323
690,118,0.997347
700,107,0.997368
710,117,0.997391
720,106,0.997413
730,85,0.997429
740,86,0.997447
750,77,0.997462
760,79,0.997478
770,82,0.997494
780,61,0.997506
790,71,0.997521
800,55,0.997532
810,63,0.997544
820,58,0.997556
830,48,0.997565
840,61,0.997578
850,49,0.997587
860,50,0.997597
870,56,0.997609
880,58,0.997620
890,70,0.997634
900,80,0.997650
910,86,0.997667
920,70,0.997681
930,61,0.997694
940,56,0.997705
950,57,0.997716
960,50,0.997726
970,67,0.997740
980,69,0.997753
990,70,0.997767
1000,55,0.997778
1010,64,0.997791
1020,48,0.997801
1030,56,0.997812
1040,63,0.997825
1050,46,0.997834
1060,68,0.997847
1070,55,0.997858
1080,60,0.997870
1090,48,0.997880
1100,51,0.997890
1110,34,0.997897
1120,47,0.997906
1130,48,0.997916
1140,47,0.997925
1150,41,0.997934
