#latency,cnt,cdf
0,1231922,0.129666
10,8931,0.130606
20,538,0.130663
30,34273,0.134270
40,535,0.134326
50,6096,0.134968
60,503126,0.187924
70,57709,0.193999
80,496801,0.246289
90,17650,0.248147
100,294903,0.279187
110,224638,0.302831
120,292444,0.333613
130,269743,0.362004
140,78076,0.370222
150,151850,0.386205
160,16916,0.387986
170,601249,0.451270
180,492825,0.503142
190,750953,0.582184
200,364070,0.620504
210,323314,0.654535
220,187090,0.674227
230,871339,0.765940
240,276453,0.795038
250,126280,0.808329
260,173889,0.826632
270,434418,0.872357
280,206094,0.894049
290,172577,0.912214
300,114416,0.924256
310,127475,0.937674
320,215358,0.960341
330,82449,0.969019
340,122594,0.981923
350,10351,0.983013
360,14835,0.984574
370,11842,0.985820
380,25409,0.988495
390,58437,0.994646
400,8857,0.995578
410,4965,0.996100
420,7426,0.996882
430,6938,0.997612
440,4791,0.998117
450,802,0.998201
460,498,0.998254
470,2197,0.998485
480,6023,0.999119
490,664,0.999189
500,461,0.999237
510,563,0.999296
520,233,0.999321
530,249,0.999347
540,79,0.999355
550,87,0.999365
560,116,0.999377
570,126,0.999390
580,296,0.999421
590,66,0.999428
600,42,0.999433
610,29,0.999436
620,112,0.999447
630,70,0.999455
640,39,0.999459
650,26,0.999462
660,33,0.999465
670,30,0.999468
680,32,0.999472
690,34,0.999475
700,44,0.999480
710,23,0.999482
720,40,0.999486
730,41,0.999491
740,43,0.999495
750,26,0.999498
760,23,0.999500
770,12,0.999502
780,25,0.999504
790,31,0.999508
800,30,0.999511
810,27,0.999514
820,23,0.999516
830,15,0.999518
840,16,0.999519
850,17,0.999521
860,15,0.999523
870,15,0.999524
880,13,0.999526
890,20,0.999528
900,24,0.999530
910,30,0.999533
920,14,0.999535
930,20,0.999537
940,14,0.999538
950,20,0.999541
960,16,0.999542
970,20,0.999544
980,13,0.999546
990,17,0.999547
1000,15,0.999549
1010,23,0.999552
1020,18,0.999553
1030,20,0.999556
1040,17,0.999557
1050,19,0.999559
1060,13,0.999561
1070,17,0.999562
1080,11,0.999564
1090,11,0.999565
1100,9,0.999566
1110,8,0.999567
1120,13,0.999568
1130,8,0.999569
1140,13,0.999570
1150,12,0.999571
1160,14,0.999573
1170,9,0.999574
1180,9,0.999575
1190,7,0.999575
1200,8,0.999576
1210,11,0.999578
1220,8,0.999578
1230,7,0.999579
1240,10,0.999580
1250,11,0.999581
1260,8,0.999582
1270,4,0.999583
1280,8,0.999583
1290,7,0.999584
1300,10,0.999585
1310,16,0.999587
1320,13,0.999588
1330,8,0.999589
1340,18,0.999591
1350,22,0.999593
1360,18,0.999595
1370,16,0.999597
1380,17,0.999599
1390,15,0.999600
1400,10,0.999601
1410,18,0.999603
1420,9,0.999604
1430,18,0.999606
1440,12,0.999607
1450,14,0.999609
1460,9,0.999610
1470,10,0.999611
1480,15,0.999612
1490,19,0.999614
1500,9,0.999615
1510,9,0.999616
1520,5,0.999617
1530,12,0.999618
1540,13,0.999619
1550,9,0.999620
1560,1,0.999620
1570,6,0.999621
1580,9,0.999622
1590,5,0.999623
1600,7,0.999623
1610,7,0.999624
1620,8,0.999625
1630,13,0.999626
1640,5,0.999627
1650,3,0.999627
1660,8,0.999628
1670,5,0.999628
1680,6,0.999629
1690,5,0.999630
1700,8,0.999630
1710,4,0.999631
1720,3,0.999631
1730,11,0.999632
1740,8,0.999633
1750,5,0.999634
1760,13,0.999635
1770,17,0.999637
1780,11,0.999638
1790,18,0.999640
1800,36,0.999644
1810,38,0.999648
1820,30,0.999651
1830,20,0.999653
1840,60,0.999659
1850,41,0.999664
1860,54,0.999669
1870,61,0.999676
1880,67,0.999683
1890,41,0.999687
1900,43,0.999692
1910,26,0.999694
1920,15,0.999696
1930,23,0.999698
1940,23,0.999701
1950,28,0.999704
1960,13,0.999705
1970,17,0.999707
1980,16,0.999709
1990,30,0.999712
2000,50,0.999717
2010,24,0.999720
2020,18,0.999721
2030,23,0.999724
2040,8,0.999725
2050,16,0.999726
2060,6,0.999727
2070,9,0.999728
2080,11,0.999729
2090,9,0.999730
2100,3,0.999730
2110,5,0.999731
2120,13,0.999732
2130,8,0.999733
2140,12,0.999734
2150,9,0.999735
2160,16,0.999737
2170,20,0.999739
2180,18,0.999741
2190,9,0.999742
2200,8,0.999743
2210,10,0.999744
2220,13,0.999745
2230,19,0.999747
