#latency,cnt,cdf
20,1779,0.000178
30,160220,0.016200
40,2544,0.016454
50,8109,0.017265
60,985894,0.115855
70,96026,0.125457
80,1028531,0.228310
90,26941,0.231004
100,151919,0.246196
110,491089,0.295305
120,463408,0.341646
130,173831,0.359029
140,44819,0.363511
150,173917,0.380903
160,21628,0.383065
170,1031042,0.486170
180,582040,0.544374
190,1048717,0.649245
200,410120,0.690257
210,355076,0.725765
220,233299,0.749095
230,470378,0.796133
240,229141,0.819047
250,91790,0.828226
260,302364,0.858462
270,378145,0.896277
280,237776,0.920054
290,124279,0.932482
300,109360,0.943418
310,142220,0.957640
320,173495,0.974990
330,72072,0.982197
340,82698,0.990467
350,4438,0.990910
360,5946,0.991505
370,2286,0.991734
380,17819,0.993516
390,36229,0.997139
400,4943,0.997633
410,2028,0.997836
420,3830,0.998219
430,3542,0.998573
440,280,0.998601
450,210,0.998622
460,179,0.998640
470,1014,0.998741
480,4897,0.999231
490,228,0.999254
500,137,0.999267
510,67,0.999274
520,72,0.999281
530,92,0.999290
540,68,0.999297
550,49,0.999302
560,37,0.999306
570,45,0.999310
580,59,0.999316
590,48,0.999321
600,47,0.999326
610,41,0.999330
620,36,0.999333
630,32,0.999337
640,40,0.999341
650,35,0.999344
660,33,0.999347
670,31,0.999350
680,32,0.999354
690,38,0.999358
700,35,0.999361
710,24,0.999363
720,27,0.999366
730,35,0.999370
740,35,0.999373
750,27,0.999376
760,39,0.999380
770,29,0.999383
780,32,0.999386
790,33,0.999389
800,24,0.999391
810,29,0.999394
820,27,0.999397
830,23,0.999399
840,32,0.999403
850,24,0.999405
860,22,0.999407
870,22,0.999409
880,15,0.999411
890,17,0.999413
900,17,0.999414
910,21,0.999416
920,22,0.999419
930,27,0.999421
940,28,0.999424
950,21,0.999426
960,22,0.999428
970,19,0.999430
980,11,0.999431
990,27,0.999434
1000,16,0.999436
1010,24,0.999438
1020,19,0.999440
1030,29,0.999443
1040,13,0.999444
1050,21,0.999446
1060,19,0.999448
1070,14,0.999450
1080,13,0.999451
1090,22,0.999453
1100,16,0.999455
1110,6,0.999455
1120,14,0.999457
1130,18,0.999458
1140,13,0.999460
1150,10,0.999461
1160,22,0.999463
1170,22,0.999465
1180,11,0.999466
1190,15,0.999468
1200,20,0.999470
1210,12,0.999471
1220,22,0.999473
1230,9,0.999474
1240,10,0.999475
1250,15,0.999477
1260,10,0.999478
1270,9,0.999479
1280,10,0.999479
1290,18,0.999481
1300,14,0.999483
1310,11,0.999484
1320,21,0.999486
1330,22,0.999488
1340,12,0.999489
1350,15,0.999491
1360,14,0.999492
1370,12,0.999493
1380,13,0.999495
1390,9,0.999496
1400,19,0.999497
1410,14,0.999499
1420,16,0.999501
1430,15,0.999502
1440,15,0.999503
1450,13,0.999505
1460,11,0.999506
1470,14,0.999507
1480,10,0.999508
1490,15,0.999510
1500,14,0.999511
1510,10,0.999512
1520,13,0.999514
1530,13,0.999515
1540,10,0.999516
1550,15,0.999517
1560,5,0.999518
1570,14,0.999519
1580,9,0.999520
1590,9,0.999521
1600,14,0.999522
1610,9,0.999523
1620,7,0.999524
1630,12,0.999525
1640,6,0.999526
1650,10,0.999527
1660,13,0.999528
1670,4,0.999529
1680,13,0.999530
1690,13,0.999531
1700,6,0.999532
1710,9,0.999533
1720,11,0.999534
1730,10,0.999535
1740,1,0.999535
1750,12,0.999536
1760,10,0.999537
1770,3,0.999537
1780,12,0.999538
1790,14,0.999540
1800,9,0.999541
1810,14,0.999542
1820,13,0.999543
1830,26,0.999546
1840,37,0.999550
1850,81,0.999558
1860,108,0.999569
1870,99,0.999579
1880,142,0.999593
1890,78,0.999601
1900,15,0.999602
1910,5,0.999603
1920,9,0.999604
1930,8,0.999604
1940,9,0.999605
1950,16,0.999607
1960,71,0.999614
1970,117,0.999626
1980,163,0.999642
1990,160,0.999658
2000,102,0.999668
2010,55,0.999674
2020,38,0.999677
2030,36,0.999681
2040,21,0.999683
2050,20,0.999685
2060,25,0.999688
2070,49,0.999692
2080,7,0.999693
2090,10,0.999694
2100,8,0.999695
2110,14,0.999696
2120,16,0.999698
2130,13,0.999699
2140,13,0.999701
2150,8,0.999701
2160,14,0.999703
2170,16,0.999704
2180,15,0.999706
2190,9,0.999707
2200,12,0.999708
2210,6,0.999709
2220,10,0.999710
2230,10,0.999711
2240,12,0.999712
2250,13,0.999713
2260,16,0.999715
2270,10,0.999716
2280,12,0.999717
2290,16,0.999718
2300,10,0.999720
2310,9,0.999720
2320,9,0.999721
2330,6,0.999722
2340,16,0.999723
2350,10,0.999725
2360,9,0.999725
2370,5,0.999726
2380,6,0.999726
2390,7,0.999727
2400,6,0.999728
2410,5,0.999728
2420,11,0.999729
2430,15,0.999731
2440,7,0.999732
2450,3,0.999732
2460,10,0.999733
2470,9,0.999734
2480,13,0.999735
2490,19,0.999737
2500,10,0.999738
2510,17,0.999740
2520,21,0.999742
2530,7,0.999743
2540,10,0.999744
2550,10,0.999744
2560,16,0.999746
2570,18,0.999748
