#latency,cnt,cdf
0,2448,0.000489
10,18,0.000493
20,4,0.000494
30,271,0.000548
40,9,0.000550
50,1647,0.000879
60,326376,0.066127
70,46125,0.075348
80,337614,0.142843
90,11548,0.145152
100,200527,0.185241
110,134217,0.212073
120,221168,0.256288
130,178559,0.291985
140,70922,0.306164
150,88359,0.323828
160,8825,0.325592
170,116767,0.348936
180,215253,0.391969
190,330372,0.458016
200,226064,0.503210
210,203133,0.543819
220,146943,0.573196
230,314346,0.636039
240,170048,0.670035
250,125802,0.695184
260,130206,0.721215
270,289162,0.779023
280,151441,0.809299
290,141125,0.837512
300,116015,0.860706
310,138809,0.888456
320,143401,0.917124
330,85080,0.934133
340,139113,0.961944
350,16340,0.965211
360,15046,0.968219
370,15468,0.971311
380,32288,0.977766
390,57702,0.989302
400,7825,0.990866
410,3742,0.991614
420,3593,0.992332
430,7725,0.993877
440,7117,0.995300
450,688,0.995437
460,506,0.995538
470,1262,0.995791
480,2677,0.996326
490,634,0.996452
500,628,0.996578
510,563,0.996691
520,417,0.996774
530,456,0.996865
540,78,0.996881
550,95,0.996900
560,72,0.996914
570,182,0.996950
580,615,0.997073
590,141,0.997102
600,132,0.997128
610,85,0.997145
620,107,0.997166
630,155,0.997197
640,166,0.997231
650,163,0.997263
660,174,0.997298
670,144,0.997327
680,193,0.997365
690,179,0.997401
700,152,0.997431
710,125,0.997456
720,132,0.997483
730,132,0.997509
740,115,0.997532
750,102,0.997553
760,98,0.997572
770,98,0.997592
780,82,0.997608
790,67,0.997622
800,68,0.997635
810,56,0.997646
820,51,0.997657
830,45,0.997666
840,51,0.997676
850,49,0.997686
860,45,0.997695
870,49,0.997704
880,44,0.997713
890,46,0.997722
900,46,0.997732
910,38,0.997739
920,51,0.997749
930,60,0.997761
940,60,0.997773
950,74,0.997788
960,70,0.997802
970,90,0.997820
980,76,0.997835
990,88,0.997853
1000,81,0.997869
1010,92,0.997887
1020,83,0.997904
1030,69,0.997918
1040,88,0.997935
1050,94,0.997954
1060,74,0.997969
1070,84,0.997986
1080,76,0.998001
1090,70,0.998015
1100,73,0.998030
1110,59,0.998041
1120,51,0.998052
1130,50,0.998062
1140,43,0.998070
1150,54,0.998081
1160,47,0.998090
1170,55,0.998101
1180,49,0.998111
1190,45,0.998120
1200,52,0.998131
1210,35,0.998138
1220,29,0.998143
1230,28,0.998149
1240,32,0.998155
1250,29,0.998161
1260,49,0.998171
1270,43,0.998180
1280,40,0.998188
1290,48,0.998197
1300,57,0.998209
1310,53,0.998219
1320,61,0.998231
1330,59,0.998243
1340,54,0.998254
1350,57,0.998265
1360,58,0.998277
1370,71,0.998291
1380,71,0.998305
1390,67,0.998319
1400,57,0.998330
1410,64,0.998343
1420,54,0.998354
1430,54,0.998365
1440,55,0.998375
1450,68,0.998389
1460,42,0.998397
1470,48,0.998407
1480,42,0.998415
1490,41,0.998424
1500,36,0.998431
1510,33,0.998437
1520,29,0.998443
1530,24,0.998448
1540,28,0.998454
1550,24,0.998458
1560,28,0.998464
1570,27,0.998469
1580,26,0.998475
1590,18,0.998478
1600,26,0.998483
1610,25,0.998488
1620,20,0.998492
1630,24,0.998497
1640,22,0.998502
1650,24,0.998506
1660,19,0.998510
1670,23,0.998515
1680,14,0.998518
1690,16,0.998521
1700,22,0.998525
1710,35,0.998532
1720,22,0.998537
1730,25,0.998542
1740,18,0.998545
1750,28,0.998551
1760,24,0.998556
1770,40,0.998564
1780,33,0.998570
1790,30,0.998576
1800,35,0.998583
1810,21,0.998587
1820,40,0.998595
1830,32,0.998602
1840,24,0.998607
1850,29,0.998612
1860,22,0.998617
1870,30,0.998623
1880,33,0.998629
1890,39,0.998637
1900,31,0.998643
1910,23,0.998648
1920,38,0.998656
1930,45,0.998665
1940,43,0.998673
1950,44,0.998682
1960,37,0.998689
1970,40,0.998697
1980,39,0.998705
1990,47,0.998715
2000,45,0.998724
2010,37,0.998731
2020,44,0.998740
2030,39,0.998748
2040,45,0.998757
2050,33,0.998763
2060,36,0.998770
2070,35,0.998777
2080,45,0.998786
2090,26,0.998792
2100,36,0.998799
2110,38,0.998806
2120,34,0.998813
2130,43,0.998822
2140,37,0.998829
2150,41,0.998837
2160,45,0.998846
2170,33,0.998853
2180,47,0.998862
2190,33,0.998869
2200,38,0.998876
2210,35,0.998883
2220,34,0.998890
2230,35,0.998897
2240,39,0.998905
2250,29,0.998911
2260,31,0.998917
2270,23,0.998922
2280,23,0.998926
2290,35,0.998933
2300,40,0.998941
2310,33,0.998948
2320,29,0.998954
2330,27,0.998959
2340,27,0.998964
2350,26,0.998970
2360,42,0.998978
2370,25,0.998983
2380,36,0.998990
2390,29,0.998996
2400,35,0.999003
2410,34,0.999010
2420,30,0.999016
2430,26,0.999021
2440,24,0.999026
2450,40,0.999034
2460,22,0.999038
2470,27,0.999044
2480,29,0.999049
2490,25,0.999054
2500,29,0.999060
2510,22,0.999065
2520,29,0.999070
2530,23,0.999075
2540,28,0.999081
2550,27,0.999086
2560,20,0.999090
2570,16,0.999093
2580,20,0.999097
2590,22,0.999102
2600,27,0.999107
2610,35,0.999114
2620,23,0.999119
2630,19,0.999122
2640,17,0.999126
2650,26,0.999131
2660,7,0.999132
2670,14,0.999135
2680,21,0.999139
2690,19,0.999143
2700,14,0.999146
2710,22,0.999150
2720,26,0.999156
2730,14,0.999158
2740,18,0.999162
2750,19,0.999166
2760,15,0.999169
2770,13,0.999171
2780,18,0.999175
2790,22,0.999179
2800,15,0.999182
2810,12,0.999185
2820,22,0.999189
2830,20,0.999193
2840,16,0.999196
2850,17,0.999200
2860,14,0.999203
2870,16,0.999206
2880,7,0.999207
2890,10,0.999209
2900,14,0.999212
2910,13,0.999215
2920,15,0.999218
2930,20,0.999222
2940,17,0.999225
2950,14,0.999228
2960,10,0.999230
2970,17,0.999233
2980,22,0.999238
2990,19,0.999241
3000,17,0.999245
3010,18,0.999248
3020,16,0.999251
3030,18,0.999255
3040,10,0.999257
3050,14,0.999260
3060,14,0.999263
3070,10,0.999265
3080,20,0.999269
3090,20,0.999273
3100,18,0.999276
3110,12,0.999279
3120,18,0.999282
3130,12,0.999285
3140,14,0.999287
3150,18,0.999291
3160,12,0.999294
3170,16,0.999297
3180,13,0.999299
3190,15,0.999302
3200,13,0.999305
3210,27,0.999310
3220,13,0.999313
3230,11,0.999315
3240,12,0.999317
3250,18,0.999321
3260,19,0.999325
3270,14,0.999328
3280,20,0.999332
3290,17,0.999335
3300,17,0.999338
3310,20,0.999343
3320,15,0.999345
3330,17,0.999349
3340,10,0.999351
3350,24,0.999356
3360,24,0.999360
3370,22,0.999365
