#latency,cnt,cdf
30,2,0.000000
50,2141,0.000214
60,738458,0.074060
70,69398,0.081000
80,739277,0.154928
90,16463,0.156574
100,104382,0.167012
110,305995,0.197612
120,412907,0.238902
130,166481,0.255550
140,51272,0.260678
150,212574,0.281935
160,14654,0.283400
170,289724,0.312373
180,461696,0.358542
190,521670,0.410709
200,593903,0.470100
210,528829,0.522983
220,390125,0.561995
230,714789,0.633474
240,382478,0.671722
250,158248,0.687547
260,561262,0.743673
270,635874,0.807260
280,401517,0.847412
290,236510,0.871063
300,211697,0.892233
310,293294,0.921562
320,322396,0.953802
330,121535,0.965955
340,148294,0.980784
350,18942,0.982679
360,29881,0.985667
370,8627,0.986530
380,36153,0.990145
390,61502,0.996295
400,8431,0.997138
410,3734,0.997512
420,6226,0.998134
430,7840,0.998918
440,435,0.998962
450,265,0.998988
460,174,0.999005
470,1737,0.999179
480,6225,0.999802
490,262,0.999828
500,83,0.999836
510,66,0.999843
520,105,0.999853
530,50,0.999858
540,60,0.999864
550,38,0.999868
560,14,0.999870
570,5,0.999870
580,11,0.999871
590,32,0.999874
600,27,0.999877
610,6,0.999878
620,10,0.999879
630,9,0.999879
640,5,0.999880
650,10,0.999881
660,10,0.999882
670,10,0.999883
680,5,0.999883
690,9,0.999884
700,10,0.999885
710,4,0.999886
720,8,0.999887
730,6,0.999887
740,7,0.999888
750,8,0.999889
760,2,0.999889
770,6,0.999889
780,8,0.999890
790,7,0.999891
800,6,0.999892
810,5,0.999892
820,1,0.999892
830,5,0.999893
840,3,0.999893
850,2,0.999893
860,1,0.999893
880,5,0.999894
900,3,0.999894
910,4,0.999894
920,2,0.999895
930,2,0.999895
940,3,0.999895
950,2,0.999895
960,3,0.999896
970,7,0.999896
980,2,0.999897
990,7,0.999897
1000,5,0.999898
1010,3,0.999898
1020,5,0.999899
1030,3,0.999899
1040,2,0.999899
1050,6,0.999900
1060,4,0.999900
1070,4,0.999901
1080,3,0.999901
1090,5,0.999901
1100,5,0.999902
1110,2,0.999902
1120,6,0.999903
1130,4,0.999903
1140,2,0.999903
1150,4,0.999904
1170,1,0.999904
1180,1,0.999904
1200,4,0.999904
1210,3,0.999905
1220,3,0.999905
1230,4,0.999905
1240,3,0.999906
1250,3,0.999906
1260,6,0.999906
1270,4,0.999907
1280,4,0.999907
1290,1,0.999907
1300,3,0.999908
1310,6,0.999908
1320,6,0.999909
1330,7,0.999910
1340,3,0.999910
1350,6,0.999910
1360,11,0.999911
1370,8,0.999912
1380,10,0.999913
1390,7,0.999914
1400,2,0.999914
1410,6,0.999915
1420,9,0.999916
1430,5,0.999916
1440,7,0.999917
1450,1,0.999917
1460,4,0.999917
1470,4,0.999918
1480,2,0.999918
1490,6,0.999919
1500,4,0.999919
1510,4,0.999919
1520,8,0.999920
1530,3,0.999920
1540,3,0.999921
1550,4,0.999921
1560,4,0.999922
1570,5,0.999922
1580,5,0.999923
1590,2,0.999923
1600,1,0.999923
1610,1,0.999923
1620,5,0.999924
1650,2,0.999924
1660,4,0.999924
1670,3,0.999924
1680,2,0.999925
1690,4,0.999925
1700,2,0.999925
1710,2,0.999925
1720,2,0.999926
1730,7,0.999926
1740,4,0.999927
1750,5,0.999927
1760,4,0.999928
1770,1,0.999928
1780,4,0.999928
1790,6,0.999929
1800,5,0.999929
1810,3,0.999929
1820,3,0.999930
1830,1,0.999930
1840,1,0.999930
1850,3,0.999930
1860,2,0.999931
1880,2,0.999931
1890,2,0.999931
1900,4,0.999931
1910,3,0.999932
1920,6,0.999932
1930,3,0.999933
1940,5,0.999933
1950,2,0.999933
1960,4,0.999934
1970,4,0.999934
1980,3,0.999934
1990,6,0.999935
2000,3,0.999935
2010,7,0.999936
2020,2,0.999936
2030,6,0.999937
2040,5,0.999937
2050,5,0.999938
2060,6,0.999938
2070,3,0.999939
2080,4,0.999939
2090,4,0.999939
2100,3,0.999940
2110,4,0.999940
2120,3,0.999940
2130,8,0.999941
2140,4,0.999942
2150,2,0.999942
2160,8,0.999943
2170,7,0.999943
2180,1,0.999943
2190,7,0.999944
2200,8,0.999945
2210,4,0.999945
2220,4,0.999946
2230,8,0.999946
2240,7,0.999947
2250,6,0.999948
2260,4,0.999948
2270,2,0.999948
2280,12,0.999950
2290,6,0.999950
2300,8,0.999951
2310,7,0.999952
2320,3,0.999952
2330,6,0.999953
2340,10,0.999954
2350,7,0.999954
2360,9,0.999955
2370,5,0.999956
2390,3,0.999956
2400,4,0.999956
2410,4,0.999957
2420,3,0.999957
2430,1,0.999957
2440,2,0.999957
2450,2,0.999958
2460,1,0.999958
2480,1,0.999958
2500,5,0.999958
2510,4,0.999959
2520,2,0.999959
2530,1,0.999959
2540,1,0.999959
2550,1,0.999959
2570,1,0.999959
2580,1,0.999959
2590,1,0.999960
2600,1,0.999960
2620,6,0.999960
2630,1,0.999960
2640,1,0.999960
2650,3,0.999961
2660,3,0.999961
2670,1,0.999961
2690,2,0.999961
2720,1,0.999961
2730,1,0.999961
2740,1,0.999962
2750,2,0.999962
2760,3,0.999962
2770,1,0.999962
2800,3,0.999963
2810,1,0.999963
2820,1,0.999963
2830,1,0.999963
2840,1,0.999963
2870,2,0.999963
2880,2,0.999963
2890,1,0.999963
2900,6,0.999964
2910,2,0.999964
2920,2,0.999964
2930,2,0.999965
2960,1,0.999965
2970,2,0.999965
2980,2,0.999965
3000,1,0.999965
3010,4,0.999966
3020,8,0.999966
3030,5,0.999967
3040,2,0.999967
3050,5,0.999968
3060,1,0.999968
3070,3,0.999968
3080,1,0.999968
3090,5,0.999969
3100,5,0.999969
3110,2,0.999969
3120,3,0.999970
3130,1,0.999970
3140,2,0.999970
3150,2,0.999970
3160,1,0.999970
3170,1,0.999970
3180,3,0.999971
3190,4,0.999971
3200,2,0.999971
3210,2,0.999971
3220,3,0.999972
3230,1,0.999972
3240,1,0.999972
3250,1,0.999972
3260,6,0.999973
3270,3,0.999973
3280,6,0.999973
3290,5,0.999974
3300,2,0.999974
3310,6,0.999975
3320,4,0.999975
3330,2,0.999975
3340,6,0.999976
3350,3,0.999976
3360,2,0.999977
3370,8,0.999977
3380,3,0.999978
3390,7,0.999978
3400,7,0.999979
3410,7,0.999980
3420,7,0.999980
3430,11,0.999982
3440,9,0.999982
3450,7,0.999983
3460,4,0.999983
3470,3,0.999984
3480,4,0.999984
3490,6,0.999985
3500,6,0.999985
3510,6,0.999986
3520,3,0.999986
3530,2,0.999987
3540,3,0.999987
3550,5,0.999987
3560,3,0.999988
3570,5,0.999988
3580,4,0.999988
3590,3,0.999989
3630,3,0.999989
3640,2,0.999989
3650,1,0.999989
3660,1,0.999990
3670,2,0.999990
3680,1,0.999990
3700,1,0.999990
3710,1,0.999990
3730,1,0.999990
3740,1,0.999990
3770,1,0.999990
3780,2,0.999991
3790,1,0.999991
3800,1,0.999991
3810,4,0.999991
3820,1,0.999991
3840,2,0.999991
3860,1,0.999991
3880,1,0.999992
3910,1,0.999992
3920,1,0.999992
3970,1,0.999992
3990,2,0.999992
4020,1,0.999992
4030,1,0.999992
4040,1,0.999992
4050,1,0.999992
4060,2,0.999993
4070,1,0.999993
4090,1,0.999993
4120,1,0.999993
4130,1,0.999993
4140,3,0.999993
4150,1,0.999994
4160,1,0.999994
4170,1,0.999994
4190,1,0.999994
4210,1,0.999994
4240,2,0.999994
4250,3,0.999994
4280,1,0.999995
4290,1,0.999995
4300,1,0.999995
4330,1,0.999995
4400,2,0.999995
4440,1,0.999995
4490,1,0.999995
4500,1,0.999995
4530,2,0.999996
4560,1,0.999996
4580,1,0.999996
4590,1,0.999996
4600,1,0.999996
4620,1,0.999996
4670,1,0.999996
4680,1,0.999996
4700,1,0.999996
4720,2,0.999996
4740,1,0.999997
4760,1,0.999997
4770,1,0.999997
4790,1,0.999997
4800,1,0.999997
4810,1,0.999997
4830,2,0.999997
4840,1,0.999997
4870,1,0.999997
4880,2,0.999998
4920,2,0.999998
4930,1,0.999998
4950,1,0.999998
4970,1,0.999998
4990,1,0.999998
5000,1,0.999998
5010,1,0.999999
5030,1,0.999999
5040,1,0.999999
5060,1,0.999999
5090,2,0.999999
5100,1,0.999999
5180,1,0.999999
5250,1,0.999999
5260,1,0.999999
5720,1,1.000000
5730,1,1.000000
5900,1,1.000000
5950,1,1.000000
6120,1,1.000000
6290,1,1.000000
