#latency,cnt,cdf
30,6,0.000001
50,4252,0.000448
60,680842,0.072112
70,64415,0.078892
80,679762,0.150442
90,17030,0.152235
100,119443,0.164807
110,292367,0.195581
120,371885,0.234725
130,198388,0.255607
140,57317,0.261640
150,252657,0.288234
160,17201,0.290044
170,201392,0.311242
180,508370,0.364752
190,459909,0.413161
200,607263,0.477080
210,520314,0.531847
220,283582,0.561697
230,707429,0.636159
240,374201,0.675547
250,197209,0.696304
260,284726,0.726274
270,706211,0.800608
280,340372,0.836435
290,272050,0.865070
300,185289,0.884573
310,204095,0.906056
320,356977,0.943630
330,130346,0.957350
340,192019,0.977562
350,12124,0.978838
360,21611,0.981113
370,15661,0.982761
380,29435,0.985859
390,82296,0.994522
400,12050,0.995790
410,4769,0.996292
420,5922,0.996915
430,6758,0.997627
440,3178,0.997961
450,1042,0.998071
460,770,0.998152
470,2424,0.998407
480,7796,0.999228
490,435,0.999273
500,548,0.999331
510,1002,0.999437
520,176,0.999455
530,218,0.999478
540,35,0.999482
550,41,0.999486
560,17,0.999488
570,52,0.999493
580,255,0.999520
590,38,0.999524
600,19,0.999526
610,20,0.999528
620,27,0.999531
630,19,0.999533
640,35,0.999537
650,36,0.999541
660,32,0.999544
670,47,0.999549
680,46,0.999554
690,43,0.999558
700,47,0.999563
710,42,0.999568
720,37,0.999572
730,39,0.999576
740,34,0.999579
750,44,0.999584
760,45,0.999589
770,28,0.999591
780,35,0.999595
790,22,0.999597
800,34,0.999601
810,25,0.999604
820,15,0.999605
830,18,0.999607
840,16,0.999609
850,17,0.999611
860,20,0.999613
870,7,0.999614
880,10,0.999615
890,21,0.999617
900,11,0.999618
910,6,0.999619
920,16,0.999620
930,13,0.999622
940,9,0.999623
950,8,0.999623
960,23,0.999626
970,16,0.999627
980,26,0.999630
990,31,0.999633
1000,26,0.999636
1010,22,0.999639
1020,32,0.999642
1030,24,0.999644
1040,17,0.999646
1050,30,0.999649
1060,25,0.999652
1070,16,0.999654
1080,18,0.999656
1090,21,0.999658
1100,18,0.999660
1110,16,0.999661
1120,18,0.999663
1130,13,0.999665
1140,14,0.999666
1150,18,0.999668
1160,10,0.999669
1170,20,0.999671
1180,15,0.999673
1190,11,0.999674
1200,13,0.999675
1210,10,0.999676
1220,8,0.999677
1230,11,0.999678
1240,14,0.999680
1250,11,0.999681
1260,8,0.999682
1270,7,0.999683
1280,16,0.999684
1290,9,0.999685
1300,9,0.999686
1310,12,0.999687
1320,9,0.999688
1330,15,0.999690
1340,9,0.999691
1350,21,0.999693
1360,10,0.999694
1370,22,0.999696
1380,18,0.999698
1390,13,0.999700
1400,9,0.999701
1410,18,0.999703
1420,21,0.999705
1430,15,0.999706
1440,17,0.999708
1450,18,0.999710
1460,12,0.999711
1470,12,0.999713
1480,12,0.999714
1490,16,0.999716
1500,10,0.999717
1510,12,0.999718
1520,11,0.999719
1530,9,0.999720
1540,11,0.999721
1550,14,0.999723
1560,9,0.999723
1570,9,0.999724
1580,5,0.999725
1590,4,0.999725
1600,5,0.999726
1610,8,0.999727
1620,14,0.999728
1630,14,0.999730
1640,7,0.999730
1650,10,0.999731
1660,12,0.999733
1670,9,0.999734
1680,11,0.999735
1690,7,0.999736
1700,13,0.999737
1710,9,0.999738
1720,3,0.999738
1730,6,0.999739
1740,7,0.999740
1750,15,0.999741
1760,16,0.999743
1770,3,0.999743
1780,11,0.999744
1790,5,0.999745
1800,10,0.999746
1810,2,0.999746
1820,11,0.999747
1830,6,0.999748
1840,15,0.999749
1850,5,0.999750
1860,9,0.999751
1870,5,0.999752
1880,12,0.999753
1890,16,0.999754
1900,22,0.999757
1910,23,0.999759
1920,21,0.999761
1930,10,0.999762
1940,12,0.999764
1950,15,0.999765
1960,20,0.999767
1970,28,0.999770
1980,11,0.999771
1990,18,0.999773
2000,12,0.999775
2010,21,0.999777
2020,14,0.999778
2030,21,0.999781
